symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAL,2017-05-30 00:00:00+00:00,47.96,48.5775,47.79,48.32,5436698,46.5483137205,47.1476378182,46.3833176127,46.897717243,5436698,0.0,1.0
AAL,2017-05-31 00:00:00+00:00,48.41,48.48,47.53,48.2,4273743,46.9850681237,47.0530076975,46.1309706242,46.7812494022,4273743,0.0,1.0
AAL,2017-06-01 00:00:00+00:00,49.05,49.36,48.3,48.5,4386516,47.6062299415,47.907105197,46.8783059362,47.0724190043,4386516,0.0,1.0
AAL,2017-06-02 00:00:00+00:00,49.52,50.47,49.37,49.56,7684697,48.0623956514,48.9844327247,47.9168108504,48.101218265,7684697,0.0,1.0
AAL,2017-06-05 00:00:00+00:00,49.74,49.95,49.4,49.53,5408043,48.2759200263,48.4797387477,47.9459278106,48.0721013048,5408043,0.0,1.0
AAL,2017-06-06 00:00:00+00:00,49.74,50.1,49.32,49.47,4291568,48.2759200263,48.6253235488,47.8682825833,48.0138673844,4291568,0.0,1.0
AAL,2017-06-07 00:00:00+00:00,50.86,50.91,48.8,49.44,6963237,49.3629532074,49.4114814744,47.3635886064,47.9847504242,6963237,0.0,1.0
AAL,2017-06-08 00:00:00+00:00,51.43,51.87,50.41,50.86,6431436,49.9161754514,50.3432242011,48.9261988043,49.3629532074,6431436,0.0,1.0
AAL,2017-06-09 00:00:00+00:00,50.27,51.95,50.25,51.61,7127543,48.7903196566,50.4208694283,48.7709083498,50.0908772126,7127543,0.0,1.0
AAL,2017-06-12 00:00:00+00:00,49.48,50.22,48.1,50.1,8513651,48.0235730378,48.7417913896,46.6841928682,48.6253235488,8513651,0.0,1.0
AAL,2017-06-13 00:00:00+00:00,49.45,49.91,48.84,49.56,5131732,47.9944560776,48.4409161341,47.40241122,48.101218265,5131732,0.0,1.0
AAL,2017-06-14 00:00:00+00:00,49.39,49.7801,48.89,49.64,3984930,47.9362221572,48.3148396964,47.450939487,48.1788634922,3984930,0.0,1.0
AAL,2017-06-15 00:00:00+00:00,49.11,49.32,48.37,49.14,4557782,47.6644638619,47.8682825833,46.9462455101,47.6935808221,4557782,0.0,1.0
AAL,2017-06-16 00:00:00+00:00,48.79,49.45,48.62,48.9,6307744,47.353882953,47.9944560776,47.1888868451,47.4606451404,6307744,0.0,1.0
AAL,2017-06-19 00:00:00+00:00,49.66,49.72,48.815,49.13,4059026,48.198274799,48.2565087195,47.3781470865,47.6838751687,4059026,0.0,1.0
AAL,2017-06-20 00:00:00+00:00,48.03,49.36,48.01,49.22,5994726,46.6162532944,47.907105197,46.5968419876,47.7712260493,5994726,0.0,1.0
