symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AKAM,2017-05-30 00:00:00+00:00,47.43,47.67,47.05,47.29,1610831,47.43,47.67,47.05,47.29,1610831,0.0,1.0
AKAM,2017-05-31 00:00:00+00:00,47.15,47.57,46.81,47.52,1942293,47.15,47.57,46.81,47.52,1942293,0.0,1.0
AKAM,2017-06-01 00:00:00+00:00,48.3,48.32,47.08,47.23,1913538,48.3,48.32,47.08,47.23,1913538,0.0,1.0
AKAM,2017-06-02 00:00:00+00:00,48.53,48.79,48.07,48.69,2019682,48.53,48.79,48.07,48.69,2019682,0.0,1.0
AKAM,2017-06-05 00:00:00+00:00,48.91,49.06,48.39,48.45,1891017,48.91,49.06,48.39,48.45,1891017,0.0,1.0
AKAM,2017-06-06 00:00:00+00:00,48.45,49.06,48.35,48.89,1686136,48.45,49.06,48.35,48.89,1686136,0.0,1.0
AKAM,2017-06-07 00:00:00+00:00,48.54,48.75,48.19,48.49,2328019,48.54,48.75,48.19,48.49,2328019,0.0,1.0
AKAM,2017-06-08 00:00:00+00:00,48.91,48.94,48.3,48.55,1355025,48.91,48.94,48.3,48.55,1355025,0.0,1.0
AKAM,2017-06-09 00:00:00+00:00,48.13,49.33,47.64,49.12,1940617,48.13,49.33,47.64,49.12,1940617,0.0,1.0
AKAM,2017-06-12 00:00:00+00:00,49.52,49.65,47.66,47.84,2892853,49.52,49.65,47.66,47.84,2892853,0.0,1.0
AKAM,2017-06-13 00:00:00+00:00,49.63,50.65,49.56,49.96,2119931,49.63,50.65,49.56,49.96,2119931,0.0,1.0
AKAM,2017-06-14 00:00:00+00:00,49.25,49.95,48.97,49.84,1845862,49.25,49.95,48.97,49.84,1845862,0.0,1.0
AKAM,2017-06-15 00:00:00+00:00,49.19,49.36,48.71,48.88,1453320,49.19,49.36,48.71,48.88,1453320,0.0,1.0
AKAM,2017-06-16 00:00:00+00:00,49.5,49.57,48.5,48.92,4876458,49.5,49.57,48.5,48.92,4876458,0.0,1.0
AKAM,2017-06-19 00:00:00+00:00,49.49,50.24,49.34,49.86,1809957,49.49,50.24,49.34,49.86,1809957,0.0,1.0
AKAM,2017-06-20 00:00:00+00:00,48.64,49.68,48.61,49.47,1311883,48.64,49.68,48.61,49.47,1311883,0.0,1.0
AKAM,2017-06-21 00:00:00+00:00,49.28,49.34,48.43,48.78,1448450,49.28,49.34,48.43,48.78,1448450,0.0,1.0
AKAM,2017-06-22 00:00:00+00:00,50.02,50.61,48.97,49.19,2648060,50.02,50.61,48.97,49.19,2648060,0.0,1.0
AKAM,2017-06-23 00:00:00+00:00,51.3,51.51,49.92,50.12,3415219,51.3,51.51,49.92,50.12,3415219,0.0,1.0
AKAM,2017-06-26 00:00:00+00:00,50.87,51.65,50.5,51.3,1567554,50.87,51.65,50.5,51.3,1567554,0.0,1.0
AKAM,2017-06-27 00:00:00+00:00,50.0,51.14,50.0,50.73,1773291,50.0,51.14,50.0,50.73,1773291,0.0,1.0
AKAM,2017-06-28 00:00:00+00:00,50.63,50.8,50.06,50.26,1167772,50.63,50.8,50.06,50.26,1167772,0.0,1.0
AKAM,2017-06-29 00:00:00+00:00,50.24,50.45,49.13,50.28,2705946,50.24,50.45,49.13,50.28,2705946,0.0,1.0
AKAM,2017-06-30 00:00:00+00:00,49.81,50.53,49.64,50.53,1534652,49.81,50.53,49.64,50.53,1534652,0.0,1.0
AKAM,2017-07-03 00:00:00+00:00,50.09,50.73,50.01,50.15,959422,50.09,50.73,50.01,50.15,959422,0.0,1.0
AKAM,2017-07-05 00:00:00+00:00,50.95,51.02,50.01,50.27,1749803,50.95,51.02,50.01,50.27,1749803,0.0,1.0
