symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AMAT,2017-05-30 00:00:00+00:00,45.56,45.74,45.21,45.47,6430764,42.7869505441,42.9559946858,42.4582536018,42.7024284732,6430764,0.0,1.0
AMAT,2017-05-31 00:00:00+00:00,45.88,46.035,45.33,45.66,12273794,43.0874734627,43.2330392515,42.5709496963,42.8808639562,12273794,0.0,1.0
AMAT,2017-06-01 00:00:00+00:00,46.0,46.26,45.8,45.97,7013690,43.2001695572,43.4443444286,43.0123427331,43.1719955336,7013690,0.0,1.0
AMAT,2017-06-02 00:00:00+00:00,46.8,46.86,45.9,46.22,9336663,43.9514768539,44.0078249011,43.1062561451,43.4067790638,9336663,0.0,1.0
AMAT,2017-06-05 00:00:00+00:00,46.72,47.24,46.51,46.63,6703737,43.8763461242,44.364695867,43.6791279588,43.7918240533,6703737,0.0,1.0
AMAT,2017-06-06 00:00:00+00:00,46.57,47.21,46.48,46.57,7745180,43.7354760061,44.3365218434,43.6509539352,43.7354760061,7745180,0.0,1.0
AMAT,2017-06-07 00:00:00+00:00,47.26,47.34,46.62,46.7,7920343,44.3834785494,44.4586092791,43.7824327121,43.8575634418,7920343,0.0,1.0
AMAT,2017-06-08 00:00:00+00:00,47.43,47.47,46.93,47.4,7597119,44.54313135,44.5806967148,44.0735642896,44.5149573264,7597119,0.0,1.0
AMAT,2017-06-09 00:00:00+00:00,44.74,47.86,43.41,47.62,20072204,42.016860565,44.9469590219,40.7678121843,44.7215668329,20072204,0.0,1.0
AMAT,2017-06-12 00:00:00+00:00,44.34,44.5,42.316,44.14,20376467,41.6412069167,41.791468376,39.7403994562,41.4533800925,20376467,0.0,1.0
AMAT,2017-06-13 00:00:00+00:00,44.85,45.5,44.28,44.91,12191638,42.1201653183,42.7306024968,41.5848588694,42.1765133655,12191638,0.0,1.0
AMAT,2017-06-14 00:00:00+00:00,43.98,45.285,43.37,45.08,10561446,41.3031186332,42.5286886609,40.7302468195,42.3361661661,10561446,0.0,1.0
AMAT,2017-06-15 00:00:00+00:00,43.16,43.67,42.83,43.19,11421667,40.5330286541,41.0119870557,40.2231143943,40.5612026778,11421667,0.0,1.0
AMAT,2017-06-16 00:00:00+00:00,43.11,43.9,43.055,43.19,10554355,40.4860719481,41.2279879035,40.4344195714,40.5612026778,10554355,0.0,1.0
AMAT,2017-06-19 00:00:00+00:00,44.29,44.39,43.63,43.7,9469822,41.5942502106,41.6881636227,40.9744216909,41.0401610794,9469822,0.0,1.0
AMAT,2017-06-20 00:00:00+00:00,43.36,44.59,43.3,44.26,8815170,40.7208554783,41.8759904469,40.664507431,41.566076187,8815170,0.0,1.0
AMAT,2017-06-21 00:00:00+00:00,43.62,43.82,43.09,43.41,9350368,40.9650303497,41.1528571739,40.4672892657,40.7678121843,9350368,0.0,1.0
AMAT,2017-06-22 00:00:00+00:00,43.34,43.92,43.08,43.69,7021025,40.7020727959,41.2467705859,40.4578979245,41.0307697382,7021025,0.0,1.0
AMAT,2017-06-23 00:00:00+00:00,44.09,44.3,43.41,43.45,9728596,41.4064233865,41.6036415519,40.7678121843,40.8053775492,9728596,0.0,1.0
AMAT,2017-06-26 00:00:00+00:00,43.25,44.65,42.91,44.47,10840323,40.617550725,41.9323384941,40.2982451239,41.7632943524,10840323,0.0,1.0
AMAT,2017-06-27 00:00:00+00:00,41.89,43.1,41.83,43.0,12682765,39.3403283207,40.4766806069,39.2839802735,40.3827671948,12682765,0.0,1.0
AMAT,2017-06-28 00:00:00+00:00,42.69,42.775,41.42,41.9,14181558,40.0916356173,40.1714620176,38.8989352839,39.3497196619,14181558,0.0,1.0
AMAT,2017-06-29 00:00:00+00:00,41.44,42.46,40.79,42.35,12070918,38.9177179663,39.8756347696,38.3072807878,39.7723300163,12070918,0.0,1.0
AMAT,2017-06-30 00:00:00+00:00,41.31,42.02,41.09,41.81,9595483,38.7956305306,39.4624157564,38.5890210241,39.265197591,9595483,0.0,1.0
AMAT,2017-07-03 00:00:00+00:00,41.01,41.96,40.98,41.33,6519488,38.5138902944,39.4060677092,38.4857162708,38.814413213,6519488,0.0,1.0
AMAT,2017-07-05 00:00:00+00:00,42.12,42.23,41.25,41.28,10730261,39.5563291685,39.6596339218,38.7392824834,38.767456507,10730261,0.0,1.0
AMAT,2017-07-06 00:00:00+00:00,42.11,42.59,41.56,41.72,11871099,39.5469378273,39.9977222053,39.0304140608,39.1806755202,11871099,0.0,1.0
AMAT,2017-07-07 00:00:00+00:00,43.54,43.795,42.36,42.36,10609304,40.88989962,41.1293788208,39.7817213575,39.7817213575,10609304,0.0,1.0
AMAT,2017-07-10 00:00:00+00:00,44.21,44.5,43.51,43.6,10329457,41.519119481,41.791468376,40.8617255964,40.9462476673,10329457,0.0,1.0
AMAT,2017-07-11 00:00:00+00:00,45.4,45.5,44.04,44.21,13397676,42.6366890847,42.7306024968,41.3594666804,41.519119481,13397676,0.0,1.0
AMAT,2017-07-12 00:00:00+00:00,45.28,45.98,44.84,45.68,10068224,42.5239929902,43.1813868748,42.1107739771,42.8996466386,10068224,0.0,1.0
AMAT,2017-07-13 00:00:00+00:00,45.3,45.6569,44.9915,45.28,8908910,42.5427756727,42.8779526404,42.2530527964,42.5239929902,8908910,0.0,1.0
AMAT,2017-07-14 00:00:00+00:00,46.12,46.13,45.35,45.38,7710726,43.3128656517,43.3222569929,42.5897323787,42.6179064023,7710726,0.0,1.0
AMAT,2017-07-17 00:00:00+00:00,46.15,46.45,45.68,46.2,7518676,43.3410396754,43.6227799116,42.8996466386,43.3879963814,7518676,0.0,1.0
AMAT,2017-07-18 00:00:00+00:00,46.62,46.63,45.68,46.02,5604952,43.7824327121,43.7918240533,42.8996466386,43.2189522396,5604952,0.0,1.0
AMAT,2017-07-19 00:00:00+00:00,47.18,47.21,46.7446,46.9,8299633,44.3083478198,44.3365218434,43.8994488236,44.045390266,8299633,0.0,1.0
AMAT,2017-07-20 00:00:00+00:00,47.25,47.34,46.37,47.11,8077850,44.3740872082,44.4586092791,43.5476491819,44.2426084313,8077850,0.0,1.0
AMAT,2017-07-21 00:00:00+00:00,46.81,47.0,46.23,46.78,7449663,43.9608681951,44.139303678,43.416170405,43.9326941715,7449663,0.0,1.0
AMAT,2017-07-24 00:00:00+00:00,46.78,47.02,46.56,46.68,7920475,43.9326941715,44.1580863605,43.7260846649,43.8387807594,7920475,0.0,1.0
AMAT,2017-07-25 00:00:00+00:00,46.4,46.665,45.85,46.63,7146665,43.5758232056,43.8246937476,43.0592994391,43.7918240533,7146665,0.0,1.0
AMAT,2017-07-26 00:00:00+00:00,47.45,47.47,46.52,46.61,8830550,44.5619140324,44.5806967148,43.6885193,43.7730413709,8830550,0.0,1.0
AMAT,2017-07-27 00:00:00+00:00,46.04,47.59,45.3,47.5,16770403,43.2377349221,44.6933928093,42.5427756727,44.6088707384,16770403,0.0,1.0
AMAT,2017-07-28 00:00:00+00:00,45.25,46.0,44.91,45.9,9532585,42.4958189666,43.2001695572,42.1765133655,43.1062561451,9532585,0.0,1.0
AMAT,2017-07-31 00:00:00+00:00,44.31,45.48,44.01,45.43,10937127,41.6130328931,42.7118198144,41.3312926568,42.6648631084,10937127,0.0,1.0
AMAT,2017-08-01 00:00:00+00:00,44.1,44.79,44.015,44.39,9257230,41.4158147277,42.063817271,41.3359883274,41.6881636227,9257230,0.0,1.0
AMAT,2017-08-02 00:00:00+00:00,42.73,44.44,42.51,44.35,15323332,40.1292009822,41.7351203288,39.9225914756,41.6505982579,15323332,0.0,1.0
AMAT,2017-08-03 00:00:00+00:00,42.7,43.115,42.31,42.7,11313324,40.1010269586,40.4907676187,39.7347646514,40.1010269586,11313324,0.0,1.0
AMAT,2017-08-04 00:00:00+00:00,42.82,43.14,42.36,42.85,6387474,40.2137230531,40.5142459717,39.7817213575,40.2418970767,6387474,0.0,1.0
AMAT,2017-08-07 00:00:00+00:00,43.96,44.045,42.85,42.86,7569300,41.2843359508,41.364162351,40.2418970767,40.2512884179,7569300,0.0,1.0
AMAT,2017-08-08 00:00:00+00:00,43.9,44.52,43.73,44.04,9201386,41.2279879035,41.8102510584,41.068335103,41.3594666804,9201386,0.0,1.0
AMAT,2017-08-09 00:00:00+00:00,43.81,44.025,43.06,43.39,5488012,41.1434658327,41.3453796686,40.439115242,40.7490295019,5488012,0.0,1.0
AMAT,2017-08-10 00:00:00+00:00,42.03,43.58,41.94,43.37,11071391,39.4718070976,40.9274649849,39.3872850267,40.7302468195,11071391,0.0,1.0
AMAT,2017-08-11 00:00:00+00:00,43.08,43.14,41.98,42.03,10041157,40.4578979245,40.5142459717,39.4248503916,39.4718070976,10041157,0.0,1.0
AMAT,2017-08-14 00:00:00+00:00,43.78,44.24,43.59,43.7,9645058,41.115291809,41.5472935046,40.9368563261,41.0401610794,9645058,0.0,1.0
AMAT,2017-08-15 00:00:00+00:00,43.88,44.35,43.6,43.85,6060576,41.2092052211,41.6505982579,40.9462476673,41.1810311975,6060576,0.0,1.0
AMAT,2017-08-16 00:00:00+00:00,44.46,44.616,43.76,44.35,8385346,41.7539030112,41.900407934,41.0965091266,41.6505982579,8385346,0.0,1.0
AMAT,2017-08-17 00:00:00+00:00,43.12,44.4,43.0,44.33,12725766,40.4954632893,41.6975549639,40.3827671948,41.6318155755,12725766,0.0,1.0
AMAT,2017-08-18 00:00:00+00:00,44.3,45.25,43.66,44.77,20823492,41.6036415519,42.4958189666,41.0025957145,42.0450345886,20823492,0.0,1.0
AMAT,2017-08-21 00:00:00+00:00,43.31,44.26,43.0211,44.11,13510380,40.6738987723,41.566076187,40.4025829247,41.4252060689,13510380,0.0,1.0
AMAT,2017-08-22 00:00:00+00:00,44.45,44.53,43.61,43.62,8473167,41.8384250821,41.9137248347,41.0477776789,41.057190148,8473167,0.1,1.0
AMAT,2017-08-23 00:00:00+00:00,44.02,44.2,43.83,44.2,8339155,41.4336889114,41.6031133549,41.2548519988,41.6031133549,8339155,0.0,1.0
AMAT,2017-08-24 00:00:00+00:00,43.72,44.31,43.25,44.3,8862063,41.1513148389,41.7066505149,40.7089287919,41.6972380458,8862063,0.0,1.0
AMAT,2017-08-25 00:00:00+00:00,43.31,43.95,43.12,43.79,6163864,40.7654036064,41.3678016278,40.5865666938,41.2172021225,6163864,0.0,1.0
AMAT,2017-08-28 00:00:00+00:00,43.63,43.721,43.36,43.36,5460565,41.0666026171,41.1522560858,40.8124659518,40.8124659518,5460565,0.0,1.0
AMAT,2017-08-29 00:00:00+00:00,44.02,44.19,42.933,43.02,6573314,41.4336889114,41.5937008858,40.4105535219,40.4924420029,6573314,0.0,1.0
AMAT,2017-08-30 00:00:00+00:00,45.47,45.49,43.99,44.0,8671841,42.7984969287,42.8173218669,41.4054515042,41.4148639732,8671841,0.0,1.0
