symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AMGN,2017-05-30 00:00:00+00:00,153.85,155.365,153.56,155.01,2706016,132.9293818914,134.2383712548,132.6788162706,133.9316443742,2706016,0.0,1.0
AMGN,2017-05-31 00:00:00+00:00,155.24,155.37,153.67,153.67,3826620,134.1303688321,134.2426913517,132.7738584026,132.7738584026,3826620,0.0,1.0
AMGN,2017-06-01 00:00:00+00:00,156.24,156.77,155.24,155.4,2991848,134.9943882139,135.4523184862,134.1303688321,134.2686119332,2991848,0.0,1.0
AMGN,2017-06-02 00:00:00+00:00,159.15,159.62,157.0,157.27,3220883,137.5086846149,137.9147737244,135.6510429441,135.8843281771,3220883,0.0,1.0
AMGN,2017-06-05 00:00:00+00:00,160.22,161.12,158.27,160.29,4524605,138.4331853535,139.2108027971,136.7483475589,138.4936667102,4524605,0.0,1.0
AMGN,2017-06-06 00:00:00+00:00,159.53,160.919,159.24,160.13,2982979,137.83701198,139.0371349014,137.5864463593,138.3554236091,2982979,0.0,1.0
AMGN,2017-06-07 00:00:00+00:00,161.66,162.05,159.75,159.82,3445267,139.6773732633,140.0143408222,138.027096244,138.0875776008,3445267,0.0,1.0
AMGN,2017-06-08 00:00:00+00:00,162.65,163.165,161.41,161.98,3460507,140.5327524513,140.9777224329,139.4613684178,139.9538594655,3460507,0.0,1.0
AMGN,2017-06-09 00:00:00+00:00,164.06,166.1369,162.63,162.75,4022639,141.7510197796,143.5455016337,140.5154720636,140.6191543895,4022639,0.0,1.0
AMGN,2017-06-12 00:00:00+00:00,164.88,167.23,163.28,165.0,4113759,142.4595156727,144.48996122,141.0770846618,142.5631979985,4113759,0.0,1.0
AMGN,2017-06-13 00:00:00+00:00,164.43,165.09,163.77,164.47,2541155,142.0707069509,142.6409597429,141.5004541589,142.1052677262,2541155,0.0,1.0
AMGN,2017-06-14 00:00:00+00:00,165.1,165.88,163.97,164.36,2568154,142.6495999367,143.3235350545,141.6732580353,142.0102255942,2568154,0.0,1.0
AMGN,2017-06-15 00:00:00+00:00,164.11,164.9,162.55,164.24,3564051,141.7942207487,142.4767960603,140.4463505131,141.9065432683,3564051,0.0,1.0
AMGN,2017-06-16 00:00:00+00:00,162.42,164.1,161.13,163.84,5759344,140.3340279935,141.7855805549,139.2194429909,141.5609355156,5759344,0.0,1.0
AMGN,2017-06-19 00:00:00+00:00,165.09,165.22,162.69,163.1,2907038,142.6409597429,142.7532822625,140.5673132265,140.9215611731,2907038,0.0,1.0
AMGN,2017-06-20 00:00:00+00:00,166.29,168.7,164.79,165.43,3800130,143.6777830011,145.7600697112,142.3817539283,142.9347263327,3800130,0.0,1.0
AMGN,2017-06-21 00:00:00+00:00,171.35,171.76,166.36,167.2,5365362,148.049721073,148.4039690196,143.7382643578,144.4640406385,5365362,0.0,1.0
AMGN,2017-06-22 00:00:00+00:00,173.82,175.45,172.1,172.44,5545231,150.1838489461,151.5922005384,148.6977356094,148.9915021992,5545231,0.0,1.0
AMGN,2017-06-23 00:00:00+00:00,172.5,174.13,170.96,173.24,6193973,149.0433433621,150.4516949544,147.7127535141,149.6827177046,6193973,0.0,1.0
AMGN,2017-06-26 00:00:00+00:00,173.67,174.72,172.41,173.39,3017141,150.0542460388,150.9614663897,148.9655816177,149.8123206119,3017141,0.0,1.0
AMGN,2017-06-27 00:00:00+00:00,170.85,173.92,170.77,173.02,2908109,147.6177113821,150.2702508843,147.5485898316,149.4926334406,2908109,0.0,1.0
AMGN,2017-06-28 00:00:00+00:00,174.07,174.5394,170.83,171.42,2688883,150.3998537915,150.8054244894,147.6004309945,148.1102024297,2688883,0.0,1.0
AMGN,2017-06-29 00:00:00+00:00,172.59,174.72,171.02,174.49,2403603,149.1211051065,150.9614663897,147.764594677,150.7627419319,2403603,0.0,1.0
AMGN,2017-06-30 00:00:00+00:00,172.23,174.25,172.01,173.61,2562056,148.810058129,150.5553772803,148.619973865,150.0024048759,2562056,0.0,1.0
AMGN,2017-07-03 00:00:00+00:00,172.800003,174.330002,172.630005,172.630005,1395060,149.3025517687,150.6245005588,149.1556702018,149.1556702018,1395060,0.0,1.0
AMGN,2017-07-05 00:00:00+00:00,174.26,174.38,171.92,172.67,2718649,150.5640174741,150.6676997999,148.5422121206,149.190226657,2718649,0.0,1.0
AMGN,2017-07-06 00:00:00+00:00,171.72,173.61,171.31,173.1,2435548,148.3694082443,150.0024048759,148.0151602977,149.5617549912,2435548,0.0,1.0
AMGN,2017-07-07 00:00:00+00:00,171.43,172.03,170.59,171.64,2497712,148.1188426236,148.6372542526,147.3930663428,148.3002866937,2497712,0.0,1.0
AMGN,2017-07-10 00:00:00+00:00,172.2,172.5501,171.0,171.59,2056914,148.7841375476,149.0866307331,147.7473142894,148.2570857246,2056914,0.0,1.0
AMGN,2017-07-11 00:00:00+00:00,173.32,174.435,172.07,174.18,1921438,149.7518392552,150.7152208659,148.6718150279,150.4948959235,1921438,0.0,1.0
AMGN,2017-07-12 00:00:00+00:00,173.27,174.24,172.67,173.71,1956630,149.7086382861,150.5467370864,149.190226657,150.0888068141,1956630,0.0,1.0
AMGN,2017-07-13 00:00:00+00:00,175.04,176.2,173.09,173.28,2985226,151.2379525919,152.2402150748,149.5531147974,149.7172784799,2985226,0.0,1.0
AMGN,2017-07-14 00:00:00+00:00,177.13,177.68,174.41,175.43,2682376,153.0437530999,153.5189637599,150.6936203813,151.5749201508,2682376,0.0,1.0
AMGN,2017-07-17 00:00:00+00:00,177.4,178.8952,176.68,176.84,2634445,153.277038333,154.5689201126,152.6549443781,152.7931874791,2634445,0.0,1.0
AMGN,2017-07-18 00:00:00+00:00,177.48,177.63,176.14,176.66,1803027,153.3461598835,153.4757627908,152.1883739119,152.6376639904,1803027,0.0,1.0
AMGN,2017-07-19 00:00:00+00:00,179.18,179.2,176.52,178.1,2350183,154.8149928326,154.8322732202,152.516701277,153.8818519002,2350183,0.0,1.0
AMGN,2017-07-20 00:00:00+00:00,179.32,180.73,178.88,179.05,2927016,154.935955546,156.1542228744,154.555787018,154.7026703129,2927016,0.0,1.0
AMGN,2017-07-21 00:00:00+00:00,180.21,180.55,179.16,179.26,2493175,155.7049327958,155.9986993857,154.7977124449,154.8841143831,2493175,0.0,1.0
AMGN,2017-07-24 00:00:00+00:00,181.06,181.46,178.66,180.19,2358566,156.4393492704,156.7849570231,154.365702754,155.6876524082,2358566,0.0,1.0
AMGN,2017-07-25 00:00:00+00:00,180.89,182.6,180.34,182.05,3192524,156.2924659755,157.7699391184,155.8172553155,157.2947284584,3192524,0.0,1.0
AMGN,2017-07-26 00:00:00+00:00,175.89,178.855,175.2,176.01,5335720,151.9723690664,154.5341865335,151.376195693,152.0760513922,5335720,0.0,1.0
AMGN,2017-07-27 00:00:00+00:00,172.15,175.48,170.53,175.0,5495575,148.7409365785,151.6181211199,147.3412251799,151.2033918166,5495575,0.0,1.0
AMGN,2017-07-28 00:00:00+00:00,174.54,175.06,171.71,171.98,2408699,150.805942901,151.2552329795,148.3607680505,148.5940532836,2408699,0.0,1.0
AMGN,2017-07-31 00:00:00+00:00,174.51,176.79,174.25,174.51,2384759,150.7800223195,152.7499865101,150.5553772803,150.7800223195,2384759,0.0,1.0
AMGN,2017-08-01 00:00:00+00:00,174.13,175.11,173.66,174.81,2042695,150.4516949544,151.2984339486,150.045605845,151.0392281341,2042695,0.0,1.0
AMGN,2017-08-02 00:00:00+00:00,174.46,174.59,173.21,173.57,2179502,150.7368213504,150.8491438701,149.6567971232,149.9678441006,2179502,0.0,1.0
AMGN,2017-08-03 00:00:00+00:00,174.18,174.71,173.26,173.5201,1630585,150.4948959235,150.9528261959,149.6999980923,149.9247295335,1630585,0.0,1.0
AMGN,2017-08-04 00:00:00+00:00,173.85,174.82,172.9,174.27,1894653,150.2097695275,151.0478683279,149.3889511148,150.5726576679,1894653,0.0,1.0
