symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ATVI,2017-05-30 00:00:00+00:00,58.58,58.67,57.77,58.48,5037151,56.8221183494,56.9094176094,56.0364250093,56.7251191716,5037151,0.0,1.0
ATVI,2017-05-31 00:00:00+00:00,58.58,58.81,58.12,58.6,8826333,56.8221183494,57.0452164583,56.3759221315,56.8415181849,8826333,0.0,1.0
ATVI,2017-06-01 00:00:00+00:00,59.56,59.57,58.7,58.81,10162303,57.7727102917,57.7824102095,56.9385173627,57.0452164583,10162303,0.0,1.0
ATVI,2017-06-02 00:00:00+00:00,59.65,59.74,59.02,59.65,4888630,57.8600095517,57.9473088117,57.2489147316,57.8600095517,4888630,0.0,1.0
ATVI,2017-06-05 00:00:00+00:00,59.8,60.46,59.56,59.76,3735129,58.0055083184,58.6457028918,57.7727102917,57.9667086473,3735129,0.0,1.0
ATVI,2017-06-06 00:00:00+00:00,59.84,60.24,59.441,59.93,3867576,58.0443079895,58.4323047007,57.6572812701,58.1316072495,3867576,0.0,1.0
ATVI,2017-06-07 00:00:00+00:00,60.53,60.85,60.02,60.06,6409526,58.7136023163,59.0239996852,58.2189065095,58.2577061806,6409526,0.0,1.0
ATVI,2017-06-08 00:00:00+00:00,60.55,60.69,59.56,60.65,6455477,58.7330021518,58.8688010007,57.7727102917,58.8300013296,6455477,0.0,1.0
ATVI,2017-06-09 00:00:00+00:00,58.03,61.1,56.95,60.63,12839268,56.2886228715,59.2664976297,55.2410317514,58.810601494,12839268,0.0,1.0
ATVI,2017-06-12 00:00:00+00:00,56.76,57.1689,55.41,57.06,16104468,55.0567333136,55.4533629516,53.7472444134,55.3477308469,16104468,0.0,1.0
ATVI,2017-06-13 00:00:00+00:00,57.9,58.05,56.69,57.46,7103531,56.1625239404,56.3080227071,54.9888338891,55.7357275581,7103531,0.0,1.0
ATVI,2017-06-14 00:00:00+00:00,58.45,59.03,57.58,58.03,8127405,56.6960194182,57.2586146494,55.8521265715,56.2886228715,8127405,0.0,1.0
ATVI,2017-06-15 00:00:00+00:00,58.91,59.47,57.19,57.4,8640534,57.1422156361,57.6854110317,55.4738297781,55.6775280514,8640534,0.0,1.0
ATVI,2017-06-16 00:00:00+00:00,58.8,59.39,58.48,58.76,8270390,57.0355165405,57.6078116895,56.7251191716,56.9967168694,8270390,0.0,1.0
ATVI,2017-06-19 00:00:00+00:00,60.32,60.42,59.16,59.16,5107151,58.5099040429,58.6069032207,57.3847135805,57.3847135805,5107151,0.0,1.0
ATVI,2017-06-20 00:00:00+00:00,60.15,61.1,60.085,60.49,5620800,58.3450054407,59.2664976297,58.2819559751,58.6748026451,5620800,0.0,1.0
ATVI,2017-06-21 00:00:00+00:00,60.68,60.94,60.14,60.5,5059095,58.8591010829,59.1112989452,58.3353055229,58.6845025629,5059095,0.0,1.0
ATVI,2017-06-22 00:00:00+00:00,61.16,61.5767,60.34,60.73,5195727,59.3246971363,59.7288927102,58.5293038785,58.9076006718,5195727,0.0,1.0
ATVI,2017-06-23 00:00:00+00:00,60.44,61.09,60.16,61.03,10298729,58.6263030562,59.2567977119,58.3547053584,59.1985982052,10298729,0.0,1.0
ATVI,2017-06-26 00:00:00+00:00,60.22,61.18,59.58,60.68,4304091,58.4129048651,59.3440969719,57.7921101273,58.8591010829,4304091,0.0,1.0
ATVI,2017-06-27 00:00:00+00:00,58.29,60.11,58.06,60.11,7179001,56.5408207338,58.3062057695,56.3177226248,58.3062057695,7179001,0.0,1.0
ATVI,2017-06-28 00:00:00+00:00,58.81,58.83,57.8,58.55,7648748,57.0452164583,57.0646162938,56.0655247626,56.793018596,7648748,0.0,1.0
ATVI,2017-06-29 00:00:00+00:00,57.58,58.5,56.22,58.4,8757126,55.8521265715,56.7445190071,54.5329377535,56.6475198293,8757126,0.0,1.0
ATVI,2017-06-30 00:00:00+00:00,57.57,58.115,57.17,57.93,6306902,55.8424266537,56.3710721726,55.4544299425,56.1916236937,6306902,0.0,1.0
ATVI,2017-07-03 00:00:00+00:00,56.26,57.99,56.15,57.77,4136341,54.5717374246,56.2498232004,54.4650383291,56.0364250093,4136341,0.0,1.0
ATVI,2017-07-05 00:00:00+00:00,57.16,57.55,55.86,56.66,5969267,55.4447300247,55.8230268181,54.1837407135,54.9597341358,5969267,0.0,1.0
ATVI,2017-07-06 00:00:00+00:00,56.62,57.085,56.3143,56.57,5595840,54.9209344647,55.3719806414,54.6244079782,54.8724348758,5595840,0.0,1.0
