symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AVGO,2017-05-30 00:00:00+00:00,239.82,241.39,239.0,240.5,2898246,203.2909509081,204.6218106901,202.5958521685,203.8673742532,2898246,0.0,1.0
AVGO,2017-05-31 00:00:00+00:00,239.48,242.89,237.56,242.52,4390885,203.0027392356,205.8933327749,201.3751909671,205.5796906606,4390885,0.0,1.0
AVGO,2017-06-01 00:00:00+00:00,234.59,241.87,233.81,241.6,5762414,198.8575772393,205.0286977573,198.1963857553,204.799823782,5762414,0.0,1.0
AVGO,2017-06-02 00:00:00+00:00,254.53,255.82,244.15,248.54,10835570,215.7603441525,216.8538531453,206.9614113261,210.6827326274,10835570,0.0,1.0
AVGO,2017-06-05 00:00:00+00:00,252.21,256.78,250.2,254.0,3906364,213.7937233281,217.6676272796,212.0898837345,215.3110730158,3906364,0.0,1.0
AVGO,2017-06-06 00:00:00+00:00,253.86,255.34,250.62,250.77,2950634,215.1923976213,216.4469660782,212.4459099182,212.5730621267,2950634,0.0,1.0
AVGO,2017-06-07 00:00:00+00:00,254.28,255.85,252.97,253.68,2790422,215.548423805,216.879283587,214.4379611843,215.0398149711,2790422,0.0,1.0
AVGO,2017-06-08 00:00:00+00:00,254.95,256.1,252.32,255.0,2757170,216.1163703362,217.0912039345,213.8869682809,216.1587544057,2757170,0.0,1.0
AVGO,2017-06-09 00:00:00+00:00,243.34,256.0,241.45,255.51,5800733,206.2747894003,217.0064357955,204.6726715735,216.5910719145,5800733,0.0,1.0
AVGO,2017-06-12 00:00:00+00:00,242.67,243.11,235.751,240.3975,5332696,205.7068428691,206.0798226806,199.8417353329,203.7804869107,5332696,0.0,1.0
AVGO,2017-06-13 00:00:00+00:00,242.94,247.9115,241.67,244.96,2969832,205.9357168444,210.1499648739,204.8591614793,207.6480332518,2969832,0.0,1.0
