symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BBBY,2017-04-24 00:00:00+00:00,39.69,40.33,39.64,40.22,2632740,34.8079849824,35.369262644,34.7641351651,35.2727930459,2632740,0.0,1.0
BBBY,2017-04-25 00:00:00+00:00,39.36,39.9699,39.14,39.8,1918531,34.5185761881,35.0534562597,34.3256369919,34.9044545805,1918531,0.0,1.0
BBBY,2017-04-26 00:00:00+00:00,39.39,39.89,39.28,39.28,1960002,34.5448860785,34.9833842516,34.4484164804,34.4484164804,1960002,0.0,1.0
BBBY,2017-04-27 00:00:00+00:00,39.18,39.39,38.81,39.35,2110529,34.3607168458,34.5448860785,34.0362281977,34.5098062247,2110529,0.0,1.0
BBBY,2017-04-28 00:00:00+00:00,38.75,39.39,38.515,39.39,2373663,33.9836084169,34.5448860785,33.7775142755,34.5448860785,2373663,0.0,1.0
BBBY,2017-05-01 00:00:00+00:00,37.43,38.8,37.415,38.8,2811696,32.8259732399,34.0274582342,32.8128182947,34.0274582342,2811696,0.0,1.0
BBBY,2017-05-02 00:00:00+00:00,38.19,38.2,37.21,37.4,2594520,33.492490463,33.5012604265,32.6330340437,32.7996633495,2594520,0.0,1.0
BBBY,2017-05-03 00:00:00+00:00,37.68,38.195,37.4,38.05,2190586,33.0452223264,33.4968754447,32.7996633495,33.3697109745,2190586,0.0,1.0
BBBY,2017-05-04 00:00:00+00:00,37.1,37.96,37.01,37.75,2057284,32.5365644456,33.2907813034,32.4576347744,33.1066120707,2057284,0.0,1.0
BBBY,2017-05-05 00:00:00+00:00,37.34,37.4,37.025,37.25,1757691,32.7470435687,32.7996633495,32.4707897196,32.6681138975,1757691,0.0,1.0
BBBY,2017-05-08 00:00:00+00:00,37.21,37.51,37.15,37.38,1964056,32.6330340437,32.8961329476,32.5804142629,32.7821234226,1964056,0.0,1.0
BBBY,2017-05-09 00:00:00+00:00,37.54,37.66,37.17,37.27,2040285,32.922442838,33.0276823995,32.5979541898,32.6856538245,2040285,0.0,1.0
BBBY,2017-05-10 00:00:00+00:00,37.66,37.68,37.31,37.42,1939556,33.0276823995,33.0452223264,32.7207336783,32.8172032764,1939556,0.0,1.0
BBBY,2017-05-11 00:00:00+00:00,36.66,37.49,36.515,37.34,2561787,32.1506860533,32.8785930206,32.0235215831,32.7470435687,2561787,0.0,1.0
BBBY,2017-05-12 00:00:00+00:00,36.1,36.66,35.88,36.66,2571609,31.6595680994,32.1506860533,31.4666289032,32.1506860533,2571609,0.0,1.0
