symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BIDU,2017-04-24 00:00:00+00:00,180.03,180.65,179.54,180.0,1905555,180.03,180.65,179.54,180.0,1905555,0.0,1.0
BIDU,2017-04-25 00:00:00+00:00,186.99,187.5,182.33,182.86,3734867,186.99,187.5,182.33,182.86,3734867,0.0,1.0
BIDU,2017-04-26 00:00:00+00:00,186.67,188.0,184.9,187.9,2852314,186.67,188.0,184.9,187.9,2852314,0.0,1.0
BIDU,2017-04-27 00:00:00+00:00,187.86,188.599,186.1,187.81,2766321,187.86,188.599,186.1,187.81,2766321,0.0,1.0
BIDU,2017-04-28 00:00:00+00:00,180.23,182.96,176.07,181.08,7374466,180.23,182.96,176.07,181.08,7374466,0.0,1.0
BIDU,2017-05-01 00:00:00+00:00,180.06,181.17,177.19,180.45,3468282,180.06,181.17,177.19,180.45,3468282,0.0,1.0
BIDU,2017-05-02 00:00:00+00:00,178.64,180.4,178.0,180.1,2373241,178.64,180.4,178.0,180.1,2373241,0.0,1.0
BIDU,2017-05-03 00:00:00+00:00,177.4,179.01,176.9,179.01,1979462,177.4,179.01,176.9,179.01,1979462,0.0,1.0
BIDU,2017-05-04 00:00:00+00:00,176.71,178.0,176.28,177.89,2128603,176.71,178.0,176.28,177.89,2128603,0.0,1.0
BIDU,2017-05-05 00:00:00+00:00,178.03,178.3,174.77,176.3,2324476,178.03,178.3,174.77,176.3,2324476,0.0,1.0
BIDU,2017-05-08 00:00:00+00:00,177.47,178.54,176.68,178.5,2405745,177.47,178.54,176.68,178.5,2405745,0.0,1.0
BIDU,2017-05-09 00:00:00+00:00,182.98,183.59,178.36,178.9,3469543,182.98,183.59,178.36,178.9,3469543,0.0,1.0
BIDU,2017-05-10 00:00:00+00:00,183.57,184.93,181.62,182.37,2864521,183.57,184.93,181.62,182.37,2864521,0.0,1.0
BIDU,2017-05-11 00:00:00+00:00,186.6,187.33,182.96,183.54,3165028,186.6,187.33,182.96,183.54,3165028,0.0,1.0
BIDU,2017-05-12 00:00:00+00:00,186.83,187.98,185.67,186.25,1814373,186.83,187.98,185.67,186.25,1814373,0.0,1.0
BIDU,2017-05-15 00:00:00+00:00,186.14,187.46,185.24,187.08,1985947,186.14,187.46,185.24,187.08,1985947,0.0,1.0
BIDU,2017-05-16 00:00:00+00:00,190.64,192.37,186.387,186.83,3866827,190.64,192.37,186.387,186.83,3866827,0.0,1.0
BIDU,2017-05-17 00:00:00+00:00,186.05,190.71,185.68,187.97,3550638,186.05,190.71,185.68,187.97,3550638,0.0,1.0
BIDU,2017-05-18 00:00:00+00:00,182.43,183.62,181.29,182.68,4670166,182.43,183.62,181.29,182.68,4670166,0.0,1.0
BIDU,2017-05-19 00:00:00+00:00,188.76,189.42,182.89,183.17,3830333,188.76,189.42,182.89,183.17,3830333,0.0,1.0
BIDU,2017-05-22 00:00:00+00:00,191.69,193.5599,188.08,190.0,2908987,191.69,193.5599,188.08,190.0,2908987,0.0,1.0
BIDU,2017-05-23 00:00:00+00:00,191.8,193.56,190.37,192.7,2111672,191.8,193.56,190.37,192.7,2111672,0.0,1.0
BIDU,2017-05-24 00:00:00+00:00,190.63,191.99,189.97,191.03,2801077,190.63,191.99,189.97,191.03,2801077,0.0,1.0
BIDU,2017-05-25 00:00:00+00:00,191.95,193.0,189.83,191.23,2175400,191.95,193.0,189.83,191.23,2175400,0.0,1.0
BIDU,2017-05-26 00:00:00+00:00,190.39,193.74,190.09,192.78,1560541,190.39,193.74,190.09,192.78,1560541,0.0,1.0
