symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BIIB,2017-05-30 00:00:00+00:00,246.54,251.55,246.34,250.4,1359009,246.54,251.55,246.34,250.4,1359009,0.0,1.0
BIIB,2017-05-31 00:00:00+00:00,247.77,247.98,244.28,247.31,1855958,247.77,247.98,244.28,247.31,1855958,0.0,1.0
BIIB,2017-06-01 00:00:00+00:00,252.38,253.11,248.61,250.03,1540279,252.38,253.11,248.61,250.03,1540279,0.0,1.0
BIIB,2017-06-02 00:00:00+00:00,256.65,258.26,252.14,252.98,1696571,256.65,258.26,252.14,252.98,1696571,0.0,1.0
BIIB,2017-06-05 00:00:00+00:00,258.5,259.24,255.73,257.37,1532930,258.5,259.24,255.73,257.37,1532930,0.0,1.0
BIIB,2017-06-06 00:00:00+00:00,257.16,258.3,254.96,257.06,1064793,257.16,258.3,254.96,257.06,1064793,0.0,1.0
BIIB,2017-06-07 00:00:00+00:00,255.43,258.57,255.11,257.71,1095865,255.43,258.57,255.11,257.71,1095865,0.0,1.0
BIIB,2017-06-08 00:00:00+00:00,257.17,258.11,254.52,255.25,1100062,257.17,258.11,254.52,255.25,1100062,0.0,1.0
BIIB,2017-06-09 00:00:00+00:00,259.89,262.37,254.87,256.31,1551837,259.89,262.37,254.87,256.31,1551837,0.0,1.0
BIIB,2017-06-12 00:00:00+00:00,262.11,265.48,259.57,260.23,1535937,262.11,265.48,259.57,260.23,1535937,0.0,1.0
BIIB,2017-06-13 00:00:00+00:00,261.42,262.12,259.55,261.97,1265910,261.42,262.12,259.55,261.97,1265910,0.0,1.0
BIIB,2017-06-14 00:00:00+00:00,253.37,257.38,250.88,255.56,3027446,253.37,257.38,250.88,255.56,3027446,0.0,1.0
BIIB,2017-06-15 00:00:00+00:00,255.02,255.76,253.15,253.6,1440039,255.02,255.76,253.15,253.6,1440039,0.0,1.0
BIIB,2017-06-16 00:00:00+00:00,251.74,256.77,250.89,255.49,2299305,251.74,256.77,250.89,255.49,2299305,0.0,1.0
BIIB,2017-06-19 00:00:00+00:00,260.54,262.28,252.94,253.23,1898894,260.54,262.28,252.94,253.23,1898894,0.0,1.0
BIIB,2017-06-20 00:00:00+00:00,266.0,269.0,259.61,260.82,2204549,266.0,269.0,259.61,260.82,2204549,0.0,1.0
BIIB,2017-06-21 00:00:00+00:00,278.6,279.81,266.11,266.11,3093016,278.6,279.81,266.11,266.11,3093016,0.0,1.0
BIIB,2017-06-22 00:00:00+00:00,280.57,284.21,278.3,279.86,2760073,280.57,284.21,278.3,279.86,2760073,0.0,1.0
BIIB,2017-06-23 00:00:00+00:00,280.32,284.46,277.58,282.33,2101276,280.32,284.46,277.58,282.33,2101276,0.0,1.0
BIIB,2017-06-26 00:00:00+00:00,279.81,282.89,277.64,281.74,1247125,279.81,282.89,277.64,281.74,1247125,0.0,1.0
BIIB,2017-06-27 00:00:00+00:00,271.25,279.4,271.2,279.0,1719741,271.25,279.4,271.2,279.0,1719741,0.0,1.0
BIIB,2017-06-28 00:00:00+00:00,274.64,275.51,269.09,271.25,1170983,274.64,275.51,269.09,271.25,1170983,0.0,1.0
BIIB,2017-06-29 00:00:00+00:00,271.88,275.2,268.91,275.0,997024,271.88,275.2,268.91,275.0,997024,0.0,1.0
BIIB,2017-06-30 00:00:00+00:00,271.36,276.09,269.58,273.7,1303157,271.36,276.09,269.58,273.7,1303157,0.0,1.0
BIIB,2017-07-03 00:00:00+00:00,272.52,275.11,272.12,272.62,612454,272.52,275.11,272.12,272.62,612454,0.0,1.0
BIIB,2017-07-05 00:00:00+00:00,277.71,278.37,272.61,272.97,1275678,277.71,278.37,272.61,272.97,1275678,0.0,1.0
BIIB,2017-07-06 00:00:00+00:00,271.96,276.89,271.0,275.57,1243089,271.96,276.89,271.0,275.57,1243089,0.0,1.0
BIIB,2017-07-07 00:00:00+00:00,273.93,274.86,270.8,271.9,872087,273.93,274.86,270.8,271.9,872087,0.0,1.0
BIIB,2017-07-10 00:00:00+00:00,273.58,274.08,270.31,273.5,897741,273.58,274.08,270.31,273.5,897741,0.0,1.0
BIIB,2017-07-11 00:00:00+00:00,271.76,274.1,269.5,273.1,912709,271.76,274.1,269.5,273.1,912709,0.0,1.0
BIIB,2017-07-12 00:00:00+00:00,275.08,276.45,272.33,274.15,1337236,275.08,276.45,272.33,274.15,1337236,0.0,1.0
BIIB,2017-07-13 00:00:00+00:00,278.36,280.75,272.61,276.04,1421079,278.36,280.75,272.61,276.04,1421079,0.0,1.0
BIIB,2017-07-14 00:00:00+00:00,280.81,281.34,277.77,279.74,884783,280.81,281.34,277.77,279.74,884783,0.0,1.0
BIIB,2017-07-17 00:00:00+00:00,282.65,284.31,279.51,280.1,1528715,282.65,284.31,279.51,280.1,1528715,0.0,1.0
BIIB,2017-07-18 00:00:00+00:00,282.6,283.68,280.31,283.01,1110876,282.6,283.68,280.31,283.01,1110876,0.0,1.0
BIIB,2017-07-19 00:00:00+00:00,281.95,285.84,280.51,283.52,1049415,281.95,285.84,280.51,283.52,1049415,0.0,1.0
BIIB,2017-07-20 00:00:00+00:00,281.44,284.32,280.75,282.18,1016347,281.44,284.32,280.75,282.18,1016347,0.0,1.0
BIIB,2017-07-21 00:00:00+00:00,282.92,283.0,280.02,280.25,965593,282.92,283.0,280.02,280.25,965593,0.0,1.0
BIIB,2017-07-24 00:00:00+00:00,284.7,285.35,280.01,283.0,1388285,284.7,285.35,280.01,283.0,1388285,0.0,1.0
BIIB,2017-07-25 00:00:00+00:00,282.96,291.91,280.24,290.01,3093649,282.96,291.91,280.24,290.01,3093649,0.0,1.0
BIIB,2017-07-26 00:00:00+00:00,295.61,296.95,285.02,288.55,2948310,295.61,296.95,285.02,288.55,2948310,0.0,1.0
BIIB,2017-07-27 00:00:00+00:00,287.95,296.8,285.03,295.14,1696065,287.95,296.8,285.03,295.14,1696065,0.0,1.0
BIIB,2017-07-28 00:00:00+00:00,287.44,289.3,284.0,287.48,855497,287.44,289.3,284.0,287.48,855497,0.0,1.0
BIIB,2017-07-31 00:00:00+00:00,289.59,290.96,287.59,287.6,1266195,289.59,290.96,287.59,287.6,1266195,0.0,1.0
BIIB,2017-08-01 00:00:00+00:00,291.15,291.86,289.55,290.8,1177856,291.15,291.86,289.55,290.8,1177856,0.0,1.0
BIIB,2017-08-02 00:00:00+00:00,288.0,291.62,287.17,290.15,1267574,288.0,291.62,287.17,290.15,1267574,0.0,1.0
BIIB,2017-08-03 00:00:00+00:00,286.09,289.01,285.0,288.85,851784,286.09,289.01,285.0,288.85,851784,0.0,1.0
BIIB,2017-08-04 00:00:00+00:00,288.27,288.63,284.45,286.89,740778,288.27,288.63,284.45,286.89,740778,0.0,1.0
BIIB,2017-08-07 00:00:00+00:00,291.01,291.17,288.17,289.18,1023589,291.01,291.17,288.17,289.18,1023589,0.0,1.0
BIIB,2017-08-08 00:00:00+00:00,289.26,291.7,288.5,291.18,899081,289.26,291.7,288.5,291.18,899081,0.0,1.0
BIIB,2017-08-09 00:00:00+00:00,288.74,289.47,285.73,285.79,714536,288.74,289.47,285.73,285.79,714536,0.0,1.0
BIIB,2017-08-10 00:00:00+00:00,281.15,287.11,280.88,286.72,1232338,281.15,287.11,280.88,286.72,1232338,0.0,1.0
BIIB,2017-08-11 00:00:00+00:00,283.68,285.9,281.29,282.4,720061,283.68,285.9,281.29,282.4,720061,0.0,1.0
BIIB,2017-08-14 00:00:00+00:00,286.05,286.58,284.0,285.08,776463,286.05,286.58,284.0,285.08,776463,0.0,1.0
BIIB,2017-08-15 00:00:00+00:00,287.92,289.71,285.51,287.1,853953,287.92,289.71,285.51,287.1,853953,0.0,1.0
BIIB,2017-08-16 00:00:00+00:00,294.08,296.91,290.29,291.16,1600887,294.08,296.91,290.29,291.16,1600887,0.0,1.0
