symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BMRN,2017-04-24 00:00:00+00:00,93.52,94.94,90.24,90.48,3001455,93.52,94.94,90.24,90.48,3001455,0.0,1.0
BMRN,2017-04-25 00:00:00+00:00,94.19,94.93,92.69,94.0,1358180,94.19,94.93,92.69,94.0,1358180,0.0,1.0
BMRN,2017-04-26 00:00:00+00:00,96.07,96.21,93.955,94.65,1341931,96.07,96.21,93.955,94.65,1341931,0.0,1.0
BMRN,2017-04-27 00:00:00+00:00,96.26,98.95,95.01,95.72,2471076,96.26,98.95,95.01,95.72,2471076,0.0,1.0
BMRN,2017-04-28 00:00:00+00:00,95.84,97.0,95.0,96.93,1219402,95.84,97.0,95.0,96.93,1219402,0.0,1.0
BMRN,2017-05-01 00:00:00+00:00,97.61,97.79,95.7191,96.03,929049,97.61,97.79,95.7191,96.03,929049,0.0,1.0
BMRN,2017-05-02 00:00:00+00:00,95.93,97.6,95.1548,96.74,1148065,95.93,97.6,95.1548,96.74,1148065,0.0,1.0
BMRN,2017-05-03 00:00:00+00:00,95.95,96.49,94.76,96.0,1050368,95.95,96.49,94.76,96.0,1050368,0.0,1.0
BMRN,2017-05-04 00:00:00+00:00,97.78,98.0,95.97,96.36,1246576,97.78,98.0,95.97,96.36,1246576,0.0,1.0
BMRN,2017-05-05 00:00:00+00:00,94.23,100.51,94.05,99.0,2402842,94.23,100.51,94.05,99.0,2402842,0.0,1.0
BMRN,2017-05-08 00:00:00+00:00,90.72,94.35,90.36,93.17,1893334,90.72,94.35,90.36,93.17,1893334,0.0,1.0
BMRN,2017-05-09 00:00:00+00:00,91.15,91.49,90.09,90.8,1260816,91.15,91.49,90.09,90.8,1260816,0.0,1.0
BMRN,2017-05-10 00:00:00+00:00,90.02,91.12,89.67,91.12,750811,90.02,91.12,89.67,91.12,750811,0.0,1.0
BMRN,2017-05-11 00:00:00+00:00,89.31,90.22,88.36,90.0,749114,89.31,90.22,88.36,90.0,749114,0.0,1.0
BMRN,2017-05-12 00:00:00+00:00,89.85,90.46,88.81,89.23,734791,89.85,90.46,88.81,89.23,734791,0.0,1.0
