symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CA,2017-04-24 00:00:00+00:00,32.53,32.55,32.04,32.29,2182568,31.1280023073,31.1471403352,30.6591206249,30.8983459731,2182568,0.0,1.0
CA,2017-04-25 00:00:00+00:00,32.6,32.71,32.535,32.57,1779521,31.1949854048,31.300244558,31.1327868143,31.1662783631,1779521,0.0,1.0
CA,2017-04-26 00:00:00+00:00,32.7,32.85,32.56,32.65,1199450,31.2906755441,31.434210753,31.1567093491,31.2428304745,1199450,0.0,1.0
CA,2017-04-27 00:00:00+00:00,32.85,32.89,32.3199,32.71,1414020,31.434210753,31.4724868087,30.9269573247,31.300244558,1414020,0.0,1.0
CA,2017-04-28 00:00:00+00:00,32.83,32.91,32.43,32.86,2761261,31.4150727252,31.4916248366,31.0323121681,31.443779767,2761261,0.0,1.0
CA,2017-05-01 00:00:00+00:00,32.8,32.94,32.62,32.93,1289661,31.3863656834,31.5203318784,31.2141234327,31.5107628645,1289661,0.0,1.0
CA,2017-05-02 00:00:00+00:00,32.61,32.85,32.55,32.85,1802125,31.2045544188,31.434210753,31.1471403352,31.434210753,1802125,0.0,1.0
CA,2017-05-03 00:00:00+00:00,32.72,32.785,32.53,32.6,2256119,31.309813572,31.3720121625,31.1280023073,31.1949854048,2256119,0.0,1.0
CA,2017-05-04 00:00:00+00:00,32.96,33.02,32.7201,32.78,1831167,31.5394699062,31.5968839898,31.3099092621,31.3672276555,1831167,0.0,1.0
CA,2017-05-05 00:00:00+00:00,32.69,33.15,32.65,33.08,2951444,31.2811065302,31.7212811709,31.2428304745,31.6542980734,2951444,0.0,1.0
CA,2017-05-08 00:00:00+00:00,32.32,32.72,32.31,32.67,3240183,30.9270530149,31.309813572,30.9174840009,31.2619685023,3240183,0.0,1.0
CA,2017-05-09 00:00:00+00:00,32.05,32.29,31.965,32.28,3421291,30.6686896388,30.8983459731,30.5873530204,30.8887769591,3421291,0.0,1.0
CA,2017-05-10 00:00:00+00:00,32.27,32.35,31.91,32.07,3416228,30.8792079452,30.9557600566,30.5347234438,30.6878276667,3416228,0.0,1.0
CA,2017-05-11 00:00:00+00:00,32.04,32.22,31.65,32.22,4232481,30.6591206249,30.8313628756,30.2859290817,30.8313628756,4232481,0.0,1.0
CA,2017-05-12 00:00:00+00:00,31.61,33.35,31.39,33.28,61309,30.247653026,31.9126614494,30.0371347196,31.8456783519,61309,0.0,1.0
CA,2017-05-15 00:00:00+00:00,31.69,31.77,31.395,31.55,3956580,30.3242051374,30.4007572488,30.0419192265,30.1902389424,3956580,0.0,1.0
CA,2017-05-16 00:00:00+00:00,31.71,31.845,31.39,31.7,3635751,30.3433431653,30.4725248533,30.0371347196,30.3337741513,3635751,0.0,1.0
CA,2017-05-17 00:00:00+00:00,31.21,31.65,31.105,31.46,3476385,29.8648924689,30.2859290817,29.7644178226,30.1041178171,3476385,0.0,1.0
CA,2017-05-18 00:00:00+00:00,31.04,31.3577,30.92,31.26,3133488,29.7022192321,30.0062268046,29.587391065,29.9127375385,3133488,0.0,1.0
CA,2017-05-19 00:00:00+00:00,31.26,31.345,30.93,31.13,2900638,29.9127375385,29.9940741569,29.5969600789,29.7883403574,2900638,0.0,1.0
CA,2017-05-22 00:00:00+00:00,31.89,31.93,31.17,31.28,4920977,30.515585416,30.5538614717,29.8266164131,29.9318755664,4920977,0.0,1.0
CA,2017-05-23 00:00:00+00:00,31.5,31.8,31.46,31.77,3359723,30.3864037279,30.6757980491,30.3478178184,30.646858617,3359723,0.255,1.0
CA,2017-05-24 00:00:00+00:00,31.61,31.8,31.08,31.58,2034243,30.492514979,30.6757980491,29.9812516782,30.4635755469,2034243,0.0,1.0
CA,2017-05-25 00:00:00+00:00,31.91,31.97,31.6,31.69,1551206,30.7819093003,30.8397881645,30.4828685017,30.569686798,1551206,0.0,1.0
CA,2017-05-26 00:00:00+00:00,31.82,32.01,31.81,31.91,1185996,30.6950910039,30.878374074,30.6854445265,30.7819093003,1185996,0.0,1.0
CA,2017-05-30 00:00:00+00:00,31.9,31.945,31.52,31.72,1814120,30.7722628229,30.8156719711,30.4056966827,30.5986262302,1814120,0.0,1.0
CA,2017-05-31 00:00:00+00:00,31.77,31.96,31.6,31.94,2348841,30.646858617,30.8301416871,30.4828685017,30.8108487324,2348841,0.0,1.0
CA,2017-06-01 00:00:00+00:00,31.87,31.93,31.72,31.84,2134718,30.7433233908,30.801202255,30.5986262302,30.7143839586,2134718,0.0,1.0
CA,2017-06-02 00:00:00+00:00,32.19,32.21,31.865,31.97,2311241,31.0520106667,31.0713036215,30.7385001521,30.8397881645,2311241,0.0,1.0
