symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CERN,2017-05-30 00:00:00+00:00,65.43,65.47,64.36,64.78,2148099,63.2985692861,63.3372662565,62.2634253287,62.6697435176,2148099,0.0,1.0
CERN,2017-05-31 00:00:00+00:00,65.35,65.58,64.8773,65.4,2133259,63.2211753454,63.443682925,62.763873898,63.2695465583,2133259,0.0,1.0
CERN,2017-06-01 00:00:00+00:00,66.7,66.8589,65.4175,65.5,1394729,64.5271980954,64.6809218102,63.2864764829,63.3662889843,1394729,0.0,1.0
CERN,2017-06-02 00:00:00+00:00,67.42,67.67,66.443,66.74,1730896,65.2237435621,65.4655996269,64.2785700608,64.5658950658,1730896,0.0,1.0
CERN,2017-06-05 00:00:00+00:00,67.91,69.28,67.0737,67.63,3728435,65.6977814492,67.0231526844,64.8887245411,65.4269026566,3728435,0.0,1.0
CERN,2017-06-06 00:00:00+00:00,68.23,69.25,67.75,67.94,2455836,66.0073572122,66.9941299566,65.5429935677,65.726804177,2455836,0.0,1.0
CERN,2017-06-07 00:00:00+00:00,68.17,68.74,67.77,68.35,1631975,65.9493117566,66.5007435844,65.5623420529,66.1234481233,1631975,0.0,1.0
CERN,2017-06-08 00:00:00+00:00,68.11,68.42,67.56,68.12,1206933,65.891266301,66.1911678214,65.3591829584,65.9009405436,1206933,0.0,1.0
CERN,2017-06-09 00:00:00+00:00,66.28,68.16,66.05,68.01,2080442,64.1208799065,65.939637514,63.8983723269,65.7945238751,2080442,0.0,1.0
CERN,2017-06-12 00:00:00+00:00,65.79,67.37,64.79,67.37,2810000,63.6468420195,65.1753723492,62.6794177602,65.1753723492,2810000,0.0,1.0
CERN,2017-06-13 00:00:00+00:00,66.47,66.64,65.7,65.82,1383924,64.3046905158,64.4691526399,63.5597738361,63.6758647472,1383924,0.0,1.0
CERN,2017-06-14 00:00:00+00:00,65.95,66.98,65.46,66.53,1119804,63.8016299009,64.798076888,63.3275920139,64.3627359713,1119804,0.0,1.0
CERN,2017-06-15 00:00:00+00:00,65.93,66.07,65.15,65.55,1627081,63.7822814158,63.9177208121,63.0276904935,63.4146601972,1627081,0.0,1.0
CERN,2017-06-16 00:00:00+00:00,66.04,66.29,65.53,65.89,2830401,63.8886980843,64.1305541491,63.395311712,63.7435844454,2830401,0.0,1.0
