symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CHKP,2017-05-30 00:00:00+00:00,111.42,112.17,110.8,111.3,1318651,111.42,112.17,110.8,111.3,1318651,0.0,1.0
CHKP,2017-05-31 00:00:00+00:00,112.05,112.83,110.68,112.0,2015375,112.05,112.83,110.68,112.0,2015375,0.0,1.0
CHKP,2017-06-01 00:00:00+00:00,111.59,112.57,110.57,112.35,1506590,111.59,112.57,110.57,112.35,1506590,0.0,1.0
CHKP,2017-06-02 00:00:00+00:00,112.86,113.32,112.0,112.13,945803,112.86,113.32,112.0,112.13,945803,0.0,1.0
CHKP,2017-06-05 00:00:00+00:00,113.47,114.02,112.85,113.92,618021,113.47,114.02,112.85,113.92,618021,0.0,1.0
CHKP,2017-06-06 00:00:00+00:00,113.71,114.04,113.2,113.53,845929,113.71,114.04,113.2,113.53,845929,0.0,1.0
CHKP,2017-06-07 00:00:00+00:00,114.95,115.13,113.71,114.42,1075381,114.95,115.13,113.71,114.42,1075381,0.0,1.0
CHKP,2017-06-08 00:00:00+00:00,115.47,115.87,114.15,115.36,707561,115.47,115.87,114.15,115.36,707561,0.0,1.0
CHKP,2017-06-09 00:00:00+00:00,110.8,115.55,109.45,115.26,1331834,110.8,115.55,109.45,115.26,1331834,0.0,1.0
CHKP,2017-06-12 00:00:00+00:00,109.66,110.3,107.26,110.16,1694548,109.66,110.3,107.26,110.16,1694548,0.0,1.0
CHKP,2017-06-13 00:00:00+00:00,111.06,111.07,109.68,110.03,934626,111.06,111.07,109.68,110.03,934626,0.0,1.0
CHKP,2017-06-14 00:00:00+00:00,111.09,112.32,110.08,111.62,1009338,111.09,112.32,110.08,111.62,1009338,0.0,1.0
CHKP,2017-06-15 00:00:00+00:00,110.18,110.5,109.05,109.98,689406,110.18,110.5,109.05,109.98,689406,0.0,1.0
CHKP,2017-06-16 00:00:00+00:00,110.0,110.71,109.4,110.07,1356253,110.0,110.71,109.4,110.07,1356253,0.0,1.0
CHKP,2017-06-19 00:00:00+00:00,111.77,111.93,110.44,110.51,610582,111.77,111.93,110.44,110.51,610582,0.0,1.0
CHKP,2017-06-20 00:00:00+00:00,111.17,112.51,111.12,111.91,730924,111.17,112.51,111.12,111.91,730924,0.0,1.0
CHKP,2017-06-21 00:00:00+00:00,112.57,112.82,111.0,111.35,817670,112.57,112.82,111.0,111.35,817670,0.0,1.0
CHKP,2017-06-22 00:00:00+00:00,113.51,113.83,112.08,113.2,1196105,113.51,113.83,112.08,113.2,1196105,0.0,1.0
CHKP,2017-06-23 00:00:00+00:00,113.95,114.28,112.66,113.24,863943,113.95,114.28,112.66,113.24,863943,0.0,1.0
CHKP,2017-06-26 00:00:00+00:00,112.57,114.84,112.36,114.62,751454,112.57,114.84,112.36,114.62,751454,0.0,1.0
CHKP,2017-06-27 00:00:00+00:00,111.22,112.54,110.44,112.35,1020239,111.22,112.54,110.44,112.35,1020239,0.0,1.0
CHKP,2017-06-28 00:00:00+00:00,112.4,112.48,111.3,111.8,967570,112.4,112.48,111.3,111.8,967570,0.0,1.0
CHKP,2017-06-29 00:00:00+00:00,109.59,112.12,108.8,111.87,922870,109.59,112.12,108.8,111.87,922870,0.0,1.0
CHKP,2017-06-30 00:00:00+00:00,109.08,110.37,109.03,110.26,1015456,109.08,110.37,109.03,110.26,1015456,0.0,1.0
CHKP,2017-07-03 00:00:00+00:00,108.1,110.26,108.07,109.2,574183,108.1,110.26,108.07,109.2,574183,0.0,1.0
