symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CMCSA,2017-05-30 00:00:00+00:00,41.1,41.64,40.875,41.03,24450215,37.1940846726,37.6827660771,36.9904674208,37.1307370831,24450215,0.0,1.0
CMCSA,2017-05-31 00:00:00+00:00,41.69,41.71,41.07,41.11,25258526,37.7280143553,37.7461136665,37.1669357057,37.2031343282,25258526,0.0,1.0
CMCSA,2017-06-01 00:00:00+00:00,41.66,41.8264,41.46,41.63,17380425,37.7008653883,37.8514516582,37.5198722756,37.6737164214,17380425,0.0,1.0
CMCSA,2017-06-02 00:00:00+00:00,41.99,42.17,41.55,41.7,17307360,37.9995040244,38.1623978259,37.6013191763,37.7370640109,17307360,0.0,1.0
CMCSA,2017-06-05 00:00:00+00:00,41.79,42.18,41.54,42.13,13938873,37.8185109116,38.1714474815,37.5922695207,38.1261992033,13938873,0.0,1.0
CMCSA,2017-06-06 00:00:00+00:00,41.72,41.85,41.55,41.83,12388982,37.7551633222,37.8728088455,37.6013191763,37.8547095342,12388982,0.0,1.0
CMCSA,2017-06-07 00:00:00+00:00,41.89,41.96,41.64,41.79,11961040,37.909007468,37.9723550575,37.6827660771,37.8185109116,11961040,0.0,1.0
CMCSA,2017-06-08 00:00:00+00:00,40.94,41.9,40.73,41.81,25086048,37.0492901824,37.9180571237,36.859247414,37.8366102229,25086048,0.0,1.0
CMCSA,2017-06-09 00:00:00+00:00,40.69,41.06,40.48,40.92,20306174,36.8230487914,37.1578860501,36.633006023,37.0311908711,20306174,0.0,1.0
CMCSA,2017-06-12 00:00:00+00:00,40.97,41.52,40.56,40.56,15386413,37.0764391493,37.5741702094,36.7054032682,36.7054032682,15386413,0.0,1.0
CMCSA,2017-06-13 00:00:00+00:00,41.22,41.27,40.78,40.79,11305777,37.3026805403,37.3479288185,36.9044956922,36.9135453478,11305777,0.0,1.0
CMCSA,2017-06-14 00:00:00+00:00,41.09,41.41,40.86,41.41,11982587,37.185035017,37.4746239974,36.9768929373,37.4746239974,11982587,0.0,1.0
CMCSA,2017-06-15 00:00:00+00:00,41.44,41.52,40.89,40.94,12121558,37.5017729643,37.5741702094,37.0040419042,37.0492901824,12121558,0.0,1.0
CMCSA,2017-06-16 00:00:00+00:00,41.28,41.345,40.68,41.17,26534263,37.3569784741,37.4158012357,36.8139991358,37.2574322621,26534263,0.0,1.0
CMCSA,2017-06-19 00:00:00+00:00,41.8,41.915,41.2,41.42,14818659,37.8275605673,37.9316316071,37.284581229,37.483673653,14818659,0.0,1.0
CMCSA,2017-06-20 00:00:00+00:00,40.39,41.01,39.92,40.5,27636421,36.5515591223,37.1126377719,36.1262253073,36.6511053343,27636421,0.0,1.0
CMCSA,2017-06-21 00:00:00+00:00,40.28,40.53,40.01,40.4,20095696,36.4520129103,36.6782543012,36.2076722081,36.5606087779,20095696,0.0,1.0
CMCSA,2017-06-22 00:00:00+00:00,39.94,40.585,39.92,40.34,18525327,36.1443246186,36.7280274072,36.1262253073,36.5063108441,18525327,0.0,1.0
CMCSA,2017-06-23 00:00:00+00:00,39.5,39.9689,39.35,39.93,25347297,35.7461397705,36.1704781234,35.6103949359,36.135274963,25347297,0.0,1.0
CMCSA,2017-06-26 00:00:00+00:00,39.59,39.75,39.165,39.68,17248629,35.8275866713,35.9723811615,35.4429763066,35.909033572,17248629,0.0,1.0
CMCSA,2017-06-27 00:00:00+00:00,39.25,39.6,39.09,39.51,24875832,35.5198983796,35.8366363269,35.3751038894,35.7551894262,24875832,0.0,1.0
CMCSA,2017-06-28 00:00:00+00:00,39.86,40.0,39.18,39.27,17452049,36.0719273735,36.1986225524,35.4565507901,35.5379976908,17452049,0.0,1.0
CMCSA,2017-06-29 00:00:00+00:00,38.87,39.77,38.28,39.57,24369742,35.1760114653,35.9904804727,34.6420817827,35.80948736,24369742,0.0,1.0
