symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
COST,2017-05-30 00:00:00+00:00,178.92,179.3906,177.5,177.68,2083324,166.694059664,167.1325026803,165.3710909365,165.5387911978,2083324,0.0,1.0
COST,2017-05-31 00:00:00+00:00,180.43,180.47,178.78,179.24,2387832,168.1008785221,168.1381452469,166.5636261275,166.9921934618,2387832,0.0,1.0
COST,2017-06-01 00:00:00+00:00,180.63,181.1,179.86,180.81,2010882,168.2872121457,168.7250961612,167.5698276949,168.454912407,2010882,0.0,1.0
COST,2017-06-02 00:00:00+00:00,180.97,181.25,179.87,180.58,2234958,168.6039793058,168.8648463789,167.5791443761,168.2406287398,2234958,0.0,1.0
COST,2017-06-05 00:00:00+00:00,182.08,182.21,180.6,181.1,1457701,169.6381309168,169.7592477721,168.2592621022,168.7250961612,1457701,0.0,1.0
COST,2017-06-06 00:00:00+00:00,181.45,182.715,181.01,181.7,2229041,169.0511800024,170.2297401717,168.6412460305,169.2840970319,2229041,0.0,1.0
COST,2017-06-07 00:00:00+00:00,182.2,182.24,181.135,181.44,1224931,169.7499310909,169.7871978156,168.7577045453,169.0418633213,1224931,0.0,1.0
COST,2017-06-08 00:00:00+00:00,181.41,182.5,180.84,181.92,1786725,169.0139132777,170.0294315263,168.4828624505,169.4890640179,1786725,0.0,1.0
COST,2017-06-09 00:00:00+00:00,180.38,181.93,179.92,181.71,2110213,168.0542951162,169.4983806991,167.625727782,169.2934137131,2110213,0.0,1.0
COST,2017-06-12 00:00:00+00:00,179.64,180.87,178.79,179.58,2382374,167.3648607089,168.510812494,166.5729428087,167.3089606219,2382374,0.0,1.0
COST,2017-06-13 00:00:00+00:00,180.51,180.79,179.03,179.9,1707673,168.1754119716,168.4362790446,166.796543157,167.6070944196,1707673,0.0,1.0
COST,2017-06-14 00:00:00+00:00,181.67,181.96,180.23,180.83,1431788,169.2561469884,169.5263307426,167.9145448985,168.4735457693,1431788,0.0,1.0
COST,2017-06-15 00:00:00+00:00,180.06,181.33,178.37,180.39,1748853,167.7561613185,168.9393798283,166.1816421991,168.0636117974,1748853,0.0,1.0
COST,2017-06-16 00:00:00+00:00,167.11,170.6,165.0,170.4,24023600,155.691059191,158.9425809227,153.7252394621,158.7562472991,24023600,0.0,1.0
COST,2017-06-19 00:00:00+00:00,164.34,167.3827,162.39,167.05,13751019,153.1103385043,155.9451250868,151.2935856743,155.6351591039,13751019,0.0,1.0
COST,2017-06-20 00:00:00+00:00,162.9,165.5,162.43,165.5,7082184,151.7687364144,154.1910735211,151.330852399,154.1910735211,7082184,0.0,1.0
COST,2017-06-21 00:00:00+00:00,163.15,163.77,162.75,163.49,3390543,152.0016534439,152.579287677,151.6289861967,152.318420604,3390543,0.0,1.0
COST,2017-06-22 00:00:00+00:00,159.79,163.3,159.01,163.17,7932996,148.8712485676,152.1414036616,148.1445474356,152.0202868063,7932996,0.0,1.0
COST,2017-06-23 00:00:00+00:00,157.13,159.8,156.56,159.4,9183609,146.3930113738,148.8805652488,145.8619605466,148.5078980016,9183609,0.0,1.0
COST,2017-06-26 00:00:00+00:00,160.2,160.99,158.1,158.15,6452740,149.253232496,149.9892503091,147.2967294483,147.3433128542,6452740,0.0,1.0
COST,2017-06-27 00:00:00+00:00,159.26,161.55,159.2,160.66,5497141,148.3774644651,150.5109844552,148.321564378,149.6817998302,5497141,0.0,1.0
COST,2017-06-28 00:00:00+00:00,160.17,160.5,159.5,159.59,3216421,149.2252824524,149.5327329313,148.6010648134,148.684914944,3216421,0.0,1.0
COST,2017-06-29 00:00:00+00:00,158.68,160.47,157.8,160.21,3588484,147.8370969567,149.5047828878,147.0172290129,149.2625491771,3588484,0.0,1.0
COST,2017-06-30 00:00:00+00:00,159.93,160.539,158.79,159.6,4667570,149.0016821041,149.5690679879,147.9395804496,148.6942316252,4667570,0.0,1.0
COST,2017-07-03 00:00:00+00:00,158.82,160.53,158.69,160.21,1995049,147.9675304932,149.5606829749,147.8464136378,149.2625491771,1995049,0.0,1.0
COST,2017-07-05 00:00:00+00:00,158.02,159.5,157.86,158.93,3694171,147.2221959988,148.6010648134,147.0731290999,148.0700139862,3694171,0.0,1.0
COST,2017-07-06 00:00:00+00:00,157.09,161.35,157.05,161.11,6860387,146.3557446491,150.3246508316,146.3184779244,150.1010504833,6860387,0.0,1.0
COST,2017-07-07 00:00:00+00:00,154.11,157.55,154.09,157.36,7607437,143.5793736576,146.7843119834,143.5607402953,146.607295041,7607437,0.0,1.0
COST,2017-07-10 00:00:00+00:00,151.0,153.6,150.96,153.51,8807186,140.6818858108,143.1042229175,140.6446190861,143.0203727869,8807186,0.0,1.0
COST,2017-07-11 00:00:00+00:00,151.11,153.09,150.93,151.45,6105829,140.7843693038,142.6290721773,140.6166690425,141.1011364639,6105829,0.0,1.0
COST,2017-07-12 00:00:00+00:00,151.75,152.9,151.42,151.46,5026140,141.3806368993,142.4520552349,141.0731864203,141.1104531451,5026140,0.0,1.0
COST,2017-07-13 00:00:00+00:00,153.6,153.928,152.62,153.23,5662209,143.1042229175,143.4098100602,142.1911881619,142.7595057138,5662209,0.0,1.0
COST,2017-07-14 00:00:00+00:00,153.0,154.27,152.9,154.26,4327584,142.5452220467,143.7284405565,142.4520552349,143.7191238753,4327584,0.0,1.0
COST,2017-07-17 00:00:00+00:00,152.84,153.44,152.52,153.0,3086869,142.3961551478,142.9551560186,142.0980213501,142.5452220467,3086869,0.0,1.0
COST,2017-07-18 00:00:00+00:00,151.5,152.84,150.936,152.61,3248989,141.1477198698,142.3961551478,140.6222590512,142.1818714807,3248989,0.0,1.0
COST,2017-07-19 00:00:00+00:00,151.24,152.16,150.9,151.81,3573267,140.9054861591,141.7626208276,140.588718999,141.4365369863,3573267,0.0,1.0
COST,2017-07-20 00:00:00+00:00,150.99,152.19,150.88,151.47,3164780,140.6725691296,141.7905708712,140.5700856366,141.1197698262,3164780,0.0,1.0
COST,2017-07-21 00:00:00+00:00,150.44,151.23,150.0,150.94,3918900,140.1601516647,140.8961694779,139.7502176928,140.6259857237,3918900,0.0,1.0
COST,2017-07-24 00:00:00+00:00,151.0,151.47,150.11,150.45,3613341,140.6818858108,141.1197698262,139.8527011858,140.1694683459,3613341,0.0,1.0
COST,2017-07-25 00:00:00+00:00,153.17,153.6999,151.4,151.41,4573786,142.7036056268,143.1972965625,141.054553058,141.0638697392,4573786,0.0,1.0
COST,2017-07-26 00:00:00+00:00,152.09,153.5,151.55,153.41,2960129,141.6974040594,143.0110561057,141.1943032757,142.9272059751,2960129,0.0,1.0
COST,2017-07-27 00:00:00+00:00,152.52,152.985,151.44,152.01,3594285,142.0980213501,142.5312470249,141.0918197827,141.6228706099,3594285,0.0,1.0
COST,2017-07-28 00:00:00+00:00,152.89,153.3,152.11,152.67,2743488,142.4427385537,142.8247224821,141.7160374217,142.2377715678,2743488,0.0,1.0
COST,2017-07-31 00:00:00+00:00,158.51,158.66,153.03,153.08,6869043,147.6787133766,147.8184635943,142.5731720902,142.6197554961,6869043,0.0,1.0
COST,2017-08-01 00:00:00+00:00,159.72,159.97,157.905,159.1,4739801,148.8060317993,149.0389488288,147.1150541653,148.2283975662,4739801,0.0,1.0
COST,2017-08-02 00:00:00+00:00,161.28,161.55,158.44,159.13,5459983,150.2594340633,150.5109844552,147.6134966084,148.2563476097,5459983,0.0,1.0
COST,2017-08-03 00:00:00+00:00,157.91,162.35,157.06,161.61,5513022,147.1197125058,151.2563189496,146.3277946056,150.5668845423,5513022,0.0,1.0
