symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CSCO,2017-04-24 00:00:00+00:00,33.28,33.36,33.13,33.24,15379635,28.6203771841,28.6891761677,28.4913790898,28.5859776923,15379635,0.0,1.0
CSCO,2017-04-25 00:00:00+00:00,33.42,33.52,33.35,33.39,14823502,28.7407754054,28.8267741349,28.6805762947,28.7149757865,14823502,0.0,1.0
CSCO,2017-04-26 00:00:00+00:00,33.4,33.63,33.37,33.58,15558064,28.7235756595,28.9213727374,28.6977760406,28.8783733726,15558064,0.0,1.0
CSCO,2017-04-27 00:00:00+00:00,33.75,34.11,33.62,34.01,26143530,29.0245712128,29.3341666391,28.9127728644,29.2481679096,26143530,0.0,1.0
CSCO,2017-04-28 00:00:00+00:00,34.07,34.075,33.67,33.88,19738533,29.2997671473,29.3040670838,28.9557722292,29.1363695612,19738533,0.0,1.0
CSCO,2017-05-01 00:00:00+00:00,33.97,34.14,33.81,34.11,13233720,29.2137684178,29.3599662579,29.0761704505,29.3341666391,13233720,0.0,1.0
CSCO,2017-05-02 00:00:00+00:00,34.24,34.24,33.93,34.06,14139327,29.4459649875,29.4459649875,29.1793689259,29.2911672743,14139327,0.0,1.0
CSCO,2017-05-03 00:00:00+00:00,34.25,34.335,34.12,34.16,14235734,29.4545648604,29.5276637805,29.342766512,29.3771660038,14235734,0.0,1.0
CSCO,2017-05-04 00:00:00+00:00,34.18,34.49,34.07,34.33,13621120,29.3943657497,29.6609618113,29.2997671473,29.523363844,13621120,0.0,1.0
CSCO,2017-05-05 00:00:00+00:00,34.39,34.4,34.07,34.25,14632151,29.5749630817,29.5835629547,29.2997671473,29.4545648604,14632151,0.0,1.0
CSCO,2017-05-08 00:00:00+00:00,34.29,34.6,34.15,34.46,13121916,29.4889643522,29.7555604137,29.3685661309,29.6351621924,13121916,0.0,1.0
CSCO,2017-05-09 00:00:00+00:00,33.9,34.255,33.84,34.14,18342556,29.1535693071,29.4588647969,29.1019700694,29.3599662579,18342556,0.0,1.0
CSCO,2017-05-10 00:00:00+00:00,33.74,33.9,33.58,33.9,17203603,29.0159713399,29.1535693071,28.8783733726,29.1535693071,17203603,0.0,1.0
CSCO,2017-05-11 00:00:00+00:00,33.63,33.82,33.48,33.72,16374518,28.9213727374,29.0847703235,28.7923746431,28.998771594,16374518,0.0,1.0
CSCO,2017-05-12 00:00:00+00:00,33.45,33.62,33.14,33.6,19979562,28.7665750243,28.9127728644,28.4999789627,28.8955731185,19979562,0.0,1.0
CSCO,2017-05-15 00:00:00+00:00,34.23,34.46,33.9723,34.0,30393357,29.4373651145,29.6351621924,29.2157463885,29.2395680366,30393357,0.0,1.0
CSCO,2017-05-16 00:00:00+00:00,34.3,34.33,34.035,34.24,18667713,29.4975642252,29.523363844,29.2696675919,29.4459649875,18667713,0.0,1.0
