symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CSX,2017-04-24 00:00:00+00:00,50.13,51.66,50.07,51.48,11196759,15.6448154405,16.1223053193,15.6260903472,16.0661300395,33590277,0.0,1.0
CSX,2017-04-25 00:00:00+00:00,50.94,51.1,50.1,50.19,11086356,15.8976041999,15.947537782,15.6354528939,15.6635405338,33259068,0.0,1.0
CSX,2017-04-26 00:00:00+00:00,50.79,51.565,50.63,51.06,7935014,15.8507914667,16.092657255,15.8008578846,15.9350543865,23805042,0.0,1.0
CSX,2017-04-27 00:00:00+00:00,51.25,51.625,50.69,50.79,7844353,15.9943505152,16.1113823482,15.8195829779,15.8507914667,23533059,0.0,1.0
CSX,2017-04-28 00:00:00+00:00,50.84,51.57,50.75,51.5,6534559,15.8663957111,16.0942176794,15.8383080712,16.0723717372,19603677,0.0,1.0
CSX,2017-05-01 00:00:00+00:00,51.52,51.57,50.86,50.87,6682698,16.078613435,16.0942176794,15.8726374088,15.8757582577,20048094,0.0,1.0
CSX,2017-05-02 00:00:00+00:00,51.49,51.77,51.1,51.77,6605400,16.0692508884,16.156634657,15.947537782,16.156634657,19816200,0.0,1.0
CSX,2017-05-03 00:00:00+00:00,51.52,51.64,51.2,51.53,4576520,16.078613435,16.1160636216,15.9787462708,16.0817342839,13729560,0.0,1.0
CSX,2017-05-04 00:00:00+00:00,51.72,51.85,51.39,51.59,5835263,16.1410304126,16.1816014481,16.0380423995,16.1004593772,17505789,0.0,1.0
CSX,2017-05-05 00:00:00+00:00,52.5,52.5,51.66,51.78,6736388,16.3844566253,16.3844566253,16.1223053193,16.1597555059,20209164,0.0,1.0
CSX,2017-05-08 00:00:00+00:00,51.81,52.65,51.76,52.5,6670473,16.1691180525,16.4312693585,16.1535138081,16.3844566253,20011419,0.0,1.0
CSX,2017-05-09 00:00:00+00:00,51.81,52.21,51.66,51.69,4569022,16.1691180525,16.2939520078,16.1223053193,16.131667866,13707066,0.0,1.0
CSX,2017-05-10 00:00:00+00:00,51.72,51.925,51.52,51.84,4436122,16.1410304126,16.2050078147,16.078613435,16.1784805992,13308366,0.0,1.0
CSX,2017-05-11 00:00:00+00:00,52.14,52.32,51.35,51.5,8861616,16.2721060656,16.3282813455,16.025559004,16.0723717372,26584848,0.0,1.0
CSX,2017-05-12 00:00:00+00:00,52.14,52.45,51.78,52.07,3804289,16.2721060656,16.3688523809,16.1597555059,16.2502601234,11412867,0.0,1.0
CSX,2017-05-15 00:00:00+00:00,51.34,52.27,51.295,52.11,8445520,16.0224381551,16.3126771011,16.0083943352,16.262743519,25336560,0.0,1.0
CSX,2017-05-16 00:00:00+00:00,51.12,51.62,50.94,51.55,9009699,15.9537794798,16.1098219238,15.8976041999,16.0879759816,27029097,0.0,1.0
CSX,2017-05-17 00:00:00+00:00,49.47,50.58,49.16,50.52,9898477,15.4388394144,15.7852536402,15.3420930991,15.7665285469,29695431,0.0,1.0
