symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CTRP,2017-04-24 00:00:00+00:00,47.55,48.04,47.3742,47.96,4004949,47.55,48.04,47.3742,47.96,4004949,0.0,1.0
CTRP,2017-04-25 00:00:00+00:00,49.1,49.51,48.29,48.48,5011307,49.1,49.51,48.29,48.48,5011307,0.0,1.0
CTRP,2017-04-26 00:00:00+00:00,49.64,49.75,48.65,49.43,3836302,49.64,49.75,48.65,49.43,3836302,0.0,1.0
CTRP,2017-04-27 00:00:00+00:00,50.24,50.39,49.55,49.8,4290200,50.24,50.39,49.55,49.8,4290200,0.0,1.0
CTRP,2017-04-28 00:00:00+00:00,50.51,50.57,49.94,50.3,4166596,50.51,50.57,49.94,50.3,4166596,0.0,1.0
CTRP,2017-05-01 00:00:00+00:00,52.08,52.5,50.45,50.45,5937234,52.08,52.5,50.45,50.45,5937234,0.0,1.0
CTRP,2017-05-02 00:00:00+00:00,52.38,53.11,52.08,52.12,4814183,52.38,53.11,52.08,52.12,4814183,0.0,1.0
CTRP,2017-05-03 00:00:00+00:00,52.31,53.19,51.87,53.19,2130311,52.31,53.19,51.87,53.19,2130311,0.0,1.0
CTRP,2017-05-04 00:00:00+00:00,52.2,52.27,51.48,52.22,2970815,52.2,52.27,51.48,52.22,2970815,0.0,1.0
CTRP,2017-05-05 00:00:00+00:00,52.68,52.72,51.73,52.31,3034957,52.68,52.72,51.73,52.31,3034957,0.0,1.0
CTRP,2017-05-08 00:00:00+00:00,52.97,53.12,52.54,53.1,4129352,52.97,53.12,52.54,53.1,4129352,0.0,1.0
CTRP,2017-05-09 00:00:00+00:00,55.33,55.48,53.37,53.7,8656467,55.33,55.48,53.37,53.7,8656467,0.0,1.0
CTRP,2017-05-10 00:00:00+00:00,56.13,56.75,55.3,55.86,8346382,56.13,56.75,55.3,55.86,8346382,0.0,1.0
CTRP,2017-05-11 00:00:00+00:00,54.15,54.79,52.72,53.86,9494386,54.15,54.79,52.72,53.86,9494386,0.0,1.0
CTRP,2017-05-12 00:00:00+00:00,55.33,55.39,54.4,54.59,5376561,55.33,55.39,54.4,54.59,5376561,0.0,1.0
CTRP,2017-05-15 00:00:00+00:00,55.16,55.7,54.96,55.37,4238959,55.16,55.7,54.96,55.37,4238959,0.0,1.0
CTRP,2017-05-16 00:00:00+00:00,56.43,56.565,54.95,55.25,6600712,56.43,56.565,54.95,55.25,6600712,0.0,1.0
CTRP,2017-05-17 00:00:00+00:00,54.89,56.12,54.84,55.445,4341640,54.89,56.12,54.84,55.445,4341640,0.0,1.0
CTRP,2017-05-18 00:00:00+00:00,55.47,55.72,53.44,53.85,3286473,55.47,55.72,53.44,53.85,3286473,0.0,1.0
CTRP,2017-05-19 00:00:00+00:00,56.15,56.403,55.11,55.45,3561391,56.15,56.403,55.11,55.45,3561391,0.0,1.0
CTRP,2017-05-22 00:00:00+00:00,55.37,56.495,55.27,56.16,3938618,55.37,56.495,55.27,56.16,3938618,0.0,1.0
CTRP,2017-05-23 00:00:00+00:00,54.68,55.66,54.37,55.64,3584358,54.68,55.66,54.37,55.64,3584358,0.0,1.0
CTRP,2017-05-24 00:00:00+00:00,54.94,55.01,54.3,54.82,2166684,54.94,55.01,54.3,54.82,2166684,0.0,1.0
CTRP,2017-05-25 00:00:00+00:00,55.71,56.04,54.94,55.43,2609545,55.71,56.04,54.94,55.43,2609545,0.0,1.0
CTRP,2017-05-26 00:00:00+00:00,55.32,56.08,54.96,55.99,1777729,55.32,56.08,54.96,55.99,1777729,0.0,1.0
CTRP,2017-05-30 00:00:00+00:00,55.17,55.49,54.47,55.3,2587567,55.17,55.49,54.47,55.3,2587567,0.0,1.0
CTRP,2017-05-31 00:00:00+00:00,54.65,55.23,54.465,54.97,3638006,54.65,55.23,54.465,54.97,3638006,0.0,1.0
CTRP,2017-06-01 00:00:00+00:00,56.14,56.56,54.9239,55.0,3526856,56.14,56.56,54.9239,55.0,3526856,0.0,1.0
CTRP,2017-06-02 00:00:00+00:00,56.15,56.3,55.53,56.3,3261933,56.15,56.3,55.53,56.3,3261933,0.0,1.0
CTRP,2017-06-05 00:00:00+00:00,56.65,56.9,55.82,56.24,3076641,56.65,56.9,55.82,56.24,3076641,0.0,1.0
CTRP,2017-06-06 00:00:00+00:00,56.85,57.65,56.17,56.34,3603921,56.85,57.65,56.17,56.34,3603921,0.0,1.0
CTRP,2017-06-07 00:00:00+00:00,57.38,57.44,56.69,57.0,3095788,57.38,57.44,56.69,57.0,3095788,0.0,1.0
CTRP,2017-06-08 00:00:00+00:00,58.02,58.58,56.84,57.95,4774827,58.02,58.58,56.84,57.95,4774827,0.0,1.0
CTRP,2017-06-09 00:00:00+00:00,55.83,58.49,54.38,58.37,6329570,55.83,58.49,54.38,58.37,6329570,0.0,1.0
CTRP,2017-06-12 00:00:00+00:00,54.86,55.53,53.6,55.42,5164892,54.86,55.53,53.6,55.42,5164892,0.0,1.0
CTRP,2017-06-13 00:00:00+00:00,55.06,55.54,54.55,55.44,3207383,55.06,55.54,54.55,55.44,3207383,0.0,1.0
CTRP,2017-06-14 00:00:00+00:00,53.76,55.5,53.28,55.5,4306225,53.76,55.5,53.28,55.5,4306225,0.0,1.0
CTRP,2017-06-15 00:00:00+00:00,52.64,53.39,51.78,53.02,7367914,52.64,53.39,51.78,53.02,7367914,0.0,1.0
CTRP,2017-06-16 00:00:00+00:00,52.94,53.08,52.12,52.5,4854775,52.94,53.08,52.12,52.5,4854775,0.0,1.0
CTRP,2017-06-19 00:00:00+00:00,53.92,54.01,53.2875,53.72,3914893,53.92,54.01,53.2875,53.72,3914893,0.0,1.0
CTRP,2017-06-20 00:00:00+00:00,54.07,54.35,53.76,54.07,4249604,54.07,54.35,53.76,54.07,4249604,0.0,1.0
CTRP,2017-06-21 00:00:00+00:00,55.05,55.16,53.87,54.19,2878417,55.05,55.16,53.87,54.19,2878417,0.0,1.0
CTRP,2017-06-22 00:00:00+00:00,55.77,56.1,54.63,54.9,4105970,55.77,56.1,54.63,54.9,4105970,0.0,1.0
CTRP,2017-06-23 00:00:00+00:00,55.63,56.03,55.36,55.67,2036212,55.63,56.03,55.36,55.67,2036212,0.0,1.0
CTRP,2017-06-26 00:00:00+00:00,54.97,56.52,54.57,55.99,2752685,54.97,56.52,54.57,55.99,2752685,0.0,1.0
CTRP,2017-06-27 00:00:00+00:00,54.14,55.45,53.65,55.17,2845915,54.14,55.45,53.65,55.17,2845915,0.0,1.0
CTRP,2017-06-28 00:00:00+00:00,54.85,55.135,53.08,54.2,2605131,54.85,55.135,53.08,54.2,2605131,0.0,1.0
CTRP,2017-06-29 00:00:00+00:00,53.85,54.84,52.67,54.47,4487204,53.85,54.84,52.67,54.47,4487204,0.0,1.0
CTRP,2017-06-30 00:00:00+00:00,53.86,54.48,53.41,54.09,2473122,53.86,54.48,53.41,54.09,2473122,0.0,1.0
CTRP,2017-07-03 00:00:00+00:00,53.87,54.54,53.45,54.32,1062267,53.87,54.54,53.45,54.32,1062267,0.0,1.0
CTRP,2017-07-05 00:00:00+00:00,54.2,54.25,53.12,53.78,3179330,54.2,54.25,53.12,53.78,3179330,0.0,1.0
CTRP,2017-07-06 00:00:00+00:00,53.13,54.0,52.81,53.73,3243265,53.13,54.0,52.81,53.73,3243265,0.0,1.0
CTRP,2017-07-07 00:00:00+00:00,53.07,53.62,52.885,53.4,1882008,53.07,53.62,52.885,53.4,1882008,0.0,1.0
CTRP,2017-07-10 00:00:00+00:00,54.3,54.93,53.205,53.23,2371487,54.3,54.93,53.205,53.23,2371487,0.0,1.0
CTRP,2017-07-11 00:00:00+00:00,54.84,55.17,53.88,54.41,2314051,54.84,55.17,53.88,54.41,2314051,0.0,1.0
CTRP,2017-07-12 00:00:00+00:00,55.98,56.16,55.23,55.39,2482474,55.98,56.16,55.23,55.39,2482474,0.0,1.0
CTRP,2017-07-13 00:00:00+00:00,56.17,56.3,55.66,56.2,2228647,56.17,56.3,55.66,56.2,2228647,0.0,1.0
CTRP,2017-07-14 00:00:00+00:00,57.49,57.85,56.26,56.49,3448553,57.49,57.85,56.26,56.49,3448553,0.0,1.0
CTRP,2017-07-17 00:00:00+00:00,56.85,57.48,56.25,57.27,2224542,56.85,57.48,56.25,57.27,2224542,0.0,1.0
CTRP,2017-07-18 00:00:00+00:00,57.63,57.74,56.41,56.53,2527192,57.63,57.74,56.41,56.53,2527192,0.0,1.0
CTRP,2017-07-19 00:00:00+00:00,57.95,58.13,57.27,57.74,2750629,57.95,58.13,57.27,57.74,2750629,0.0,1.0
CTRP,2017-07-20 00:00:00+00:00,57.36,58.25,56.86,58.25,2431040,57.36,58.25,56.86,58.25,2431040,0.0,1.0
CTRP,2017-07-21 00:00:00+00:00,58.07,58.15,57.02,57.36,1945013,58.07,58.15,57.02,57.36,1945013,0.0,1.0
CTRP,2017-07-24 00:00:00+00:00,57.94,58.18,57.4,58.07,2133303,57.94,58.18,57.4,58.07,2133303,0.0,1.0
CTRP,2017-07-25 00:00:00+00:00,57.88,58.24,57.36,58.24,1600024,57.88,58.24,57.36,58.24,1600024,0.0,1.0
CTRP,2017-07-26 00:00:00+00:00,59.72,60.11,58.0,58.12,3911997,59.72,60.11,58.0,58.12,3911997,0.0,1.0
