symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CTSH,2017-04-24 00:00:00+00:00,58.89,59.19,58.45,58.64,4201668,55.5140397382,55.7968417746,55.0992634182,55.2783713746,4201668,0.0,1.0
CTSH,2017-04-25 00:00:00+00:00,59.09,59.37,58.76,58.93,3105864,55.7025744292,55.9665229964,55.3914921892,55.5517466764,3105864,0.0,1.0
CTSH,2017-04-26 00:00:00+00:00,59.42,59.65,58.97,59.05,3769208,56.0136566692,56.2304715637,55.5894536146,55.664867491,3769208,0.0,1.0
CTSH,2017-04-27 00:00:00+00:00,59.7,59.725,59.31,59.45,3228326,56.2776052364,56.3011720728,55.9099625892,56.0419368728,3228326,0.0,1.0
CTSH,2017-04-28 00:00:00+00:00,60.23,60.4,59.44,59.74,4640188,56.7772221673,56.9374766546,56.0325101382,56.3153121746,4640188,0.0,1.0
CTSH,2017-05-01 00:00:00+00:00,60.35,60.75,60.16,60.4,4581716,56.8903429819,57.2674123637,56.7112350255,56.9374766546,4581716,0.0,1.0
CTSH,2017-05-02 00:00:00+00:00,60.49,60.81,60.2,60.33,3919061,57.0223172655,57.323972771,56.7489419637,56.8714895128,3919061,0.0,1.0
CTSH,2017-05-03 00:00:00+00:00,60.56,60.8,60.21,60.72,3530095,57.0883044073,57.3145460364,56.7583686982,57.2391321601,3530095,0.0,1.0
CTSH,2017-05-04 00:00:00+00:00,60.75,61.15,60.56,60.76,5461948,57.2674123637,57.6444817455,57.0883044073,57.2768390982,5461948,0.0,1.0
CTSH,2017-05-05 00:00:00+00:00,63.22,63.34,61.5,61.69,7806823,59.5958157964,59.708936611,57.9744174546,58.153525411,7806823,0.0,1.0
CTSH,2017-05-08 00:00:00+00:00,64.28,64.43,63.0,63.19,6745246,60.5950496582,60.7364506764,59.3884276364,59.5675355928,6745246,0.0,1.0
CTSH,2017-05-09 00:00:00+00:00,64.17,64.34,63.39,63.51,3460216,60.4913555782,60.6516100655,59.7560702837,59.8691910982,3460216,0.0,1.0
CTSH,2017-05-10 00:00:00+00:00,63.97,64.3,63.66,63.99,3424529,60.3028208873,60.6139031273,60.0105921164,60.3216743564,3424529,0.0,1.0
CTSH,2017-05-11 00:00:00+00:00,64.25,64.32,63.6,63.6,3034781,60.5667694546,60.6327565964,59.9540317092,59.9540317092,3034781,0.0,1.0
CTSH,2017-05-12 00:00:00+00:00,64.39,64.68,64.04,64.32,4247612,60.6987437382,60.9721190401,60.3688080292,60.6327565964,4247612,0.0,1.0
CTSH,2017-05-15 00:00:00+00:00,64.49,64.72,64.1301,64.4,3880167,60.7930110837,61.0098259782,60.4537429074,60.7081704728,3880167,0.0,1.0
CTSH,2017-05-16 00:00:00+00:00,65.19,65.25,64.26,64.64,3235335,61.4528825019,61.5094429092,60.5761961892,60.9344121019,3235335,0.0,1.0
CTSH,2017-05-17 00:00:00+00:00,64.5,65.0,64.29,64.74,3888569,60.8024378182,61.2737745455,60.6044763928,61.0286794473,3888569,0.0,1.0
CTSH,2017-05-18 00:00:00+00:00,65.02,65.315,63.96,64.16,4013652,61.4340290328,61.7127592476,60.432489956,60.6214595931,4013652,0.15,1.0
CTSH,2017-05-19 00:00:00+00:00,65.42,65.52,64.9,65.11,3550255,61.8119683071,61.9064531256,61.3206472505,61.5190653695,3550255,0.0,1.0
CTSH,2017-05-22 00:00:00+00:00,65.79,65.86,65.17,65.4,2821058,62.1615621358,62.2277015088,61.5757562606,61.7930713434,2821058,0.0,1.0
CTSH,2017-05-23 00:00:00+00:00,66.01,66.3,65.66,66.0,4909045,62.3694287366,62.6434347105,62.0387318716,62.3599802548,4909045,0.0,1.0
CTSH,2017-05-24 00:00:00+00:00,66.49,66.61,65.85,66.17,3069138,62.8229558657,62.936337648,62.2182530269,62.5206044463,3069138,0.0,1.0
CTSH,2017-05-25 00:00:00+00:00,66.88,67.035,66.54,66.67,4337956,63.1914466582,63.3378981269,62.870198275,62.9930285392,4337956,0.0,1.0
CTSH,2017-05-26 00:00:00+00:00,66.79,67.13,66.7,67.13,2549342,63.1064103214,63.4276587046,63.0213739847,63.4276587046,2549342,0.0,1.0
CTSH,2017-05-30 00:00:00+00:00,66.49,66.69,66.29,66.69,5054339,62.8229558657,63.0119255029,62.6339862286,63.0119255029,5054339,0.0,1.0
CTSH,2017-05-31 00:00:00+00:00,66.91,67.095,66.43,66.64,3793067,63.2197921037,63.3945890181,62.7662649746,62.9646830936,3793067,0.0,1.0
CTSH,2017-06-01 00:00:00+00:00,67.39,67.44,66.66,66.91,3742893,63.6733192329,63.7205616421,62.9835800573,63.2197921037,3742893,0.0,1.0
CTSH,2017-06-02 00:00:00+00:00,67.47,67.56,66.66,67.5,5680485,63.7489070877,63.8339434244,62.9835800573,63.7772525333,5680485,0.0,1.0
CTSH,2017-06-05 00:00:00+00:00,67.56,67.88,67.31,67.49,2254970,63.8339434244,64.1362948438,63.597731378,63.7678040514,2254970,0.0,1.0
CTSH,2017-06-06 00:00:00+00:00,67.41,67.77,67.15,67.29,4746919,63.6922161966,64.0323615434,63.4465556683,63.5788344143,4746919,0.0,1.0
CTSH,2017-06-07 00:00:00+00:00,66.96,67.39,66.5,67.04,4715668,63.267034513,63.6733192329,62.8324043476,63.3426223679,4715668,0.0,1.0
CTSH,2017-06-08 00:00:00+00:00,66.87,66.915,66.3,66.41,3287714,63.1819981763,63.2245163447,62.6434347105,62.7473680109,3287714,0.0,1.0
CTSH,2017-06-09 00:00:00+00:00,66.31,67.13,65.83,67.13,4286644,62.6528831923,63.4276587046,62.1993560632,63.4276587046,4286644,0.0,1.0
CTSH,2017-06-12 00:00:00+00:00,66.29,66.33,65.59,65.91,4226663,62.6339862286,62.671780156,61.9725924986,62.274943918,4226663,0.0,1.0
CTSH,2017-06-13 00:00:00+00:00,66.43,66.64,65.8,66.43,4414221,62.7662649746,62.9646830936,62.1710106176,62.7662649746,4414221,0.0,1.0
CTSH,2017-06-14 00:00:00+00:00,66.47,66.93,65.94,66.44,3192346,62.804058902,63.2386890674,62.3032893636,62.7757134565,3192346,0.0,1.0
CTSH,2017-06-15 00:00:00+00:00,66.39,66.545,65.79,66.11,3983128,62.7284710472,62.874922516,62.1615621358,62.4639135552,3983128,0.0,1.0
CTSH,2017-06-16 00:00:00+00:00,66.59,66.64,65.87,66.13,9881663,62.9174406843,62.9646830936,62.2371499906,62.4828105189,9881663,0.0,1.0
CTSH,2017-06-19 00:00:00+00:00,67.4,67.455,66.85,66.85,3117038,63.6827677147,63.7347343649,63.1631012126,63.1631012126,3117038,0.0,1.0
