symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CTXS,2017-05-30 00:00:00+00:00,82.15,82.44,81.659,82.18,1799734,78.7927002544,79.0708485572,78.3217664039,78.8214742168,1799734,0.0,1.0
CTXS,2017-05-31 00:00:00+00:00,82.54,82.6,81.33,82.45,1677444,79.1667617651,79.2243096898,78.00621195,79.080439878,1677444,0.0,1.0
CTXS,2017-06-01 00:00:00+00:00,82.86,83.03,82.15,82.74,2214971,79.4736840302,79.6367364836,78.7927002544,79.3585881808,2214971,0.0,1.0
CTXS,2017-06-02 00:00:00+00:00,83.43,83.49,82.53,83.0,1648153,80.020389315,80.0779372397,79.1571704443,79.6079625212,1648153,0.0,1.0
CTXS,2017-06-05 00:00:00+00:00,83.32,84.01,83.31,83.55,962426,79.9148847864,80.5766859206,79.9052934656,80.1354851644,962426,0.0,1.0
CTXS,2017-06-06 00:00:00+00:00,82.85,83.61,82.56,83.1,947701,79.4640927094,80.1930330891,79.1859444066,79.7038757291,947701,0.0,1.0
CTXS,2017-06-07 00:00:00+00:00,83.27,83.34,82.57,82.82,931986,79.8669281824,79.9340674279,79.1955357274,79.4353187471,931986,0.0,1.0
CTXS,2017-06-08 00:00:00+00:00,83.21,83.4,82.74,83.15,893141,79.8093802577,79.9916153526,79.3585881808,79.751832333,893141,0.0,1.0
CTXS,2017-06-09 00:00:00+00:00,78.32,83.27,77.83,83.27,28867,75.1192243935,79.8669281824,74.649249675,79.8669281824,28867,0.0,1.0
CTXS,2017-06-12 00:00:00+00:00,80.85,80.98,77.223,77.4,2919959,77.5458285523,77.6705157225,74.0670565033,74.2368228812,2919959,0.0,1.0
CTXS,2017-06-13 00:00:00+00:00,80.75,81.36,80.26,81.1,1487659,77.4499153444,78.0349859124,76.9799406259,77.7856115719,1487659,0.0,1.0
CTXS,2017-06-14 00:00:00+00:00,79.97,81.23,79.13,80.96,956709,76.7017923232,77.9102987421,75.8961213772,77.6513330809,956709,0.0,1.0
CTXS,2017-06-15 00:00:00+00:00,79.26,79.54,78.26,79.17,1359913,76.0208085474,76.2893655294,75.0616764688,75.9344866603,1359913,0.0,1.0
