symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DISH,2017-05-30 00:00:00+00:00,63.63,64.262,62.325,64.07,1114709,63.63,64.262,62.325,64.07,1114709,0.0,1.0
DISH,2017-05-31 00:00:00+00:00,63.77,64.15,63.2,63.76,1942826,63.77,64.15,63.2,63.76,1942826,0.0,1.0
DISH,2017-06-01 00:00:00+00:00,65.21,65.25,63.53,63.99,2207332,65.21,65.25,63.53,63.99,2207332,0.0,1.0
DISH,2017-06-02 00:00:00+00:00,66.08,66.31,64.85,65.45,1915610,66.08,66.31,64.85,65.45,1915610,0.0,1.0
DISH,2017-06-05 00:00:00+00:00,66.19,66.44,65.37,66.2,2095273,66.19,66.44,65.37,66.2,2095273,0.0,1.0
DISH,2017-06-06 00:00:00+00:00,64.58,66.27,64.3,66.21,2053701,64.58,66.27,64.3,66.21,2053701,0.0,1.0
DISH,2017-06-07 00:00:00+00:00,64.89,65.055,64.54,64.69,1525585,64.89,65.055,64.54,64.69,1525585,0.0,1.0
DISH,2017-06-08 00:00:00+00:00,63.97,64.77,63.39,64.77,1977744,63.97,64.77,63.39,64.77,1977744,0.0,1.0
DISH,2017-06-09 00:00:00+00:00,65.02,66.25,64.505,65.44,4846930,65.02,66.25,64.505,65.44,4846930,0.0,1.0
DISH,2017-06-12 00:00:00+00:00,64.99,65.38,64.29,64.63,2132843,64.99,65.38,64.29,64.63,2132843,0.0,1.0
DISH,2017-06-13 00:00:00+00:00,66.04,66.33,64.71,64.71,1790604,66.04,66.33,64.71,64.71,1790604,0.0,1.0
DISH,2017-06-14 00:00:00+00:00,64.88,66.48,64.61,66.34,1618596,64.88,66.48,64.61,66.34,1618596,0.0,1.0
DISH,2017-06-15 00:00:00+00:00,65.28,65.35,64.21,64.61,1231013,65.28,65.35,64.21,64.61,1231013,0.0,1.0
DISH,2017-06-16 00:00:00+00:00,64.5,65.21,63.7,65.21,2776258,64.5,65.21,63.7,65.21,2776258,0.0,1.0
DISH,2017-06-19 00:00:00+00:00,64.98,65.285,64.23,64.66,1329906,64.98,65.285,64.23,64.66,1329906,0.0,1.0
DISH,2017-06-20 00:00:00+00:00,63.24,65.06,63.1,65.06,1468514,63.24,65.06,63.1,65.06,1468514,0.0,1.0
DISH,2017-06-21 00:00:00+00:00,63.24,63.47,62.7501,63.4,1740581,63.24,63.47,62.7501,63.4,1740581,0.0,1.0
DISH,2017-06-22 00:00:00+00:00,63.02,63.77,62.56,63.24,1812231,63.02,63.77,62.56,63.24,1812231,0.0,1.0
DISH,2017-06-23 00:00:00+00:00,63.89,64.01,62.62,63.12,1123219,63.89,64.01,62.62,63.12,1123219,0.0,1.0
DISH,2017-06-26 00:00:00+00:00,63.85,64.46,63.65,64.04,870847,63.85,64.46,63.65,64.04,870847,0.0,1.0
DISH,2017-06-27 00:00:00+00:00,63.83,64.98,63.6548,63.81,1536923,63.83,64.98,63.6548,63.81,1536923,0.0,1.0
DISH,2017-06-28 00:00:00+00:00,64.74,65.19,64.04,64.04,1411492,64.74,65.19,64.04,64.04,1411492,0.0,1.0
DISH,2017-06-29 00:00:00+00:00,62.69,64.46,62.27,64.41,2253746,62.69,64.46,62.27,64.41,2253746,0.0,1.0
DISH,2017-06-30 00:00:00+00:00,62.76,63.29,62.04,63.23,1576168,62.76,63.29,62.04,63.23,1576168,0.0,1.0
DISH,2017-07-03 00:00:00+00:00,62.88,63.715,62.86,63.29,597225,62.88,63.715,62.86,63.29,597225,0.0,1.0
DISH,2017-07-05 00:00:00+00:00,62.77,63.22,62.22,62.89,1425785,62.77,63.22,62.22,62.89,1425785,0.0,1.0
DISH,2017-07-06 00:00:00+00:00,63.4,64.12,62.48,62.84,2809604,63.4,64.12,62.48,62.84,2809604,0.0,1.0
DISH,2017-07-07 00:00:00+00:00,63.89,64.62,63.46,63.65,1520254,63.89,64.62,63.46,63.65,1520254,0.0,1.0
DISH,2017-07-10 00:00:00+00:00,64.3,64.43,63.54,63.83,1054287,64.3,64.43,63.54,63.83,1054287,0.0,1.0
DISH,2017-07-11 00:00:00+00:00,64.78,65.305,64.25,64.36,1477398,64.78,65.305,64.25,64.36,1477398,0.0,1.0
DISH,2017-07-12 00:00:00+00:00,65.19,65.66,64.73,65.14,1606415,65.19,65.66,64.73,65.14,1606415,0.0,1.0
DISH,2017-07-13 00:00:00+00:00,64.65,65.14,64.5,65.14,2315776,64.65,65.14,64.5,65.14,2315776,0.0,1.0
DISH,2017-07-14 00:00:00+00:00,66.0,66.26,64.94,64.97,1804067,66.0,66.26,64.94,64.97,1804067,0.0,1.0
DISH,2017-07-17 00:00:00+00:00,65.87,66.5,65.47,66.05,1414908,65.87,66.5,65.47,66.05,1414908,0.0,1.0
DISH,2017-07-18 00:00:00+00:00,65.53,65.77,64.96,65.67,1566728,65.53,65.77,64.96,65.67,1566728,0.0,1.0
DISH,2017-07-19 00:00:00+00:00,65.09,66.0,65.0,65.79,1642156,65.09,66.0,65.0,65.79,1642156,0.0,1.0
DISH,2017-07-20 00:00:00+00:00,65.09,66.0,65.01,65.25,1308306,65.09,66.0,65.01,65.25,1308306,0.0,1.0
DISH,2017-07-21 00:00:00+00:00,64.72,65.27,64.15,64.84,1719524,64.72,65.27,64.15,64.84,1719524,0.0,1.0
DISH,2017-07-24 00:00:00+00:00,64.33,64.92,64.14,64.66,2032340,64.33,64.92,64.14,64.66,2032340,0.0,1.0
DISH,2017-07-25 00:00:00+00:00,64.44,65.16,64.0422,64.51,1401196,64.44,65.16,64.0422,64.51,1401196,0.0,1.0
DISH,2017-07-26 00:00:00+00:00,64.27,64.3,62.71,62.99,2169510,64.27,64.3,62.71,62.99,2169510,0.0,1.0
DISH,2017-07-27 00:00:00+00:00,63.88,64.62,62.9,64.4,2121402,63.88,64.62,62.9,64.4,2121402,0.0,1.0
DISH,2017-07-28 00:00:00+00:00,63.94,64.19,63.5,63.8,1117429,63.94,64.19,63.5,63.8,1117429,0.0,1.0
DISH,2017-07-31 00:00:00+00:00,64.03,64.5,63.32,63.98,1186102,64.03,64.5,63.32,63.98,1186102,0.0,1.0
DISH,2017-08-01 00:00:00+00:00,65.49,66.48,63.53,64.19,3416758,65.49,66.48,63.53,64.19,3416758,0.0,1.0
DISH,2017-08-02 00:00:00+00:00,64.0,65.17,63.4,65.17,3193708,64.0,65.17,63.4,65.17,3193708,0.0,1.0
DISH,2017-08-03 00:00:00+00:00,61.11,63.725,60.7,63.53,4816023,61.11,63.725,60.7,63.53,4816023,0.0,1.0
DISH,2017-08-04 00:00:00+00:00,60.62,61.39,60.16,60.83,2366508,60.62,61.39,60.16,60.83,2366508,0.0,1.0
DISH,2017-08-07 00:00:00+00:00,60.04,60.59,59.7,60.5,1383918,60.04,60.59,59.7,60.5,1383918,0.0,1.0
DISH,2017-08-08 00:00:00+00:00,59.71,60.49,59.33,59.89,1392188,59.71,60.49,59.33,59.89,1392188,0.0,1.0
DISH,2017-08-09 00:00:00+00:00,59.74,59.92,58.96,59.3,1277303,59.74,59.92,58.96,59.3,1277303,0.0,1.0
DISH,2017-08-10 00:00:00+00:00,58.19,59.62,58.15,59.19,1871738,58.19,59.62,58.15,59.19,1871738,0.0,1.0
DISH,2017-08-11 00:00:00+00:00,58.46,58.66,58.02,58.41,1174617,58.46,58.66,58.02,58.41,1174617,0.0,1.0
DISH,2017-08-14 00:00:00+00:00,58.72,59.46,58.59,58.74,1613743,58.72,59.46,58.59,58.74,1613743,0.0,1.0
DISH,2017-08-15 00:00:00+00:00,58.15,58.83,57.99,58.64,1185436,58.15,58.83,57.99,58.64,1185436,0.0,1.0
DISH,2017-08-16 00:00:00+00:00,58.46,58.75,57.82,58.46,1640086,58.46,58.75,57.82,58.46,1640086,0.0,1.0
DISH,2017-08-17 00:00:00+00:00,56.94,58.4,56.88,58.34,1490382,56.94,58.4,56.88,58.34,1490382,0.0,1.0
DISH,2017-08-18 00:00:00+00:00,56.84,57.38,56.22,56.72,2060090,56.84,57.38,56.22,56.72,2060090,0.0,1.0
DISH,2017-08-21 00:00:00+00:00,56.65,57.03,56.54,56.95,926315,56.65,57.03,56.54,56.95,926315,0.0,1.0
DISH,2017-08-22 00:00:00+00:00,57.45,57.66,56.81,56.81,1515468,57.45,57.66,56.81,56.81,1515468,0.0,1.0
DISH,2017-08-23 00:00:00+00:00,57.28,57.92,57.23,57.31,1395737,57.28,57.92,57.23,57.31,1395737,0.0,1.0
DISH,2017-08-24 00:00:00+00:00,57.31,57.69,56.47,57.25,1648380,57.31,57.69,56.47,57.25,1648380,0.0,1.0
DISH,2017-08-25 00:00:00+00:00,56.64,57.72,56.64,57.56,1102045,56.64,57.72,56.64,57.56,1102045,0.0,1.0
DISH,2017-08-28 00:00:00+00:00,56.66,57.02,56.44,56.61,876556,56.66,57.02,56.44,56.61,876556,0.0,1.0
DISH,2017-08-29 00:00:00+00:00,57.77,59.9,55.965,56.29,3618778,57.77,59.9,55.965,56.29,3618778,0.0,1.0
DISH,2017-08-30 00:00:00+00:00,57.2,57.9,57.05,57.56,1567342,57.2,57.9,57.05,57.56,1567342,0.0,1.0
DISH,2017-08-31 00:00:00+00:00,57.29,57.44,56.51,57.38,1674740,57.29,57.44,56.51,57.38,1674740,0.0,1.0
DISH,2017-09-01 00:00:00+00:00,58.47,58.7,57.62,57.62,1627093,58.47,58.7,57.62,57.62,1627093,0.0,1.0
DISH,2017-09-05 00:00:00+00:00,57.15,58.6699,56.84,58.47,1739191,57.15,58.6699,56.84,58.47,1739191,0.0,1.0
DISH,2017-09-06 00:00:00+00:00,57.6,57.74,57.14,57.38,1055491,57.6,57.74,57.14,57.38,1055491,0.0,1.0
DISH,2017-09-07 00:00:00+00:00,55.48,57.9499,55.44,57.61,2179575,55.48,57.9499,55.44,57.61,2179575,0.0,1.0
DISH,2017-09-08 00:00:00+00:00,54.6,55.9,54.535,55.49,2443288,54.6,55.9,54.535,55.49,2443288,0.0,1.0
DISH,2017-09-11 00:00:00+00:00,54.56,55.3,54.4,55.02,1568384,54.56,55.3,54.4,55.02,1568384,0.0,1.0
DISH,2017-09-12 00:00:00+00:00,54.59,54.81,54.23,54.49,1268276,54.59,54.81,54.23,54.49,1268276,0.0,1.0
DISH,2017-09-13 00:00:00+00:00,53.94,54.58,53.74,54.24,3275334,53.94,54.58,53.74,54.24,3275334,0.0,1.0
DISH,2017-09-14 00:00:00+00:00,53.07,53.98,52.14,53.86,4115726,53.07,53.98,52.14,53.86,4115726,0.0,1.0
DISH,2017-09-15 00:00:00+00:00,52.95,53.4,52.44,53.4,2995100,52.95,53.4,52.44,53.4,2995100,0.0,1.0
DISH,2017-09-18 00:00:00+00:00,52.85,53.42,52.4501,52.69,2052637,52.85,53.42,52.4501,52.69,2052637,0.0,1.0
DISH,2017-09-19 00:00:00+00:00,53.38,53.49,52.39,52.78,2809272,53.38,53.49,52.39,52.78,2809272,0.0,1.0
DISH,2017-09-20 00:00:00+00:00,53.56,54.7,53.39,53.6,2640438,53.56,54.7,53.39,53.6,2640438,0.0,1.0
DISH,2017-09-21 00:00:00+00:00,53.25,53.91,52.85,53.65,1267093,53.25,53.91,52.85,53.65,1267093,0.0,1.0
