symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
EA,2017-04-24 00:00:00+00:00,92.81,93.065,92.51,92.86,2020861,92.1016546875,92.3547084742,91.8039443502,92.151273077,2020861,0.0,1.0
EA,2017-04-25 00:00:00+00:00,92.99,93.4,92.69,93.39,2038237,92.2802808899,92.6871516842,91.9825705526,92.6772280063,2038237,0.0,1.0
EA,2017-04-26 00:00:00+00:00,93.5,93.73,92.31,93.21,1533799,92.7863884633,93.0146330553,91.605470792,92.4986018039,1533799,0.0,1.0
EA,2017-04-27 00:00:00+00:00,94.24,94.99,93.71,94.0,1515080,93.5207406287,94.265016472,92.9947856994,93.2825723588,1515080,0.0,1.0
EA,2017-04-28 00:00:00+00:00,94.82,94.91,93.82,94.45,1929026,94.0963139475,94.1856270487,93.1039461564,93.7291378648,1929026,0.0,1.0
EA,2017-05-01 00:00:00+00:00,94.79,95.42,94.71,95.21,2254890,94.0665429138,94.6917346221,93.9871534905,94.483337386,2254890,0.0,1.0
EA,2017-05-02 00:00:00+00:00,94.25,95.32,94.12,94.69,2328476,93.5306643066,94.592497843,93.4016564938,93.9673061347,2328476,0.0,1.0
EA,2017-05-03 00:00:00+00:00,94.11,95.45,93.62,95.45,2867589,93.3917328159,94.7215056559,92.9054725982,94.7215056559,2867589,0.0,1.0
EA,2017-05-04 00:00:00+00:00,94.76,95.08,93.92,94.11,4543891,94.03677188,94.3543295732,93.2031829356,93.3917328159,4543891,0.0,1.0
EA,2017-05-05 00:00:00+00:00,95.74,95.87,94.59,95.39,5171638,95.0092923153,95.1383001281,93.8680693556,94.6619635884,5171638,0.0,1.0
EA,2017-05-08 00:00:00+00:00,95.73,96.49,95.45,95.92,5303136,94.9993686374,95.7535681586,94.7215056559,95.1879185177,5303136,0.0,1.0
EA,2017-05-09 00:00:00+00:00,96.01,96.34,95.25,95.86,5905898,95.2772316188,95.6047129899,94.5230320976,95.1283764502,5905898,0.0,1.0
EA,2017-05-10 00:00:00+00:00,108.16,110.61,104.76,105.97,11155903,107.3345002801,109.7658013682,103.9604497905,105.1612148177,11155903,0.0,1.0
EA,2017-05-11 00:00:00+00:00,108.58,109.3202,106.83,107.55,5693106,107.7512947524,108.4858453913,106.014651118,106.7291559276,5693106,0.0,1.0
EA,2017-05-12 00:00:00+00:00,109.09,109.25,107.46,108.19,3158559,108.2574023258,108.4161811724,106.6398428264,107.3642713139,3158559,0.0,1.0
EA,2017-05-15 00:00:00+00:00,110.9,111.26,108.85,108.99,3196976,110.0535880276,110.4108404324,108.0192340559,108.1581655467,3196976,0.0,1.0
EA,2017-05-16 00:00:00+00:00,111.76,112.16,110.44,111.23,2949291,110.9070243279,111.3039714443,109.5970988437,110.3810693987,2949291,0.0,1.0
EA,2017-05-17 00:00:00+00:00,105.24,109.38,105.0,108.71,7334963,104.4367863303,108.5451889852,104.1986180604,107.8803025652,7334963,0.0,1.0
EA,2017-05-18 00:00:00+00:00,106.93,107.65,104.34,104.71,3116744,106.1138878971,106.8283927067,103.5436553183,103.910831401,3116744,0.0,1.0
EA,2017-05-19 00:00:00+00:00,107.64,107.95,106.33,107.41,2268802,106.8184690288,107.126103044,105.5184672225,106.5902244368,2268802,0.0,1.0
