symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
EBAY,2017-05-30 00:00:00+00:00,34.62,34.83,34.37,34.78,7248325,33.1136059799,33.3144684078,32.8744840418,33.2666440202,7248325,0.0,1.0
EBAY,2017-05-31 00:00:00+00:00,34.3,34.92,34.1,34.92,9657966,32.8075298992,33.4005523055,32.6162323487,33.4005523055,9657966,0.0,1.0
EBAY,2017-06-01 00:00:00+00:00,34.79,34.89,34.2,34.44,6463818,33.2762088977,33.371857673,32.711881124,32.9414381845,6463818,0.0,1.0
EBAY,2017-06-02 00:00:00+00:00,35.32,35.44,34.61,34.92,6843000,33.7831474064,33.8979259366,33.1040411023,33.4005523055,6843000,0.0,1.0
EBAY,2017-06-05 00:00:00+00:00,35.55,36.02,35.39,36.02,5946671,34.0031395894,34.4526888329,33.850101549,34.4526888329,5946671,0.0,1.0
EBAY,2017-06-06 00:00:00+00:00,35.47,35.805,35.35,35.41,5463513,33.9266205692,34.2470439662,33.8118420389,33.8692313041,5463513,0.0,1.0
EBAY,2017-06-07 00:00:00+00:00,35.77,35.87,35.56,35.65,5280007,34.2135668949,34.3092156701,34.0127044669,34.0987883646,5280007,0.0,1.0
EBAY,2017-06-08 00:00:00+00:00,36.14,36.315,35.865,36.07,8767604,34.5674673632,34.7348527198,34.3044332313,34.5005132205,8767604,0.0,1.0
EBAY,2017-06-09 00:00:00+00:00,34.94,36.5,34.69,36.25,10974043,33.4196820606,34.9118029539,33.1805601225,34.6726810159,10974043,0.0,1.0
EBAY,2017-06-12 00:00:00+00:00,34.15,34.77,33.975,34.7,12807616,32.6640567364,33.2570791427,32.4966713797,33.190125,12807616,0.0,1.0
EBAY,2017-06-13 00:00:00+00:00,34.46,34.55,34.08,34.21,7302410,32.9605679395,33.0466518372,32.5971025937,32.7214460015,7302410,0.0,1.0
EBAY,2017-06-14 00:00:00+00:00,34.5,34.73,34.11,34.63,6371265,32.9988274496,33.2188196326,32.6257972263,33.1231708574,6371265,0.0,1.0
EBAY,2017-06-15 00:00:00+00:00,34.09,34.29,33.89,34.26,5344405,32.6066674712,32.7979650217,32.4153699208,32.7692703891,5344405,0.0,1.0
EBAY,2017-06-16 00:00:00+00:00,33.96,34.32,33.91,33.92,9640312,32.4823240634,32.8266596542,32.4344996758,32.4440645534,9640312,0.0,1.0
EBAY,2017-06-19 00:00:00+00:00,34.9,34.99,34.0,34.12,5760279,33.3814225505,33.4675064482,32.5205835735,32.6353621038,5760279,0.0,1.0
EBAY,2017-06-20 00:00:00+00:00,34.93,35.34,34.74,34.74,10506559,33.410117183,33.8022771614,33.2283845101,33.2283845101,10506559,0.0,1.0
EBAY,2017-06-21 00:00:00+00:00,34.96,35.12,34.75,35.0,5400949,33.4388118156,33.5918498559,33.2379493876,33.4770713257,5400949,0.0,1.0
EBAY,2017-06-22 00:00:00+00:00,35.12,35.285,34.84,34.99,5120718,33.5918498559,33.7496703351,33.3240332853,33.4675064482,5120718,0.0,1.0
EBAY,2017-06-23 00:00:00+00:00,35.57,35.735,34.96,35.12,8872359,34.0222693444,34.1800898235,33.4388118156,33.5918498559,8872359,0.0,1.0
EBAY,2017-06-26 00:00:00+00:00,35.09,35.97,35.0,35.89,6634019,33.5631552234,34.4048644453,33.4770713257,34.3283454251,6634019,0.0,1.0
EBAY,2017-06-27 00:00:00+00:00,34.91,35.32,34.85,35.0,8598433,33.390987428,33.7831474064,33.3335981629,33.4770713257,8598433,0.0,1.0
EBAY,2017-06-28 00:00:00+00:00,35.31,35.33,34.615,35.0,4791632,33.7735825289,33.7927122839,33.1088235411,33.4770713257,4791632,0.0,1.0
EBAY,2017-06-29 00:00:00+00:00,34.51,35.3,34.09,35.3,8166989,33.0083923271,33.7640176513,32.6066674712,33.7640176513,8166989,0.0,1.0
EBAY,2017-06-30 00:00:00+00:00,34.92,35.07,34.52,34.78,10561065,33.4005523055,33.5440254683,33.0179572047,33.2666440202,10561065,0.0,1.0
EBAY,2017-07-03 00:00:00+00:00,34.6,35.305,34.55,35.15,4517402,33.0944762248,33.7688000901,33.0466518372,33.6205444885,4517402,0.0,1.0
EBAY,2017-07-05 00:00:00+00:00,34.72,34.86,34.505,34.73,7381884,33.2092547551,33.3431630404,33.0036098884,33.2188196326,7381884,0.0,1.0
