symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
EXPE,2017-04-27 00:00:00+00:00,136.2,137.0,135.3,136.08,2282302,131.8790261166,132.653645947,131.0075788075,131.7628331421,2282302,0.0,1.0
EXPE,2017-04-28 00:00:00+00:00,133.72,135.49,131.85,133.86,4425403,129.4777046425,131.1915510172,127.6670307891,129.6132631129,4425403,0.0,1.0
EXPE,2017-05-01 00:00:00+00:00,136.6,136.9025,133.865,134.0,1997687,132.2663360318,132.5592391551,129.6181044868,129.7488215832,1997687,0.0,1.0
EXPE,2017-05-02 00:00:00+00:00,138.99,139.2,136.24,136.6,2472401,134.580512775,134.7838504804,131.9177571081,132.2663360318,2472401,0.0,1.0
EXPE,2017-05-03 00:00:00+00:00,139.13,139.69,137.78,139.5,2565852,134.7160712453,135.2583051265,133.4089002816,135.0743329168,2565852,0.0,1.0
EXPE,2017-05-04 00:00:00+00:00,141.1,141.32,138.48,139.38,2705819,136.6235725775,136.8365930308,134.0866926331,134.9581399422,2705819,0.0,1.0
EXPE,2017-05-05 00:00:00+00:00,140.38,141.41,138.33,140.95,2498308,135.9264147302,136.9237377618,133.9414514149,136.4783313593,2498308,0.0,1.0
EXPE,2017-05-08 00:00:00+00:00,139.57,140.95,138.66,140.4,1747643,135.142112152,136.4783313593,134.2609820949,135.9457802259,1747643,0.0,1.0
EXPE,2017-05-09 00:00:00+00:00,139.4,140.34,139.25,139.54,1732449,134.977505438,135.8876837387,134.8322642198,135.1130639083,1732449,0.0,1.0
EXPE,2017-05-10 00:00:00+00:00,139.83,139.86,137.81,138.5,1397648,135.3938635968,135.4229118405,133.4379485252,134.1060581289,1397648,0.0,1.0
EXPE,2017-05-11 00:00:00+00:00,139.86,139.8899,138.29,139.05,1317069,135.4229118405,135.4518632566,133.9027204234,134.6386092622,1317069,0.0,1.0
EXPE,2017-05-12 00:00:00+00:00,139.81,140.83,139.35,140.03,1087256,135.3744981011,136.3621383848,134.9290916986,135.5875185544,1087256,0.0,1.0
EXPE,2017-05-15 00:00:00+00:00,143.02,143.3,140.17,140.32,1772524,138.4826601703,138.7537771109,135.7230770247,135.8683182429,1772524,0.0,1.0
EXPE,2017-05-16 00:00:00+00:00,145.37,145.77,142.74,143.68,3020629,140.758105922,141.1454158371,138.2115432297,139.1217215304,3020629,0.0,1.0
EXPE,2017-05-17 00:00:00+00:00,140.41,145.2,140.14,143.98,4633027,135.9554629738,140.593499208,135.6940287811,139.4122039667,4633027,0.0,1.0
EXPE,2017-05-18 00:00:00+00:00,141.26,142.2799,138.57,138.89,1544610,136.7784965436,137.7660399998,134.173837364,134.4836852962,1544610,0.0,1.0
EXPE,2017-05-19 00:00:00+00:00,141.59,143.03,141.23,141.62,1572846,137.0980272236,138.4923429182,136.7494482999,137.1270754672,1572846,0.0,1.0
EXPE,2017-05-22 00:00:00+00:00,142.51,143.12,141.48,142.14,1353568,137.9888400285,138.5794876491,136.9915169969,137.6305783569,1353568,0.0,1.0
EXPE,2017-05-23 00:00:00+00:00,142.57,143.5,142.07,142.74,929773,138.3180534564,139.2203175352,137.832965242,138.4829834493,929773,0.28,1.0
EXPE,2017-05-24 00:00:00+00:00,143.69,143.75,141.67,142.78,1171400,139.4046510567,139.4628616424,137.4448946704,138.5217905064,1171400,0.0,1.0
EXPE,2017-05-25 00:00:00+00:00,145.54,146.03,143.57,143.7,1553489,141.19947745,141.6748639001,139.2882298852,139.4143528209,1553489,0.0,1.0
EXPE,2017-05-26 00:00:00+00:00,144.58,145.7325,143.58,145.46,1130487,140.2681080783,141.3862364125,139.2979316495,141.1218633357,1130487,0.0,1.0
EXPE,2017-05-30 00:00:00+00:00,144.15,145.19,143.77,144.01,867282,139.8509322139,140.8599156999,139.482265171,139.7151075139,867282,0.0,1.0
EXPE,2017-05-31 00:00:00+00:00,143.78,145.02,143.37,144.37,1593932,139.4919669352,140.694985707,139.0941945994,140.0643710282,1593932,0.0,1.0
EXPE,2017-06-01 00:00:00+00:00,146.79,147.09,144.31,144.42,1653426,142.412197986,142.7032509146,140.0061604425,140.1128798497,1653426,0.0,1.0
EXPE,2017-06-02 00:00:00+00:00,146.37,147.01,145.5,147.0,1180419,142.0047238859,142.6256368003,141.1606703928,142.615935036,1180419,0.0,1.0
EXPE,2017-06-05 00:00:00+00:00,147.87,148.1,145.83,146.09,1864036,143.4599885291,143.6831291077,141.4808286143,141.7330744858,1864036,0.0,1.0
EXPE,2017-06-06 00:00:00+00:00,146.87,147.83,146.65,147.35,890446,142.4898121003,143.421181472,142.276373286,142.9554967861,890446,0.0,1.0
EXPE,2017-06-07 00:00:00+00:00,146.36,147.31,145.87,147.31,893158,141.9950221216,142.916689729,141.5196356715,142.916689729,893158,0.0,1.0
EXPE,2017-06-08 00:00:00+00:00,149.22,149.34,145.95,147.15,1663002,144.769726708,144.8861478795,141.5972497858,142.7614615004,1663002,0.0,1.0
EXPE,2017-06-09 00:00:00+00:00,143.59,150.62,142.19,149.09,2684661,139.3076334138,146.1279737084,137.9493864134,144.6436037723,2684661,0.0,1.0
EXPE,2017-06-12 00:00:00+00:00,144.28,145.44,141.55,142.15,2580405,139.9770551497,141.1024598071,137.328473499,137.9105793563,2580405,0.0,1.0
EXPE,2017-06-13 00:00:00+00:00,145.92,146.74,144.79,144.8,1361680,141.5681444929,142.3636891645,140.4718451284,140.4815468926,1361680,0.0,1.0
EXPE,2017-06-14 00:00:00+00:00,147.19,149.5,146.01,146.81,1581154,142.8002685575,145.0413761081,141.6554603715,142.4316015146,1581154,0.0,1.0
EXPE,2017-06-15 00:00:00+00:00,145.69,145.98,143.75,145.39,1152937,141.3450039143,141.6263550786,139.4628616424,141.0539509856,1152937,0.0,1.0
EXPE,2017-06-16 00:00:00+00:00,146.21,146.57,145.0,145.74,1717580,141.8494956573,142.1987591716,140.6755821784,141.3935127357,1717580,0.0,1.0
