symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FAST,2017-05-30 00:00:00+00:00,43.27,43.68,43.14,43.54,2234835,18.9114169535,19.0906099498,18.854599662,19.0294220974,4469670,0.0,1.0
FAST,2017-05-31 00:00:00+00:00,43.17,43.215,42.37,43.19,3611330,18.8677113447,18.8873788686,18.5180664738,18.8764524664,7222660,0.0,1.0
FAST,2017-06-01 00:00:00+00:00,43.61,43.82,42.94,43.27,2996202,19.0600160236,19.1517978022,18.7671884443,18.9114169535,5992404,0.0,1.0
FAST,2017-06-02 00:00:00+00:00,44.27,45.83,44.03,45.83,4560408,19.3484730421,20.0302805403,19.2435795808,20.0302805403,9120816,0.0,1.0
FAST,2017-06-05 00:00:00+00:00,44.65,45.02,44.03,44.27,3683826,19.5145543558,19.6762651086,19.2435795808,19.3484730421,7367652,0.0,1.0
FAST,2017-06-06 00:00:00+00:00,42.1,43.99,41.87,43.8,7047998,18.4000613299,19.2260973373,18.2995384295,19.1430566805,14095996,0.0,1.0
FAST,2017-06-07 00:00:00+00:00,42.17,42.9,42.11,42.18,3442259,18.4306552561,18.7497062007,18.4044318907,18.4350258169,6884518,0.0,1.0
FAST,2017-06-08 00:00:00+00:00,42.42,42.74,41.87,41.89,2836934,18.5399192782,18.6797772266,18.2995384295,18.3082795512,5673868,0.0,1.0
FAST,2017-06-09 00:00:00+00:00,43.52,43.775,42.42,42.42,3916880,19.0206809757,19.1321302782,18.5399192782,18.5399192782,7833760,0.0,1.0
FAST,2017-06-12 00:00:00+00:00,43.99,44.56,43.04,43.41,3275943,19.2260973373,19.4752193078,18.8108940531,18.9726048059,6551886,0.0,1.0
FAST,2017-06-13 00:00:00+00:00,43.42,44.12,43.235,43.83,3264837,18.9769753668,19.2829146288,18.8961199904,19.1561683631,6529674,0.0,1.0
FAST,2017-06-14 00:00:00+00:00,43.19,43.61,42.7,43.49,2924228,18.8764524664,19.0600160236,18.662294983,19.007569293,5848456,0.0,1.0
FAST,2017-06-15 00:00:00+00:00,43.65,43.85,43.03,43.03,2084851,19.0774982672,19.1649094849,18.8065234922,18.8065234922,4169702,0.0,1.0
FAST,2017-06-16 00:00:00+00:00,44.4,44.42,43.21,43.21,4382306,19.4052903336,19.4140314554,18.8851935882,18.8851935882,8764612,0.0,1.0
FAST,2017-06-19 00:00:00+00:00,44.62,45.02,44.405,44.76,2692699,19.5014426731,19.6762651086,19.4074756141,19.5626305255,5385398,0.0,1.0
FAST,2017-06-20 00:00:00+00:00,43.21,44.57,43.19,44.55,1681596,18.8851935882,19.4795898687,18.8764524664,19.4708487469,3363192,0.0,1.0
FAST,2017-06-21 00:00:00+00:00,42.71,43.31,42.55,43.31,1796411,18.6666655439,18.9288991971,18.5967365697,18.9288991971,3592822,0.0,1.0
FAST,2017-06-22 00:00:00+00:00,42.79,43.12,42.6,42.79,1875334,18.701630031,18.8458585402,18.6185893742,18.701630031,3750668,0.0,1.0
FAST,2017-06-23 00:00:00+00:00,42.87,43.335,42.66,42.86,2380815,18.7365945181,18.9398255993,18.6448127395,18.7322239572,4761630,0.0,1.0
FAST,2017-06-26 00:00:00+00:00,42.65,43.06,42.36,42.95,1962505,18.6404421786,18.8196351749,18.5136959129,18.7715590052,3925010,0.0,1.0
FAST,2017-06-27 00:00:00+00:00,42.11,42.95,41.985,42.9,2461834,18.4044318907,18.7715590052,18.3497998797,18.7497062007,4923668,0.0,1.0
FAST,2017-06-28 00:00:00+00:00,42.45,42.69,42.31,42.4,4958593,18.5530309609,18.6579244221,18.4918431085,18.5311781564,9917186,0.0,1.0
