symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FB,2017-05-30 00:00:00+00:00,152.38,152.9,151.64,151.97,13145329,152.38,152.9,151.64,151.97,13145329,0.0,1.0
FB,2017-05-31 00:00:00+00:00,151.46,153.35,151.09,152.7,17709427,151.46,153.35,151.09,152.7,17709427,0.0,1.0
FB,2017-06-01 00:00:00+00:00,151.53,152.29,150.3,151.75,14459173,151.53,152.29,150.3,151.75,14459173,0.0,1.0
FB,2017-06-02 00:00:00+00:00,153.61,153.63,151.3,151.85,16787255,153.61,153.63,151.3,151.85,16787255,0.0,1.0
FB,2017-06-05 00:00:00+00:00,153.63,154.71,153.41,153.64,12279871,153.63,154.71,153.41,153.64,12279871,0.0,1.0
FB,2017-06-06 00:00:00+00:00,152.81,154.52,152.48,153.41,13291727,152.81,154.52,152.48,153.41,13291727,0.0,1.0
FB,2017-06-07 00:00:00+00:00,153.12,153.75,152.34,153.27,11822136,153.12,153.75,152.34,153.27,11822136,0.0,1.0
FB,2017-06-08 00:00:00+00:00,154.71,154.73,153.1,154.08,17539521,154.71,154.73,153.1,154.08,17539521,0.0,1.0
FB,2017-06-09 00:00:00+00:00,149.6,155.59,146.61,154.77,35256368,149.6,155.59,146.61,154.77,35256368,0.0,1.0
FB,2017-06-12 00:00:00+00:00,148.44,149.2,144.56,148.17,33238543,148.44,149.2,144.56,148.17,33238543,0.0,1.0
FB,2017-06-13 00:00:00+00:00,150.68,151.18,148.9,150.15,20316202,150.68,151.18,148.9,150.15,20316202,0.0,1.0
FB,2017-06-14 00:00:00+00:00,150.25,152.4,149.05,151.26,20552981,150.25,152.4,149.05,151.26,20552981,0.0,1.0
FB,2017-06-15 00:00:00+00:00,149.8,150.04,146.37,147.67,18877305,149.8,150.04,146.37,147.67,18877305,0.0,1.0
FB,2017-06-16 00:00:00+00:00,150.64,150.83,148.6,149.59,22169800,150.64,150.83,148.6,149.59,22169800,0.0,1.0
FB,2017-06-19 00:00:00+00:00,152.87,153.57,151.71,151.71,18678807,152.87,153.57,151.71,151.71,18678807,0.0,1.0
FB,2017-06-20 00:00:00+00:00,152.25,153.84,152.21,152.88,14557895,152.25,153.84,152.21,152.88,14557895,0.0,1.0
FB,2017-06-21 00:00:00+00:00,153.91,154.08,151.88,152.36,14760242,153.91,154.08,151.88,152.36,14760242,0.0,1.0
FB,2017-06-22 00:00:00+00:00,153.4,154.55,152.91,153.01,12783958,153.4,154.55,152.91,153.01,12783958,0.0,1.0
FB,2017-06-23 00:00:00+00:00,155.07,155.2,152.65,152.72,16192249,155.07,155.2,152.65,152.72,16192249,0.0,1.0
FB,2017-06-26 00:00:00+00:00,153.59,156.5,153.2,156.25,17934289,153.59,156.5,153.2,156.25,17934289,0.0,1.0
FB,2017-06-27 00:00:00+00:00,150.58,153.31,150.39,152.84,19274022,150.58,153.31,150.39,152.84,19274022,0.0,1.0
FB,2017-06-28 00:00:00+00:00,153.24,153.47,149.86,150.92,16621566,153.24,153.47,149.86,150.92,16621566,0.0,1.0
FB,2017-06-29 00:00:00+00:00,151.04,152.5,148.92,152.28,23771610,151.04,152.5,148.92,152.28,23771610,0.0,1.0
FB,2017-06-30 00:00:00+00:00,150.98,151.92,150.06,151.9,14540013,150.98,151.92,150.06,151.9,14540013,0.0,1.0
FB,2017-07-03 00:00:00+00:00,148.43,152.15,147.8,151.72,13860113,148.43,152.15,147.8,151.72,13860113,0.0,1.0
FB,2017-07-05 00:00:00+00:00,150.34,150.85,148.13,149.0,14037692,150.34,150.85,148.13,149.0,14037692,0.0,1.0
FB,2017-07-06 00:00:00+00:00,148.82,150.04,148.0,149.03,14788811,148.82,150.04,148.0,149.03,14788811,0.0,1.0
FB,2017-07-07 00:00:00+00:00,151.44,151.99,149.19,149.25,13229352,151.44,151.99,149.19,149.25,13229352,0.0,1.0
FB,2017-07-10 00:00:00+00:00,153.5,153.98,151.51,151.69,13296447,153.5,153.98,151.51,151.69,13296447,0.0,1.0
FB,2017-07-11 00:00:00+00:00,155.27,155.42,152.91,153.37,13208251,155.27,155.42,152.91,153.37,13208251,0.0,1.0
FB,2017-07-12 00:00:00+00:00,158.9,159.16,156.2,156.49,22483868,158.9,159.16,156.2,156.49,22483868,0.0,1.0
FB,2017-07-13 00:00:00+00:00,159.26,159.78,158.4227,158.74,13839891,159.26,159.78,158.4227,158.74,13839891,0.0,1.0
FB,2017-07-14 00:00:00+00:00,159.97,160.32,159.33,160.13,16172560,159.97,160.32,159.33,160.13,16172560,0.0,1.0
FB,2017-07-17 00:00:00+00:00,159.73,160.78,158.81,160.25,12567935,159.73,160.78,158.81,160.25,12567935,0.0,1.0
FB,2017-07-18 00:00:00+00:00,162.86,163.73,159.42,159.66,23621711,162.86,163.73,159.42,159.66,23621711,0.0,1.0
FB,2017-07-19 00:00:00+00:00,164.14,165.7,163.17,163.59,25915988,164.14,165.7,163.17,163.59,25915988,0.0,1.0
FB,2017-07-20 00:00:00+00:00,164.53,165.0,162.81,164.8,18293111,164.53,165.0,162.81,164.8,18293111,0.0,1.0
FB,2017-07-21 00:00:00+00:00,164.43,165.05,163.75,164.16,14494667,164.43,165.05,163.75,164.16,14494667,0.0,1.0
FB,2017-07-24 00:00:00+00:00,166.0,166.17,164.31,164.64,16595460,166.0,166.17,164.31,164.64,16595460,0.0,1.0
FB,2017-07-25 00:00:00+00:00,165.28,165.54,163.86,165.01,15164613,165.28,165.54,163.86,165.01,15164613,0.0,1.0
FB,2017-07-26 00:00:00+00:00,165.61,166.01,164.1,166.01,24081060,165.61,166.01,164.1,166.01,24081060,0.0,1.0
FB,2017-07-27 00:00:00+00:00,170.44,175.49,167.5,174.7,68065163,170.44,175.49,167.5,174.7,68065163,0.0,1.0
FB,2017-07-28 00:00:00+00:00,172.45,173.43,169.05,169.07,24036502,172.45,173.43,169.05,169.07,24036502,0.0,1.0
FB,2017-07-31 00:00:00+00:00,169.25,172.72,168.55,172.0,25157896,169.25,172.72,168.55,172.0,25157896,0.0,1.0
FB,2017-08-01 00:00:00+00:00,169.86,170.47,169.05,169.82,14051379,169.86,170.47,169.05,169.82,14051379,0.0,1.0
FB,2017-08-02 00:00:00+00:00,169.3,170.55,166.91,170.3,17061845,169.3,170.55,166.91,170.3,17061845,0.0,1.0
FB,2017-08-03 00:00:00+00:00,168.59,169.7,168.25,169.3,10316246,168.59,169.7,168.25,169.3,10316246,0.0,1.0
FB,2017-08-04 00:00:00+00:00,169.62,170.06,168.69,168.97,10360774,169.62,170.06,168.69,168.97,10360774,0.0,1.0
FB,2017-08-07 00:00:00+00:00,171.98,172.06,169.66,169.95,12504157,171.98,172.06,169.66,169.95,12504157,0.0,1.0
FB,2017-08-08 00:00:00+00:00,171.23,173.05,170.62,171.88,13813683,171.23,173.05,170.62,171.88,13813683,0.0,1.0
FB,2017-08-09 00:00:00+00:00,171.18,171.45,169.56,169.98,10597084,171.18,171.45,169.56,169.98,10597084,0.0,1.0
FB,2017-08-10 00:00:00+00:00,167.4,170.59,166.85,170.06,20353485,167.4,170.59,166.85,170.06,20353485,0.0,1.0
FB,2017-08-11 00:00:00+00:00,168.08,168.82,166.85,167.95,13664032,168.08,168.82,166.85,167.95,13664032,0.0,1.0
FB,2017-08-14 00:00:00+00:00,170.75,171.08,169.29,170.09,12786286,170.75,171.08,169.29,170.09,12786286,0.0,1.0
FB,2017-08-15 00:00:00+00:00,171.0,171.5,170.01,171.49,8621787,171.0,171.5,170.01,171.49,8621787,0.0,1.0
FB,2017-08-16 00:00:00+00:00,170.0,171.38,169.24,171.25,15580549,170.0,171.38,169.24,171.25,15580549,0.0,1.0
FB,2017-08-17 00:00:00+00:00,166.91,169.86,166.85,169.34,16791591,166.91,169.86,166.85,169.34,16791591,0.0,1.0
FB,2017-08-18 00:00:00+00:00,167.41,168.67,166.21,166.84,14933261,167.41,168.67,166.21,166.84,14933261,0.0,1.0
FB,2017-08-21 00:00:00+00:00,167.78,168.0,165.82,167.16,11880823,167.78,168.0,165.82,167.16,11880823,0.0,1.0
FB,2017-08-22 00:00:00+00:00,169.64,169.87,167.15,168.28,11333260,169.64,169.87,167.15,168.28,11333260,0.0,1.0
FB,2017-08-23 00:00:00+00:00,168.71,169.36,168.2,168.84,9756817,168.71,169.36,168.2,168.84,9756817,0.0,1.0
FB,2017-08-24 00:00:00+00:00,167.74,169.29,166.41,168.88,13552865,167.74,169.29,166.41,168.88,13552865,0.0,1.0
FB,2017-08-25 00:00:00+00:00,166.32,168.38,166.18,167.86,12391910,166.32,168.38,166.18,167.86,12391910,0.0,1.0
FB,2017-08-28 00:00:00+00:00,167.24,167.7,166.33,166.91,8360380,167.24,167.7,166.33,166.91,8360380,0.0,1.0
FB,2017-08-29 00:00:00+00:00,168.05,168.43,165.0,165.25,10992617,168.05,168.43,165.0,165.25,10992617,0.0,1.0
