symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FISV,2017-05-30 00:00:00+00:00,124.53,124.7,123.69,123.93,487419,62.265,62.35,61.845,61.965,974838,0.0,1.0
FISV,2017-05-31 00:00:00+00:00,125.28,125.33,124.33,124.89,1349348,62.64,62.665,62.165,62.445,2698696,0.0,1.0
FISV,2017-06-01 00:00:00+00:00,125.23,125.6399,124.3818,125.39,827537,62.615,62.81995,62.1909,62.695,1655074,0.0,1.0
FISV,2017-06-02 00:00:00+00:00,125.71,125.905,124.57,125.6,766810,62.855,62.9525,62.285,62.8,1533620,0.0,1.0
FISV,2017-06-05 00:00:00+00:00,125.46,126.28,125.05,126.0,542610,62.73,63.14,62.525,63.0,1085220,0.0,1.0
FISV,2017-06-06 00:00:00+00:00,124.43,125.8,124.31,125.41,1129511,62.215,62.9,62.155,62.705,2259022,0.0,1.0
FISV,2017-06-07 00:00:00+00:00,125.1,125.16,123.98,124.5,669776,62.55,62.58,61.99,62.25,1339552,0.0,1.0
FISV,2017-06-08 00:00:00+00:00,123.75,125.18,122.84,124.97,783243,61.875,62.59,61.42,62.485,1566486,0.0,1.0
FISV,2017-06-09 00:00:00+00:00,122.86,124.42,121.95,123.92,816770,61.43,62.21,60.975,61.96,1633540,0.0,1.0
FISV,2017-06-12 00:00:00+00:00,123.18,123.585,122.26,122.45,872240,61.59,61.7925,61.13,61.225,1744480,0.0,1.0
FISV,2017-06-13 00:00:00+00:00,124.51,124.69,122.81,123.13,659555,62.255,62.345,61.405,61.565,1319110,0.0,1.0
FISV,2017-06-14 00:00:00+00:00,124.62,125.55,123.69,125.04,733712,62.31,62.775,61.845,62.52,1467424,0.0,1.0
FISV,2017-06-15 00:00:00+00:00,125.47,125.55,123.37,123.9,632314,62.735,62.775,61.685,61.95,1264628,0.0,1.0
