symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FOX,2019-03-13 00:00:00+00:00,39.2,39.3,38.0,38.6,305985,37.3499518298,37.4452323192,36.2065859575,36.7782688937,305985,0.0,1.0
FOX,2019-03-14 00:00:00+00:00,39.96,40.65,39.32,39.5,279685,38.074083549,38.7315189256,37.4642884171,37.6357932979,279685,0.0,1.0
FOX,2019-03-15 00:00:00+00:00,41.02,41.05,40.5,40.55,164177,39.0840567362,39.112640883,38.5885981915,38.6362384362,164177,0.0,1.0
FOX,2019-03-18 00:00:00+00:00,40.86,41.73,40.47,41.73,581717,38.9316079532,39.7605482107,38.5600140447,39.7605482107,581717,0.0,1.0
FOX,2019-03-19 00:00:00+00:00,39.55,41.4,39.05,41.4,2540234,37.6834335426,39.4461225958,37.2070310958,39.4461225958,2540234,0.0,1.0
FOX,2019-03-20 00:00:00+00:00,37.6,39.851,37.46,39.85,5147908,35.825464,37.9702278156,35.6920713149,37.9692750107,5147908,0.0,1.0
FOX,2019-03-21 00:00:00+00:00,38.88,38.91,37.84,38.0,8865546,37.0450542639,37.0736384107,36.0541371745,36.2065859575,8865546,0.0,1.0
FOX,2019-03-22 00:00:00+00:00,37.46,38.84,36.55,38.76,4902540,35.6920713149,37.0069420681,34.8250188617,36.9307176766,4902540,0.0,1.0
FOX,2019-03-25 00:00:00+00:00,36.45,37.81,36.35,37.57,4035118,34.7297383724,36.0255530277,34.634457883,35.7968798532,4035118,0.0,1.0
FOX,2019-03-26 00:00:00+00:00,36.71,37.35,36.46,36.46,3350854,34.9774676447,35.5872627766,34.7392664213,34.7392664213,3350854,0.0,1.0
FOX,2019-03-27 00:00:00+00:00,36.2,37.17,36.06,36.75,2871305,34.491537149,35.4157578958,34.3581444639,35.0155798405,2871305,0.0,1.0
FOX,2019-03-28 00:00:00+00:00,35.67,36.47,35.55,36.14,2220583,33.9865505554,34.7487944703,33.8722139681,34.4343688554,2220583,0.0,1.0
FOX,2019-03-29 00:00:00+00:00,35.88,36.17,35.39,35.88,2679171,34.186639583,34.4629530022,33.7197651851,34.186639583,2679171,0.0,1.0
FOX,2019-04-01 00:00:00+00:00,36.15,36.34,35.94,36.17,4338366,34.4438969043,34.6249298341,34.2438078766,34.4629530022,4338366,0.0,1.0
FOX,2019-04-02 00:00:00+00:00,35.7,36.46,35.21,36.21,1491180,34.0151347022,34.7392664213,33.5482603043,34.5010651979,1491180,0.0,1.0
FOX,2019-04-03 00:00:00+00:00,35.5,35.89,35.3,35.78,2831551,33.8245737234,34.196167632,33.6340127447,34.0913590937,2831551,0.0,1.0
