symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GILD,2017-04-27 00:00:00+00:00,68.58,68.76,68.05,68.17,6679246,56.9847221271,57.1342883269,56.5443327609,56.6440435608,6679246,0.0,1.0
GILD,2017-04-28 00:00:00+00:00,68.55,68.96,68.24,68.83,6005186,56.9597944271,57.3004729933,56.7022081941,57.1924529601,6005186,0.0,1.0
GILD,2017-05-01 00:00:00+00:00,68.11,68.81,68.05,68.54,5152852,56.5941881609,57.1758344935,56.5443327609,56.9514851938,5152852,0.0,1.0
GILD,2017-05-02 00:00:00+00:00,68.59,69.16,68.16,68.29,10582732,56.9930313604,57.4666576598,56.6357343275,56.7437543607,10582732,0.0,1.0
GILD,2017-05-03 00:00:00+00:00,67.21,67.58,66.27,67.11,13436367,55.8463571618,56.1537987948,55.0652892295,55.7632648286,13436367,0.0,1.0
GILD,2017-05-04 00:00:00+00:00,68.08,68.57,67.33,67.42,8576880,56.5692604609,56.9764128937,55.9460679617,56.0208510616,8576880,0.0,1.0
GILD,2017-05-05 00:00:00+00:00,67.8,68.45,67.51,68.1,5749278,56.3366019279,56.8767020939,56.0956341615,56.5858789276,5749278,0.0,1.0
GILD,2017-05-08 00:00:00+00:00,67.21,67.82,67.08,67.78,7048524,55.8463571618,56.3532203945,55.7383371286,56.3199834612,7048524,0.0,1.0
GILD,2017-05-09 00:00:00+00:00,67.61,67.75,67.1,67.22,5514470,56.1787264948,56.2950557613,55.7549555953,55.8546663952,5514470,0.0,1.0
GILD,2017-05-10 00:00:00+00:00,66.92,67.8,66.71,67.69,7119807,55.6053893955,56.3366019279,55.4308954957,56.2452003613,7119807,0.0,1.0
GILD,2017-05-11 00:00:00+00:00,66.71,66.84,66.055,66.77,7999047,55.4308954957,55.5389155289,54.8866407131,55.4807508956,7999047,0.0,1.0
GILD,2017-05-12 00:00:00+00:00,66.06,66.899,65.74,66.87,8032598,54.8907953297,55.5879400055,54.6248998634,55.5638432289,8032598,0.0,1.0
GILD,2017-05-15 00:00:00+00:00,65.95,66.17,65.73,66.08,6086848,54.7993937632,54.9821968963,54.6165906301,54.9074137964,6086848,0.0,1.0
GILD,2017-05-16 00:00:00+00:00,65.72,66.03,65.48,65.74,5880625,54.6082813968,54.8658676298,54.408859797,54.6248998634,5880625,0.0,1.0
GILD,2017-05-17 00:00:00+00:00,64.51,65.62,64.46,65.37,8872768,53.6028641647,54.5251890635,53.5613179981,54.3174582305,8872768,0.0,1.0
GILD,2017-05-18 00:00:00+00:00,64.43,64.67,63.88,64.45,7887593,53.5363902981,53.7358118979,53.0793824654,53.5530087648,7887593,0.0,1.0
GILD,2017-05-19 00:00:00+00:00,64.23,64.8,64.075,64.38,8392443,53.3702056317,53.8438319311,53.2414125152,53.4948441315,8392443,0.0,1.0
GILD,2017-05-22 00:00:00+00:00,64.36,64.64,64.12,64.24,6498891,53.4782256649,53.7108841979,53.2788040651,53.378514865,6498891,0.0,1.0
GILD,2017-05-23 00:00:00+00:00,64.69,64.8,64.3,64.36,5043187,53.7524303645,53.8438319311,53.4283702649,53.4782256649,5043187,0.0,1.0
GILD,2017-05-24 00:00:00+00:00,64.31,64.79,64.23,64.73,5860864,53.4366794983,53.8355226978,53.3702056317,53.7856672978,5860864,0.0,1.0
GILD,2017-05-25 00:00:00+00:00,64.56,64.8266,64.21,64.5,5639543,53.6444103313,53.8659344917,53.353587165,53.5945549314,5639543,0.0,1.0
GILD,2017-05-26 00:00:00+00:00,64.5,64.75,64.31,64.37,4003525,53.5945549314,53.8022857645,53.4366794983,53.4865348982,4003525,0.0,1.0
GILD,2017-05-30 00:00:00+00:00,64.49,64.7712,64.3,64.47,6924854,53.5862456981,53.8199013391,53.4283702649,53.5696272314,6924854,0.0,1.0
GILD,2017-05-31 00:00:00+00:00,64.89,64.92,64.18,64.47,8945087,53.918615031,53.9435427309,53.3286594651,53.5696272314,8945087,0.0,1.0
GILD,2017-06-01 00:00:00+00:00,64.62,65.71,64.51,65.01,9011036,53.6942657313,54.5999721634,53.6028641647,54.0183258309,9011036,0.0,1.0
GILD,2017-06-02 00:00:00+00:00,65.4,65.55,64.76,64.9,6337271,54.3423859304,54.4670244303,53.8105949978,53.9269242643,6337271,0.0,1.0
GILD,2017-06-05 00:00:00+00:00,65.48,65.79,65.04,65.59,5971709,54.408859797,54.66644603,54.0432535308,54.5002613636,5971709,0.0,1.0
GILD,2017-06-06 00:00:00+00:00,64.85,65.38,64.64,65.19,7244787,53.8853780977,54.3257674638,53.7108841979,54.1678920307,7244787,0.0,1.0
GILD,2017-06-07 00:00:00+00:00,64.32,65.17,64.2,65.03,7636697,53.4449887316,54.151273564,53.3452779317,54.0349442975,7636697,0.0,1.0
GILD,2017-06-08 00:00:00+00:00,64.12,64.58,64.055,64.16,8615031,53.2788040651,53.661028798,53.2247940485,53.3120409984,8615031,0.0,1.0
GILD,2017-06-09 00:00:00+00:00,64.7,64.94,63.95,64.11,9266196,53.7607395978,53.9601611976,53.1375470986,53.2704948318,9266196,0.0,1.0
GILD,2017-06-12 00:00:00+00:00,65.43,66.7,64.55,64.6,10004082,54.3673136304,55.4225862624,53.636101098,53.6776472646,10004082,0.0,1.0
GILD,2017-06-13 00:00:00+00:00,65.15,65.65,65.01,65.61,8116204,54.1346550974,54.5501167635,54.0183258309,54.5168798302,8116204,0.0,1.0
GILD,2017-06-14 00:00:00+00:00,64.99,65.365,64.54,64.92,6743970,54.433787497,54.7478769001,54.0568802132,54.3751574751,6743970,0.52,1.0
GILD,2017-06-15 00:00:00+00:00,64.81,65.16,64.0954,64.71,6664717,54.2830245835,54.5761746931,53.6844958168,54.1992674093,6664717,0.0,1.0
GILD,2017-06-16 00:00:00+00:00,64.12,64.84,63.759,64.79,10041562,53.7051000817,54.3081517357,53.4027366829,54.2662731486,10041562,0.0,1.0
GILD,2017-06-19 00:00:00+00:00,64.82,64.975,64.08,64.23,7552783,54.2914003009,54.4212239209,53.671597212,53.7972329732,7552783,0.0,1.0
GILD,2017-06-20 00:00:00+00:00,65.59,66.0,64.02,64.89,12800998,54.936330542,55.2797349562,53.6213429075,54.3500303228,12800998,0.0,1.0
GILD,2017-06-21 00:00:00+00:00,67.5,67.69,65.61,65.82,13573741,56.5360925688,56.6952311997,54.9530819769,55.1289720426,13573741,0.0,1.0
GILD,2017-06-22 00:00:00+00:00,70.48,71.44,68.2938,68.32,28171176,59.0320563592,59.8361252313,57.2009570174,57.222901397,28171176,0.0,1.0
GILD,2017-06-23 00:00:00+00:00,70.52,71.37,69.84,71.24,16464597,59.0655592289,59.7774952094,58.4960104445,59.668610883,16464597,0.0,1.0
GILD,2017-06-26 00:00:00+00:00,71.24,71.76,70.72,71.25,13926823,59.668610883,60.1041481887,59.2330735773,59.6769866004,13926823,0.0,1.0
