symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ILMN,2017-04-27 00:00:00+00:00,183.74,184.47,181.96,183.94,1950750,183.74,184.47,181.96,183.94,1950750,0.0,1.0
ILMN,2017-04-28 00:00:00+00:00,184.86,185.95,182.95,184.62,1069883,184.86,185.95,182.95,184.62,1069883,0.0,1.0
ILMN,2017-05-01 00:00:00+00:00,186.81,188.48,185.33,186.32,931420,186.81,188.48,185.33,186.32,931420,0.0,1.0
ILMN,2017-05-02 00:00:00+00:00,186.71,187.88,185.4,186.62,752169,186.71,187.88,185.4,186.62,752169,0.0,1.0
ILMN,2017-05-03 00:00:00+00:00,187.72,188.99,186.69,187.07,1105283,187.72,188.99,186.69,187.07,1105283,0.0,1.0
ILMN,2017-05-04 00:00:00+00:00,188.85,188.97,186.79,188.66,676038,188.85,188.97,186.79,188.66,676038,0.0,1.0
ILMN,2017-05-05 00:00:00+00:00,187.14,189.48,186.63,188.33,878644,187.14,189.48,186.63,188.33,878644,0.0,1.0
ILMN,2017-05-08 00:00:00+00:00,184.65,186.39,183.1,186.1,1043904,184.65,186.39,183.1,186.1,1043904,0.0,1.0
ILMN,2017-05-09 00:00:00+00:00,183.59,185.27,182.71,184.35,1116563,183.59,185.27,182.71,184.35,1116563,0.0,1.0
ILMN,2017-05-10 00:00:00+00:00,182.11,183.96,180.19,182.97,971678,182.11,183.96,180.19,182.97,971678,0.0,1.0
ILMN,2017-05-11 00:00:00+00:00,181.74,182.41,179.28,182.14,816477,181.74,182.41,179.28,182.14,816477,0.0,1.0
ILMN,2017-05-12 00:00:00+00:00,182.38,182.51,180.69,181.91,636218,182.38,182.51,180.69,181.91,636218,0.0,1.0
ILMN,2017-05-15 00:00:00+00:00,180.05,181.09,179.0,180.76,1222552,180.05,181.09,179.0,180.76,1222552,0.0,1.0
ILMN,2017-05-16 00:00:00+00:00,178.24,180.04,176.52,180.04,1212710,178.24,180.04,176.52,180.04,1212710,0.0,1.0
ILMN,2017-05-17 00:00:00+00:00,175.56,177.92,175.25,176.98,961130,175.56,177.92,175.25,176.98,961130,0.0,1.0
ILMN,2017-05-18 00:00:00+00:00,175.89,177.48,174.81,176.29,930521,175.89,177.48,174.81,176.29,930521,0.0,1.0
ILMN,2017-05-19 00:00:00+00:00,177.01,177.5,174.85,175.88,1057225,177.01,177.5,174.85,175.88,1057225,0.0,1.0
ILMN,2017-05-22 00:00:00+00:00,174.92,176.5,174.49,176.36,1169850,174.92,176.5,174.49,176.36,1169850,0.0,1.0
ILMN,2017-05-23 00:00:00+00:00,174.72,176.31,174.19,175.0,996874,174.72,176.31,174.19,175.0,996874,0.0,1.0
ILMN,2017-05-24 00:00:00+00:00,174.48,175.98,173.78,175.34,1250609,174.48,175.98,173.78,175.34,1250609,0.0,1.0
ILMN,2017-05-25 00:00:00+00:00,173.76,174.77,172.34,174.77,1214247,173.76,174.77,172.34,174.77,1214247,0.0,1.0
ILMN,2017-05-26 00:00:00+00:00,175.91,177.14,173.8,174.01,957959,175.91,177.14,173.8,174.01,957959,0.0,1.0
ILMN,2017-05-30 00:00:00+00:00,173.58,176.51,173.02,175.19,723877,173.58,176.51,173.02,175.19,723877,0.0,1.0
ILMN,2017-05-31 00:00:00+00:00,177.36,177.46,173.26,174.7,1411635,177.36,177.46,173.26,174.7,1411635,0.0,1.0
ILMN,2017-06-01 00:00:00+00:00,180.65,180.94,176.05,177.61,898420,180.65,180.94,176.05,177.61,898420,0.0,1.0
ILMN,2017-06-02 00:00:00+00:00,183.79,184.44,180.04,181.0,713791,183.79,184.44,180.04,181.0,713791,0.0,1.0
ILMN,2017-06-05 00:00:00+00:00,181.51,184.75,181.44,184.75,563881,181.51,184.75,181.44,184.75,563881,0.0,1.0
ILMN,2017-06-06 00:00:00+00:00,179.45,181.54,178.69,180.62,599253,179.45,181.54,178.69,180.62,599253,0.0,1.0
ILMN,2017-06-07 00:00:00+00:00,179.15,180.1,177.75,179.47,560301,179.15,180.1,177.75,179.47,560301,0.0,1.0
ILMN,2017-06-08 00:00:00+00:00,177.69,179.0,176.66,178.91,583648,177.69,179.0,176.66,178.91,583648,0.0,1.0
ILMN,2017-06-09 00:00:00+00:00,174.08,178.3,173.45,176.26,876854,174.08,178.3,173.45,176.26,876854,0.0,1.0
ILMN,2017-06-12 00:00:00+00:00,171.46,174.41,168.87,173.81,907974,171.46,174.41,168.87,173.81,907974,0.0,1.0
ILMN,2017-06-13 00:00:00+00:00,173.46,173.5,170.55,171.46,691381,173.46,173.5,170.55,171.46,691381,0.0,1.0
ILMN,2017-06-14 00:00:00+00:00,172.59,176.11,171.61,174.26,742603,172.59,176.11,171.61,174.26,742603,0.0,1.0
ILMN,2017-06-15 00:00:00+00:00,172.04,172.53,169.73,171.25,757209,172.04,172.53,169.73,171.25,757209,0.0,1.0
ILMN,2017-06-16 00:00:00+00:00,171.86,173.24,169.86,171.81,1210698,171.86,173.24,169.86,171.81,1210698,0.0,1.0
ILMN,2017-06-19 00:00:00+00:00,176.6,177.65,171.21,172.71,903610,176.6,177.65,171.21,172.71,903610,0.0,1.0
ILMN,2017-06-20 00:00:00+00:00,175.3,179.25,175.15,176.23,780841,175.3,179.25,175.15,176.23,780841,0.0,1.0
ILMN,2017-06-21 00:00:00+00:00,177.38,178.77,175.39,175.39,959896,177.38,178.77,175.39,175.39,959896,0.0,1.0
ILMN,2017-06-22 00:00:00+00:00,182.99,183.98,177.77,178.07,1185385,182.99,183.98,177.77,178.07,1185385,0.0,1.0
ILMN,2017-06-23 00:00:00+00:00,185.28,185.72,181.07,182.99,1021764,185.28,185.72,181.07,182.99,1021764,0.0,1.0
ILMN,2017-06-26 00:00:00+00:00,180.89,186.0,180.78,185.28,708422,180.89,186.0,180.78,185.28,708422,0.0,1.0
ILMN,2017-06-27 00:00:00+00:00,176.36,181.29,176.14,180.31,713422,176.36,181.29,176.14,180.31,713422,0.0,1.0
ILMN,2017-06-28 00:00:00+00:00,181.0,181.18,176.01,177.12,654915,181.0,181.18,176.01,177.12,654915,0.0,1.0
ILMN,2017-06-29 00:00:00+00:00,176.75,180.55,175.64,180.53,773589,176.75,180.55,175.64,180.53,773589,0.0,1.0
ILMN,2017-06-30 00:00:00+00:00,173.52,178.62,173.44,178.62,858376,173.52,178.62,173.44,178.62,858376,0.0,1.0
ILMN,2017-07-03 00:00:00+00:00,174.13,176.49,173.31,174.24,527677,174.13,176.49,173.31,174.24,527677,0.0,1.0
ILMN,2017-07-05 00:00:00+00:00,174.35,175.41,171.56,173.9,884260,174.35,175.41,171.56,173.9,884260,0.0,1.0
ILMN,2017-07-06 00:00:00+00:00,172.32,173.92,170.15,172.8,830793,172.32,173.92,170.15,172.8,830793,0.0,1.0
ILMN,2017-07-07 00:00:00+00:00,172.11,174.01,171.95,172.73,620389,172.11,174.01,171.95,172.73,620389,0.0,1.0
ILMN,2017-07-10 00:00:00+00:00,169.0,171.15,167.98,170.88,1565578,169.0,171.15,167.98,170.88,1565578,0.0,1.0
ILMN,2017-07-11 00:00:00+00:00,173.15,174.5,169.26,169.75,1092435,173.15,174.5,169.26,169.75,1092435,0.0,1.0
ILMN,2017-07-12 00:00:00+00:00,173.23,175.32,172.65,174.79,777895,173.23,175.32,172.65,174.79,777895,0.0,1.0
ILMN,2017-07-13 00:00:00+00:00,173.0,174.38,172.1575,173.67,844312,173.0,174.38,172.1575,173.67,844312,0.0,1.0
ILMN,2017-07-14 00:00:00+00:00,172.33,174.99,171.19,173.83,1219342,172.33,174.99,171.19,173.83,1219342,0.0,1.0
ILMN,2017-07-17 00:00:00+00:00,171.74,173.39,171.22,171.97,1124708,171.74,173.39,171.22,171.97,1124708,0.0,1.0
