symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
INCY,2017-04-27 00:00:00+00:00,124.17,125.36,122.55,123.0,947334,124.17,125.36,122.55,123.0,947334,0.0,1.0
INCY,2017-04-28 00:00:00+00:00,124.28,124.8,123.02,124.26,902307,124.28,124.8,123.02,124.26,902307,0.0,1.0
INCY,2017-05-01 00:00:00+00:00,124.0,125.59,123.21,124.78,1129663,124.0,125.59,123.21,124.78,1129663,0.0,1.0
INCY,2017-05-02 00:00:00+00:00,123.71,124.44,121.52,123.98,1321363,123.71,124.44,121.52,123.98,1321363,0.0,1.0
INCY,2017-05-03 00:00:00+00:00,123.21,124.54,122.81,123.43,1469773,123.21,124.54,122.81,123.43,1469773,0.0,1.0
INCY,2017-05-04 00:00:00+00:00,125.0,127.8,123.34,126.23,1402738,125.0,127.8,123.34,126.23,1402738,0.0,1.0
INCY,2017-05-05 00:00:00+00:00,122.41,124.8,120.5,124.14,2007762,122.41,124.8,120.5,124.14,2007762,0.0,1.0
INCY,2017-05-08 00:00:00+00:00,117.79,121.8,116.44,121.72,2550813,117.79,121.8,116.44,121.72,2550813,0.0,1.0
INCY,2017-05-09 00:00:00+00:00,119.73,119.92,117.04,117.47,1150766,119.73,119.92,117.04,117.47,1150766,0.0,1.0
INCY,2017-05-10 00:00:00+00:00,118.22,119.92,118.08,119.67,1184247,118.22,119.92,118.08,119.67,1184247,0.0,1.0
INCY,2017-05-11 00:00:00+00:00,116.43,118.41,116.21,117.87,1288393,116.43,118.41,116.21,117.87,1288393,0.0,1.0
INCY,2017-05-12 00:00:00+00:00,115.19,117.86,114.33,115.99,2726812,115.19,117.86,114.33,115.99,2726812,0.0,1.0
INCY,2017-05-15 00:00:00+00:00,117.35,117.49,114.03,115.0,1698820,117.35,117.49,114.03,115.0,1698820,0.0,1.0
INCY,2017-05-16 00:00:00+00:00,117.76,120.87,117.1,117.49,2627378,117.76,120.87,117.1,117.49,2627378,0.0,1.0
INCY,2017-05-17 00:00:00+00:00,120.49,121.68,116.08,116.98,3464857,120.49,121.68,116.08,116.98,3464857,0.0,1.0
INCY,2017-05-18 00:00:00+00:00,128.8,131.75,125.39,128.16,5656784,128.8,131.75,125.39,128.16,5656784,0.0,1.0
