symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
INTC,2017-04-27 00:00:00+00:00,37.43,37.5,36.78,36.87,36438738,32.9606541842,33.022295803,32.3882677236,32.4675212335,36438738,0.0,1.0
INTC,2017-04-28 00:00:00+00:00,36.15,36.485,35.88,36.1,55430985,31.8334931541,32.1284923299,31.5957326243,31.7894634264,55430985,0.0,1.0
INTC,2017-05-01 00:00:00+00:00,36.31,36.4,35.94,36.11,24212032,31.9743882829,32.0536417928,31.6485682976,31.7982693719,24212032,0.0,1.0
INTC,2017-05-02 00:00:00+00:00,36.97,37.03,36.35,36.37,35045705,32.555580689,32.6084163623,32.0096120651,32.0272239561,35045705,0.0,1.0
INTC,2017-05-03 00:00:00+00:00,36.98,37.17,36.62,36.72,21567453,32.8043486507,32.9728945199,32.4849985827,32.5737069349,21567453,0.2725,1.0
INTC,2017-05-04 00:00:00+00:00,36.85,37.11,36.64,36.99,16323334,32.6890277928,32.9196695086,32.5027402532,32.8132194859,16323334,0.0,1.0
INTC,2017-05-05 00:00:00+00:00,36.82,36.93,36.5,36.86,18036366,32.6624152872,32.7599944746,32.3785485601,32.6978986281,18036366,0.0,1.0
INTC,2017-05-08 00:00:00+00:00,36.54,36.85,36.48,36.73,17479168,32.4140319009,32.6890277928,32.3608068896,32.5825777702,17479168,0.0,1.0
INTC,2017-05-09 00:00:00+00:00,36.37,36.75,36.28,36.48,17490239,32.2632277022,32.6003194406,32.1833901852,32.3608068896,17490239,0.0,1.0
INTC,2017-05-10 00:00:00+00:00,36.01,36.38,35.93,36.27,23546390,31.9438776342,32.2720985374,31.8729109524,32.17451935,23546390,0.0,1.0
INTC,2017-05-11 00:00:00+00:00,35.69,36.0,35.4543,35.91,21272009,31.6600109071,31.935006799,31.4509253209,31.855169282,21272009,0.0,1.0
INTC,2017-05-12 00:00:00+00:00,35.53,35.74,35.4,35.72,19481621,31.5180775435,31.7043650832,31.4027566856,31.6866234127,19481621,0.0,1.0
INTC,2017-05-15 00:00:00+00:00,35.63,35.715,35.42,35.535,21650268,31.6067858958,31.6821879951,31.4204983561,31.5225129611,21650268,0.0,1.0
INTC,2017-05-16 00:00:00+00:00,35.82,35.89,35.42,35.75,22126165,31.775331765,31.8374276115,31.4204983561,31.7132359184,22126165,0.0,1.0
INTC,2017-05-17 00:00:00+00:00,35.04,35.9896,35.02,35.67,25742251,31.0834066177,31.9257811303,31.0656649472,31.6422692366,25742251,0.0,1.0
INTC,2017-05-18 00:00:00+00:00,35.22,35.47,35.08,35.19,16553907,31.2430816517,31.4648525322,31.1188899585,31.216469146,16553907,0.0,1.0
INTC,2017-05-19 00:00:00+00:00,35.4,35.55,35.13,35.15,17963279,31.4027566856,31.535819214,31.1632441347,31.1809858051,17963279,0.0,1.0
INTC,2017-05-22 00:00:00+00:00,35.77,36.11,35.38,35.48,14182846,31.7309775889,32.0325859864,31.3850150152,31.4737233674,14182846,0.0,1.0
INTC,2017-05-23 00:00:00+00:00,35.86,35.99,35.56,35.87,16728567,31.8108151059,31.9261359637,31.5446900492,31.8196859411,16728567,0.0,1.0
INTC,2017-05-24 00:00:00+00:00,36.12,36.18,35.89,35.98,20519568,32.0414568216,32.094681833,31.8374276115,31.9172651285,20519568,0.0,1.0
INTC,2017-05-25 00:00:00+00:00,36.26,36.39,36.06,36.12,13049150,32.1656485147,32.2809693726,31.9882318103,32.0414568216,13049150,0.0,1.0
INTC,2017-05-26 00:00:00+00:00,36.26,36.33,36.13,36.26,9840551,32.1656485147,32.2277443613,32.0503276568,32.1656485147,9840551,0.0,1.0
INTC,2017-05-30 00:00:00+00:00,36.18,36.44,36.09,36.27,12898472,32.094681833,32.3253235487,32.014844316,32.17451935,12898472,0.0,1.0
INTC,2017-05-31 00:00:00+00:00,36.11,36.38,35.87,36.31,17266251,32.0325859864,32.2720985374,31.8196859411,32.2100026908,17266251,0.0,1.0
INTC,2017-06-01 00:00:00+00:00,36.12,36.13,35.8,36.12,17288864,32.0414568216,32.0503276568,31.7575900945,32.0414568216,17288864,0.0,1.0
INTC,2017-06-02 00:00:00+00:00,36.32,36.33,36.0,36.27,18902927,32.2188735261,32.2277443613,31.935006799,32.17451935,18902927,0.0,1.0
INTC,2017-06-05 00:00:00+00:00,36.34,36.5,36.2,36.3,11288983,32.2366151965,32.3785485601,32.1124235034,32.2011318556,11288983,0.0,1.0
INTC,2017-06-06 00:00:00+00:00,36.13,36.45,35.98,36.16,18153646,32.0503276568,32.334194384,31.9172651285,32.0769401625,18153646,0.0,1.0
INTC,2017-06-07 00:00:00+00:00,36.26,36.57,36.1,36.13,16521287,32.1656485147,32.4406444066,32.0237151512,32.0503276568,16521287,0.0,1.0
INTC,2017-06-08 00:00:00+00:00,36.48,36.53,36.16,36.34,16202388,32.3608068896,32.4051610657,32.0769401625,32.2366151965,16202388,0.0,1.0
INTC,2017-06-09 00:00:00+00:00,35.71,36.56,35.31,36.5,32858966,31.6777525775,32.4317735714,31.3229191687,32.3785485601,32858966,0.0,1.0
INTC,2017-06-12 00:00:00+00:00,35.73,36.01,35.41,35.59,27374877,31.695494248,31.9438776342,31.4116275209,31.5713025549,27374877,0.0,1.0
INTC,2017-06-13 00:00:00+00:00,35.88,35.95,35.53,35.68,20398500,31.8285567763,31.8906526229,31.5180775435,31.6511400719,20398500,0.0,1.0
INTC,2017-06-14 00:00:00+00:00,35.53,36.05,35.22,35.99,19001268,31.5180775435,31.9793609751,31.2430816517,31.9261359637,19001268,0.0,1.0
INTC,2017-06-15 00:00:00+00:00,35.31,35.48,35.14,35.21,19954738,31.3229191687,31.4737233674,31.1721149699,31.2342108164,19954738,0.0,1.0
INTC,2017-06-16 00:00:00+00:00,35.21,35.33,35.01,35.28,28353654,31.2342108164,31.3406608391,31.056794112,31.296306663,28353654,0.0,1.0
INTC,2017-06-19 00:00:00+00:00,35.51,35.61,35.32,35.61,20336817,31.5003358731,31.5890442253,31.3317900039,31.5890442253,20336817,0.0,1.0
INTC,2017-06-20 00:00:00+00:00,34.86,35.45,34.84,35.45,21024240,30.9237315837,31.4471108618,30.9059899132,31.4471108618,21024240,0.0,1.0
INTC,2017-06-21 00:00:00+00:00,34.58,34.6,34.09,34.33,26338267,30.6753481974,30.6930898679,30.2406772716,30.4535773169,26338267,0.0,1.0
