symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
INTU,2017-04-27 00:00:00+00:00,125.61,125.74,123.15,123.34,49457,121.003952224,121.1291851974,118.634159035,118.8171918423,49457,0.0,1.0
INTU,2017-04-28 00:00:00+00:00,125.21,126.08,124.82,126.08,1935834,120.6186199982,121.4567175894,120.242921078,121.4567175894,1935834,0.0,1.0
INTU,2017-05-01 00:00:00+00:00,125.52,125.67,124.72,125.55,1376298,120.9172524732,121.0617520579,120.1465880215,120.9461523902,1376298,0.0,1.0
INTU,2017-05-02 00:00:00+00:00,125.91,126.19,125.02,125.75,1245029,121.2929513934,121.5626839515,120.4355871909,121.1388185031,1245029,0.0,1.0
INTU,2017-05-03 00:00:00+00:00,125.6,126.0,125.09,126.0,902167,120.9943189184,121.3796511442,120.5030203304,121.3796511442,902167,0.0,1.0
INTU,2017-05-04 00:00:00+00:00,125.95,126.12,125.47,125.93,950807,121.331484616,121.495250812,120.869085945,121.3122180047,950807,0.0,1.0
INTU,2017-05-05 00:00:00+00:00,126.14,126.48,125.7,126.48,751712,121.5145174233,121.8420498153,121.0906519749,121.8420498153,751712,0.0,1.0
INTU,2017-05-08 00:00:00+00:00,126.17,126.3499,125.55,126.15,969426,121.5434173402,121.7167205088,120.9461523902,121.5241507289,969426,0.0,1.0
INTU,2017-05-09 00:00:00+00:00,126.73,127.08,125.905,126.22,1090453,122.0828824564,122.4200481541,121.2881347406,121.5915838685,1090453,0.0,1.0
INTU,2017-05-10 00:00:00+00:00,127.09,127.46,126.45,126.45,1372261,122.4296814597,122.7861137686,121.8131498983,121.8131498983,1372261,0.0,1.0
INTU,2017-05-11 00:00:00+00:00,126.88,127.19,126.08,126.84,975311,122.2273820411,122.5260145162,121.4567175894,122.1888488185,975311,0.0,1.0
INTU,2017-05-12 00:00:00+00:00,126.51,126.87,126.14,126.87,785114,121.8709497322,122.2177487355,121.5145174233,122.2177487355,785114,0.0,1.0
INTU,2017-05-15 00:00:00+00:00,127.63,127.64,126.01,126.33,1338126,122.9498799646,122.9595132702,121.3892844499,121.6975502306,1338126,0.0,1.0
INTU,2017-05-16 00:00:00+00:00,127.5,127.61,127.1101,127.58,906815,122.8246469912,122.9306133533,122.449044404,122.9017134364,906815,0.0,1.0
INTU,2017-05-17 00:00:00+00:00,125.35,127.4199,125.29,126.76,1447608,120.7534862772,122.747484213,120.6956864434,122.1117823734,1447608,0.0,1.0
INTU,2017-05-18 00:00:00+00:00,125.15,125.83,124.22,125.2,1665938,120.5608201643,121.2158849483,119.6649227392,120.6089866925,1665938,0.0,1.0
INTU,2017-05-19 00:00:00+00:00,125.38,126.67,124.7,125.28,2666128,120.7823861942,122.0250826226,120.1273214102,120.6860531377,2666128,0.0,1.0
INTU,2017-05-22 00:00:00+00:00,127.16,127.28,125.16,125.5,1699609,122.4971145992,122.612714267,120.5704534699,120.8979858619,1699609,0.0,1.0
INTU,2017-05-23 00:00:00+00:00,129.15,130.1,127.39,127.8,2334146,124.4141424229,125.3293064593,122.7186806291,123.1136461606,2334146,0.0,1.0
INTU,2017-05-24 00:00:00+00:00,137.83,140.25,136.41,139.71,52795,132.7758517239,135.1071116903,131.4079223221,134.5869131854,52795,0.0,1.0
INTU,2017-05-25 00:00:00+00:00,138.36,138.81,135.43,137.53,3481662,133.2864169232,133.7199156772,130.4638583688,132.4868525545,3481662,0.0,1.0
INTU,2017-05-26 00:00:00+00:00,138.56,139.86,136.83,138.03,2265218,133.4790830361,134.7314127701,131.8125211593,132.9685178368,2265218,0.0,1.0
INTU,2017-05-30 00:00:00+00:00,140.05,140.2,138.0,138.48,2554356,134.9144455774,135.0589451621,132.9396179199,133.4020165909,2554356,0.0,1.0
INTU,2017-05-31 00:00:00+00:00,140.64,141.08,139.52,140.2,2304454,135.4828106105,135.906676059,134.4038803781,135.0589451621,2304454,0.0,1.0
INTU,2017-06-01 00:00:00+00:00,141.33,141.675,140.27,140.55,1824824,136.1475087001,136.4798577449,135.1263783016,135.3961108597,1824824,0.0,1.0
INTU,2017-06-02 00:00:00+00:00,142.81,142.89,141.125,141.22,1518589,137.5732379358,137.650304381,135.9500259344,136.041542338,1518589,0.0,1.0
INTU,2017-06-05 00:00:00+00:00,142.65,143.46,142.19,142.62,1362134,137.4191050454,138.1994028028,136.9759729857,137.3902051285,1362134,0.0,1.0
INTU,2017-06-06 00:00:00+00:00,141.63,142.94,141.6,142.18,1894407,136.4365078695,137.6984709092,136.4076079526,136.9663396801,1894407,0.0,1.0
INTU,2017-06-07 00:00:00+00:00,141.97,142.8099,141.43,142.12,1355274,136.7640402615,137.5731416027,136.2438417566,136.9085398462,1355274,0.0,1.0
INTU,2017-06-08 00:00:00+00:00,142.71,142.99,141.61,142.23,1335714,137.4769048793,137.7466374374,136.4172412582,137.0145062083,1335714,0.0,1.0
INTU,2017-06-09 00:00:00+00:00,140.21,143.81,139.1,143.0,1830103,135.0685784677,138.5365685004,133.999281541,137.7562707431,1830103,0.0,1.0
INTU,2017-06-12 00:00:00+00:00,139.74,140.14,138.01,138.96,1772781,134.6158131024,135.0011453282,132.9492512255,133.8644152619,1772781,0.0,1.0
INTU,2017-06-13 00:00:00+00:00,139.88,140.71,139.41,139.8,1484195,134.7506793814,135.5502437501,134.297914016,134.6736129362,1484195,0.0,1.0
INTU,2017-06-14 00:00:00+00:00,140.19,141.03,138.86,140.5,903256,135.0493118564,135.8585095307,133.7680822055,135.3479443315,903256,0.0,1.0
