symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JD,2017-05-30 00:00:00+00:00,40.79,41.1,40.37,41.1,7109914,39.8389378238,40.1417098446,39.4287305699,40.1417098446,7109914,0.0,1.0
JD,2017-05-31 00:00:00+00:00,40.03,40.79,39.69,40.72,14503580,39.0966580311,39.8389378238,38.7645854922,39.7705699482,14503580,0.0,1.0
JD,2017-06-01 00:00:00+00:00,40.29,40.47,39.98,40.2,10061442,39.3505958549,39.5263989637,39.0478238342,39.2626943005,10061442,0.0,1.0
JD,2017-06-02 00:00:00+00:00,40.23,40.37,39.86,40.32,8721058,39.2919948187,39.4287305699,38.9306217617,39.3798963731,8721058,0.0,1.0
JD,2017-06-05 00:00:00+00:00,40.32,40.53,40.07,40.32,5543313,39.3798963731,39.585,39.1357253886,39.3798963731,5543313,0.0,1.0
JD,2017-06-06 00:00:00+00:00,40.18,40.55,40.07,40.2,6317790,39.2431606218,39.6045336788,39.1357253886,39.2626943005,6317790,0.0,1.0
JD,2017-06-07 00:00:00+00:00,41.18,41.43,40.15,40.3,7187410,40.2198445596,40.464015544,39.2138601036,39.3603626943,7187410,0.0,1.0
JD,2017-06-08 00:00:00+00:00,41.92,43.8,41.22,43.41,23897036,40.9425906736,42.7787564767,40.2589119171,42.3978497409,23897036,0.0,1.0
JD,2017-06-09 00:00:00+00:00,39.0,42.51,38.46,42.49,23285148,38.0906735751,41.5188341969,37.5632642487,41.4993005181,23285148,0.0,1.0
JD,2017-06-12 00:00:00+00:00,39.22,39.62,37.98,39.0,18130801,38.3055440415,38.6962176166,37.0944559585,38.0906735751,18130801,0.0,1.0
JD,2017-06-13 00:00:00+00:00,39.27,40.14,38.9365,39.83,11098780,38.3543782383,39.2040932642,38.0286541451,38.9013212435,11098780,0.0,1.0
JD,2017-06-14 00:00:00+00:00,38.4,39.5745,38.2,39.57,14856262,37.5046632124,38.6517784974,37.3093264249,38.6473834197,14856262,0.0,1.0
