symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
KHC,2017-04-27 00:00:00+00:00,90.83,91.42,90.66,90.92,2198139,72.2742286178,72.7436967988,72.1389581249,72.3458424081,2198139,0.0,1.0
KHC,2017-04-28 00:00:00+00:00,90.39,91.23,89.83,91.2,2882787,71.9241167539,72.5925121304,71.4785198363,72.5686408669,2882787,0.0,1.0
KHC,2017-05-01 00:00:00+00:00,89.47,90.75,89.35,90.65,3352488,71.192064675,72.2105719153,71.0965796213,72.1310010371,3352488,0.0,1.0
KHC,2017-05-02 00:00:00+00:00,89.0,89.83,88.76,89.64,3047292,70.8180815477,71.4785198363,70.6271114402,71.3273351679,3047292,0.0,1.0
KHC,2017-05-03 00:00:00+00:00,89.14,90.22,88.9,90.22,2641075,70.9294807772,71.7888462611,70.7385106696,71.7888462611,2641075,0.0,1.0
KHC,2017-05-04 00:00:00+00:00,89.7,91.8,87.14,88.0,6379778,71.3750776948,73.0460661358,69.3380632143,70.0223727663,6379778,0.0,1.0
KHC,2017-05-05 00:00:00+00:00,89.63,90.1,89.18,89.86,2258953,71.3193780801,71.6933612073,70.9613091284,71.5023910998,2258953,0.0,1.0
KHC,2017-05-08 00:00:00+00:00,89.48,89.77,89.0,89.58,2304920,71.2000217628,71.4307773095,70.8180815477,71.279592641,2304920,0.0,1.0
KHC,2017-05-09 00:00:00+00:00,89.2,89.6507,88.87,89.23,2043658,70.977223304,71.3358492518,70.7146394062,71.0010945675,2043658,0.0,1.0
KHC,2017-05-10 00:00:00+00:00,89.33,89.4,88.94,89.11,1641677,71.0806654456,71.1363650603,70.7703390209,70.9056095137,1641677,0.0,1.0
KHC,2017-05-11 00:00:00+00:00,89.28,89.46,88.8,88.8,1380383,71.0408800066,71.1841075872,70.6589397915,70.6589397915,1380383,0.0,1.0
KHC,2017-05-12 00:00:00+00:00,88.95,89.45,88.67,89.34,1806474,70.7782961087,71.1761504994,70.5554976499,71.0886225334,1806474,0.0,1.0
KHC,2017-05-15 00:00:00+00:00,89.45,89.47,88.56,88.76,1994069,71.1761504994,71.192064675,70.4679696839,70.6271114402,1994069,0.0,1.0
