symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
LBTYA,2017-04-27 00:00:00+00:00,35.85,36.26,35.81,36.05,1421733,35.85,36.26,35.81,36.05,1421733,0.0,1.0
LBTYA,2017-04-28 00:00:00+00:00,35.42,35.95,35.33,35.91,1686683,35.42,35.95,35.33,35.91,1686683,0.0,1.0
LBTYA,2017-05-01 00:00:00+00:00,35.69,35.91,35.32,35.56,1242113,35.69,35.91,35.32,35.56,1242113,0.0,1.0
LBTYA,2017-05-02 00:00:00+00:00,35.55,35.94,35.19,35.64,1114762,35.55,35.94,35.19,35.64,1114762,0.0,1.0
LBTYA,2017-05-03 00:00:00+00:00,34.42,35.65,34.27,35.57,1971680,34.42,35.65,34.27,35.57,1971680,0.0,1.0
LBTYA,2017-05-04 00:00:00+00:00,33.83,34.77,33.75,34.57,2745598,33.83,34.77,33.75,34.57,2745598,0.0,1.0
LBTYA,2017-05-05 00:00:00+00:00,34.27,34.33,33.8,33.89,1928815,34.27,34.33,33.8,33.89,1928815,0.0,1.0
LBTYA,2017-05-08 00:00:00+00:00,31.61,33.5,31.33,33.5,7309871,31.61,33.5,31.33,33.5,7309871,0.0,1.0
LBTYA,2017-05-09 00:00:00+00:00,30.85,31.82,30.8,31.82,4516235,30.85,31.82,30.8,31.82,4516235,0.0,1.0
LBTYA,2017-05-10 00:00:00+00:00,30.22,30.9,30.15,30.64,4493443,30.22,30.9,30.15,30.64,4493443,0.0,1.0
LBTYA,2017-05-11 00:00:00+00:00,30.21,30.41,30.03,30.17,4705560,30.21,30.41,30.03,30.17,4705560,0.0,1.0
LBTYA,2017-05-12 00:00:00+00:00,30.29,30.57,30.24,30.24,5234853,30.29,30.57,30.24,30.24,5234853,0.0,1.0
LBTYA,2017-05-15 00:00:00+00:00,30.02,30.37,29.99,30.33,3352268,30.02,30.37,29.99,30.33,3352268,0.0,1.0
LBTYA,2017-05-16 00:00:00+00:00,29.46,30.34,29.22,30.28,5690053,29.46,30.34,29.22,30.28,5690053,0.0,1.0
LBTYA,2017-05-17 00:00:00+00:00,29.44,30.14,29.15,29.23,6197742,29.44,30.14,29.15,29.23,6197742,0.0,1.0
LBTYA,2017-05-18 00:00:00+00:00,29.95,30.22,29.48,29.52,3979753,29.95,30.22,29.48,29.52,3979753,0.0,1.0
LBTYA,2017-05-19 00:00:00+00:00,30.12,30.56,29.93,30.02,5340240,30.12,30.56,29.93,30.02,5340240,0.0,1.0
LBTYA,2017-05-22 00:00:00+00:00,30.85,30.94,30.15,30.27,6575250,30.85,30.94,30.15,30.27,6575250,0.0,1.0
LBTYA,2017-05-23 00:00:00+00:00,30.9,31.16,30.68,30.83,5130719,30.9,31.16,30.68,30.83,5130719,0.0,1.0
LBTYA,2017-05-24 00:00:00+00:00,30.53,30.79,30.32,30.74,6599321,30.53,30.79,30.32,30.74,6599321,0.0,1.0
LBTYA,2017-05-25 00:00:00+00:00,30.93,31.1,30.56,30.61,3918005,30.93,31.1,30.56,30.61,3918005,0.0,1.0
LBTYA,2017-05-26 00:00:00+00:00,31.13,31.15,30.7,30.99,2327190,31.13,31.15,30.7,30.99,2327190,0.0,1.0
LBTYA,2017-05-30 00:00:00+00:00,31.0,31.27,30.93,31.26,1846949,31.0,31.27,30.93,31.26,1846949,0.0,1.0
LBTYA,2017-05-31 00:00:00+00:00,30.58,31.06,30.51,31.05,3352917,30.58,31.06,30.51,31.05,3352917,0.0,1.0
LBTYA,2017-06-01 00:00:00+00:00,31.35,31.5,30.58,30.73,3793887,31.35,31.5,30.58,30.73,3793887,0.0,1.0
LBTYA,2017-06-02 00:00:00+00:00,31.75,31.84,31.26,31.26,2157482,31.75,31.84,31.26,31.26,2157482,0.0,1.0
LBTYA,2017-06-05 00:00:00+00:00,31.43,31.98,31.37,31.9,1563485,31.43,31.98,31.37,31.9,1563485,0.0,1.0
LBTYA,2017-06-06 00:00:00+00:00,30.2,31.34,30.16,31.34,2793043,30.2,31.34,30.16,31.34,2793043,0.0,1.0
LBTYA,2017-06-07 00:00:00+00:00,30.05,30.35,29.36,30.34,5521975,30.05,30.35,29.36,30.34,5521975,0.0,1.0
LBTYA,2017-06-08 00:00:00+00:00,29.86,30.13,29.6,30.05,3362930,29.86,30.13,29.6,30.05,3362930,0.0,1.0
LBTYA,2017-06-09 00:00:00+00:00,29.35,30.0,29.15,29.94,3197637,29.35,30.0,29.15,29.94,3197637,0.0,1.0
LBTYA,2017-06-12 00:00:00+00:00,29.41,29.9,29.18,29.23,2833699,29.41,29.9,29.18,29.23,2833699,0.0,1.0
LBTYA,2017-06-13 00:00:00+00:00,29.5,29.59,29.11,29.11,3218320,29.5,29.59,29.11,29.11,3218320,0.0,1.0
LBTYA,2017-06-14 00:00:00+00:00,29.09,29.69,29.0,29.52,3950998,29.09,29.69,29.0,29.52,3950998,0.0,1.0
LBTYA,2017-06-15 00:00:00+00:00,28.69,29.05,28.43,29.0,3053797,28.69,29.05,28.43,29.0,3053797,0.0,1.0
LBTYA,2017-06-16 00:00:00+00:00,29.17,29.27,28.17,28.55,4254418,29.17,29.27,28.17,28.55,4254418,0.0,1.0
LBTYA,2017-06-19 00:00:00+00:00,29.36,29.57,28.95,29.07,2028944,29.36,29.57,28.95,29.07,2028944,0.0,1.0
LBTYA,2017-06-20 00:00:00+00:00,28.8,29.26,28.68,29.25,2832868,28.8,29.26,28.68,29.25,2832868,0.0,1.0
LBTYA,2017-06-21 00:00:00+00:00,28.83,29.14,28.6,28.79,3954843,28.83,29.14,28.6,28.79,3954843,0.0,1.0
LBTYA,2017-06-22 00:00:00+00:00,29.03,29.23,28.68,28.85,2531699,29.03,29.23,28.68,28.85,2531699,0.0,1.0
LBTYA,2017-06-23 00:00:00+00:00,29.98,30.09,28.66,29.03,3083348,29.98,30.09,28.66,29.03,3083348,0.0,1.0
LBTYA,2017-06-26 00:00:00+00:00,30.45,30.94,30.05,30.15,3394802,30.45,30.94,30.05,30.15,3394802,0.0,1.0
LBTYA,2017-06-27 00:00:00+00:00,30.32,30.75,30.01,30.27,2755412,30.32,30.75,30.01,30.27,2755412,0.0,1.0
LBTYA,2017-06-28 00:00:00+00:00,31.47,31.67,30.43,30.43,3026713,31.47,31.67,30.43,30.43,3026713,0.0,1.0
LBTYA,2017-06-29 00:00:00+00:00,31.71,31.82,30.93,31.32,3619673,31.71,31.82,30.93,31.32,3619673,0.0,1.0
LBTYA,2017-06-30 00:00:00+00:00,32.12,32.61,31.4,31.88,4270719,32.12,32.61,31.4,31.88,4270719,0.0,1.0
LBTYA,2017-07-03 00:00:00+00:00,31.94,32.54,31.88,32.45,1903492,31.94,32.54,31.88,32.45,1903492,0.0,1.0
LBTYA,2017-07-05 00:00:00+00:00,32.09,32.31,31.85,31.96,1917654,32.09,32.31,31.85,31.96,1917654,0.0,1.0
LBTYA,2017-07-06 00:00:00+00:00,31.24,32.05,31.21,31.94,2050678,31.24,32.05,31.21,31.94,2050678,0.0,1.0
LBTYA,2017-07-07 00:00:00+00:00,31.46,31.63,31.1,31.22,1643737,31.46,31.63,31.1,31.22,1643737,0.0,1.0
LBTYA,2017-07-10 00:00:00+00:00,31.72,31.95,31.37,31.37,2434344,31.72,31.95,31.37,31.37,2434344,0.0,1.0
LBTYA,2017-07-11 00:00:00+00:00,31.42,32.05,31.3,31.9,3139736,31.42,32.05,31.3,31.9,3139736,0.0,1.0
LBTYA,2017-07-12 00:00:00+00:00,31.92,32.08,31.61,31.61,3928350,31.92,32.08,31.61,31.61,3928350,0.0,1.0
LBTYA,2017-07-13 00:00:00+00:00,32.51,32.8,31.91,31.95,2132166,32.51,32.8,31.91,31.95,2132166,0.0,1.0
LBTYA,2017-07-14 00:00:00+00:00,32.82,32.97,32.63,32.66,1471873,32.82,32.97,32.63,32.66,1471873,0.0,1.0
LBTYA,2017-07-17 00:00:00+00:00,32.88,33.11,32.74,32.79,948979,32.88,33.11,32.74,32.79,948979,0.0,1.0
LBTYA,2017-07-18 00:00:00+00:00,32.67,32.9699,32.53,32.59,1306372,32.67,32.9699,32.53,32.59,1306372,0.0,1.0
LBTYA,2017-07-19 00:00:00+00:00,32.56,32.94,32.51,32.71,1537639,32.56,32.94,32.51,32.71,1537639,0.0,1.0
LBTYA,2017-07-20 00:00:00+00:00,33.03,33.19,32.51,32.62,3431974,33.03,33.19,32.51,32.62,3431974,0.0,1.0
LBTYA,2017-07-21 00:00:00+00:00,32.92,33.08,32.75,32.94,1556149,32.92,33.08,32.75,32.94,1556149,0.0,1.0
LBTYA,2017-07-24 00:00:00+00:00,32.76,32.99,32.7,32.98,1562708,32.76,32.99,32.7,32.98,1562708,0.0,1.0
LBTYA,2017-07-25 00:00:00+00:00,32.75,32.99,32.69,32.88,1416327,32.75,32.99,32.69,32.88,1416327,0.0,1.0
LBTYA,2017-07-26 00:00:00+00:00,33.04,33.18,32.88,33.12,1169357,33.04,33.18,32.88,33.12,1169357,0.0,1.0
LBTYA,2017-07-27 00:00:00+00:00,33.25,33.64,32.95,33.23,1628230,33.25,33.64,32.95,33.23,1628230,0.0,1.0
