symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
LRCX,2017-05-30 00:00:00+00:00,156.87,157.77,155.0,155.45,2063473,144.9909754028,145.8228226513,143.2625816755,143.6785052997,2063473,0.0,1.0
LRCX,2017-05-31 00:00:00+00:00,155.17,157.49,154.72,157.04,2335824,143.419708378,145.5640257295,143.0037847538,145.1481021053,2335824,0.0,1.0
LRCX,2017-06-01 00:00:00+00:00,156.44,156.53,154.95,155.26,1435230,144.593537273,144.6767219979,143.2163679395,143.5028931029,1435230,0.0,1.0
LRCX,2017-06-02 00:00:00+00:00,158.74,158.8299,157.01,157.15,1761452,146.7193691301,146.8024614275,145.1203738637,145.2497723246,1761452,0.0,1.0
LRCX,2017-06-05 00:00:00+00:00,160.29,160.4975,158.07,158.89,1718961,148.5679185711,148.7602440007,146.5102681923,147.2703012151,1718961,0.45,1.0
LRCX,2017-06-06 00:00:00+00:00,161.01,164.124,159.68,160.24,2263113,149.2352646399,152.1215363876,148.0025281517,148.5215750941,2263113,0.0,1.0
LRCX,2017-06-07 00:00:00+00:00,162.3,162.69,160.985,162.06,2017058,150.4309263466,150.7924054672,149.2120929014,150.208477657,2017058,0.0,1.0
LRCX,2017-06-08 00:00:00+00:00,164.97,164.99,162.47,163.44,2127392,152.9056680185,152.9242054093,150.5884941684,151.4875576222,2127392,0.0,1.0
LRCX,2017-06-09 00:00:00+00:00,157.78,167.05,154.38,165.35,3675753,146.2414760257,154.8335566617,143.0901195896,153.2578784437,3675753,0.0,1.0
LRCX,2017-06-12 00:00:00+00:00,154.51,155.8635,148.75,155.51,5210972,143.2106126298,144.4651305522,137.8718440792,144.1374821698,5210972,0.0,1.0
LRCX,2017-06-13 00:00:00+00:00,155.12,157.905,152.9,156.66,2722424,143.7760030492,146.3573347182,141.7183526703,145.2033821408,2722424,0.0,1.0
LRCX,2017-06-14 00:00:00+00:00,152.75,155.96,150.41,155.35,2736007,141.5793222393,144.5545734628,139.4104475156,143.9891830434,2736007,0.0,1.0
LRCX,2017-06-15 00:00:00+00:00,148.48,150.7564,147.6,149.58,4138006,137.6215893034,139.7315151243,136.8059441082,138.6411457974,4138006,0.0,1.0
LRCX,2017-06-16 00:00:00+00:00,148.21,150.97,147.66,148.83,3930446,137.3713345276,139.9294944581,136.8615562806,137.9459936424,3930446,0.0,1.0
LRCX,2017-06-19 00:00:00+00:00,151.0,151.95,149.9,150.19,2981831,139.9573005443,140.8378266073,138.9377440502,139.2065362168,2981831,0.0,1.0
LRCX,2017-06-20 00:00:00+00:00,150.11,152.94,149.525,151.5,2324171,139.1323866536,141.7554274519,138.5901679727,140.4207353143,2324171,0.0,1.0
LRCX,2017-06-21 00:00:00+00:00,150.92,151.25,149.15,150.31,1770617,139.8831509811,140.1890179293,138.2425918952,139.3177605616,1770617,0.0,1.0
LRCX,2017-06-22 00:00:00+00:00,150.04,152.415,149.52,151.51,1448295,139.0675057858,141.2688209434,138.585533625,140.4300040097,1448295,0.0,1.0
LRCX,2017-06-23 00:00:00+00:00,151.78,152.82,149.5228,149.81,2524065,140.6802587855,141.6442031071,138.5881288597,138.8543257916,2524065,0.0,1.0
LRCX,2017-06-26 00:00:00+00:00,148.99,153.61,148.36,152.46,2444643,138.0942927688,142.3764300437,137.5103649586,141.3105300727,2444643,0.0,1.0
LRCX,2017-06-27 00:00:00+00:00,144.62,148.57,144.44,148.26,3326955,134.0438728789,137.705007562,133.8770363617,137.4176780046,3326955,0.0,1.0
LRCX,2017-06-28 00:00:00+00:00,147.83,148.17,142.8,145.17,2839533,137.0191241024,137.334259746,132.356970316,134.5536511259,2839533,0.0,1.0
LRCX,2017-06-29 00:00:00+00:00,142.35,146.499,140.01,146.08,2922042,131.939879023,135.7854607446,129.7710042993,135.3971024073,2922042,0.0,1.0
LRCX,2017-06-30 00:00:00+00:00,141.43,143.57,140.83,143.37,2830271,131.0871590462,133.0706598618,130.5310373222,132.8852859538,2830271,0.0,1.0
LRCX,2017-07-03 00:00:00+00:00,139.29,143.38,139.24,142.71,1569357,129.1036582305,132.8945546492,129.0573147535,132.2735520574,1569357,0.0,1.0
LRCX,2017-07-05 00:00:00+00:00,142.53,142.7,139.94,140.42,2554808,132.1067155402,132.264283362,129.7061234315,130.1510208108,2554808,0.0,1.0
LRCX,2017-07-06 00:00:00+00:00,143.89,144.72,140.67,141.435,2738583,133.3672581147,134.1365598329,130.3827381958,131.0917933939,2738583,0.0,1.0
LRCX,2017-07-07 00:00:00+00:00,148.13,149.68,146.4367,147.0,2931820,137.2971849644,138.7338327514,135.7277167722,136.2498223841,2931820,0.0,1.0
LRCX,2017-07-10 00:00:00+00:00,150.84,151.005,147.86,148.73,2270230,139.8090014179,139.961934892,137.0469301886,137.8533066884,2270230,0.0,1.0
LRCX,2017-07-11 00:00:00+00:00,153.72,154.82,151.01,151.31,2739444,142.4783856931,143.4979421872,139.9665692397,140.2446301017,2739444,0.0,1.0
LRCX,2017-07-12 00:00:00+00:00,154.58,156.35,152.92,155.41,1763402,143.2754934976,144.9160525834,141.7368900611,144.0447952158,1763402,0.0,1.0
LRCX,2017-07-13 00:00:00+00:00,154.94,156.31,154.16,155.05,1421960,143.609166532,144.8789778018,142.8862082907,143.7111221814,1421960,0.0,1.0
LRCX,2017-07-14 00:00:00+00:00,157.3,157.61,154.96,155.69,1372799,145.7965786464,146.0839082038,143.6277039228,144.304318687,1372799,0.0,1.0
LRCX,2017-07-17 00:00:00+00:00,156.98,158.31,155.75,157.78,1654960,145.4999803936,146.7327168819,144.3599308594,146.2414760257,1654960,0.0,1.0
LRCX,2017-07-18 00:00:00+00:00,159.35,159.5876,156.2369,157.0,1715546,147.6966612035,147.9168854062,144.8112236384,145.5185177844,1715546,0.0,1.0
LRCX,2017-07-19 00:00:00+00:00,164.23,164.545,160.245,160.5,2668837,152.2197845588,152.5117484639,148.5262094418,148.7625611745,2668837,0.0,1.0
LRCX,2017-07-20 00:00:00+00:00,164.8,165.12,161.82,164.98,2153606,152.7481001966,153.0446984495,149.9860289674,152.9149367139,2153606,0.0,1.0
LRCX,2017-07-21 00:00:00+00:00,163.53,163.915,162.29,163.915,1838248,151.5709758808,151.9278206537,150.4216576512,151.9278206537,1838248,0.0,1.0
LRCX,2017-07-24 00:00:00+00:00,164.12,164.68,163.1513,163.5,1339326,152.1178289094,152.6368758518,151.219970386,151.5431697946,1339326,0.0,1.0
LRCX,2017-07-25 00:00:00+00:00,164.46,164.82,162.475,164.08,2071022,152.432964553,152.7666375874,150.5931285161,152.0807541278,2071022,0.0,1.0
LRCX,2017-07-26 00:00:00+00:00,168.34,168.44,165.22,165.4,3023490,156.0292183683,156.1219053224,153.1373854035,153.3042219207,3023490,0.0,1.0
LRCX,2017-07-27 00:00:00+00:00,164.76,170.0,161.271,168.92,5558184,152.711025415,157.5678218048,149.4771775899,156.5668027016,5558184,0.0,1.0
LRCX,2017-07-28 00:00:00+00:00,161.6,164.969,160.7841,164.25,2726594,149.7821176686,152.9047411489,149.0258848108,152.2383219496,2726594,0.0,1.0
