symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MAR,2017-05-30 00:00:00+00:00,106.74,107.24,106.41,106.65,1971707,102.7342939256,103.2155300785,102.4166780647,102.6476714181,1971707,0.0,1.0
MAR,2017-05-31 00:00:00+00:00,107.65,107.68,106.39,107.01,2896511,103.6101437239,103.6390178931,102.3974286186,102.9941614482,2896511,0.0,1.0
MAR,2017-06-01 00:00:00+00:00,108.68,108.99,107.65,108.0,1775405,104.601490199,104.8998566138,103.6101437239,103.947009031,1775405,0.0,1.0
MAR,2017-06-02 00:00:00+00:00,110.06,110.51,108.76,108.89,2883937,105.929701981,106.3628145186,104.6784879834,104.8036093832,2883937,0.0,1.0
MAR,2017-06-05 00:00:00+00:00,108.19,110.35,107.8,110.1,2170269,104.1298787691,106.2088189497,103.7545145698,105.9682008732,2170269,0.0,1.0
MAR,2017-06-06 00:00:00+00:00,104.99,107.51,104.92,107.32,4519634,101.0499673904,103.4753976011,100.982594329,103.292527863,4519634,0.0,1.0
MAR,2017-06-07 00:00:00+00:00,105.12,105.605,103.12,105.5,4460105,101.1750887902,101.6418878585,99.2501441785,101.5408282664,4460105,0.0,1.0
MAR,2017-06-08 00:00:00+00:00,105.08,105.17,102.4,104.56,3278635,101.1365898979,101.2232124054,98.5571641183,100.6361042989,3278635,0.0,1.0
MAR,2017-06-09 00:00:00+00:00,102.42,105.46,101.86,104.98,3618903,98.5764135644,101.5023293741,98.0374290731,101.0403426673,3618903,0.0,1.0
MAR,2017-06-12 00:00:00+00:00,102.07,102.49,100.77,101.79,5013530,98.2395482573,98.6437866258,96.9883342597,97.9700560117,5013530,0.0,1.0
MAR,2017-06-13 00:00:00+00:00,103.88,103.89,102.25,102.55,2961642,99.9816231309,99.991247854,98.4127932724,98.7015349641,2961642,0.0,1.0
MAR,2017-06-14 00:00:00+00:00,103.91,104.91,102.8568,104.38,2299340,100.0104973001,100.9729696059,98.9968214676,100.4628592838,2299340,0.0,1.0
MAR,2017-06-15 00:00:00+00:00,104.74,104.82,102.54,103.35,1538512,100.8093493139,100.8863470984,98.6919102411,99.4715128088,1538512,0.0,1.0
MAR,2017-06-16 00:00:00+00:00,104.5,105.31,103.97,104.41,3894913,100.5783559605,101.3579585283,100.0682456384,100.491733453,3894913,0.0,1.0
MAR,2017-06-19 00:00:00+00:00,105.93,106.31,104.64,105.01,1605796,101.9546913579,102.3204308341,100.7131020833,101.0692168365,1605796,0.0,1.0
MAR,2017-06-20 00:00:00+00:00,104.19,105.883,104.16,105.43,1626947,100.2799895457,101.9094551595,100.2511153765,101.473455205,1626947,0.0,1.0
MAR,2017-06-21 00:00:00+00:00,104.13,104.754,103.67,104.32,1415230,100.2222412074,100.8228239262,99.7795039467,100.4051109455,1415230,0.0,1.0
MAR,2017-06-22 00:00:00+00:00,103.89,104.4,103.39,104.09,1500094,99.991247854,100.4821087299,99.510011701,100.1837423151,1500094,0.0,1.0
MAR,2017-06-23 00:00:00+00:00,104.06,104.45,103.32,103.81,4212715,100.154868146,100.5302323452,99.4426386396,99.9142500695,4212715,0.0,1.0
MAR,2017-06-26 00:00:00+00:00,103.93,105.15,103.51,104.07,2104807,100.0297467462,101.2039629593,99.6255083777,100.164492869,2104807,0.0,1.0
MAR,2017-06-27 00:00:00+00:00,101.03,103.558,100.89,103.53,2700620,97.2385770593,99.6717070484,97.1038309364,99.6447578239,2700620,0.0,1.0
MAR,2017-06-28 00:00:00+00:00,101.98,102.51,100.47,101.0,2041280,98.1529257498,98.6630360719,96.699592568,97.2097028901,2041280,0.0,1.0
MAR,2017-06-29 00:00:00+00:00,100.21,102.34,99.08,102.16,2989336,96.4493497685,98.4994157799,95.3617560629,98.3261707649,2989336,0.0,1.0
MAR,2017-06-30 00:00:00+00:00,100.31,101.22,100.28,101.18,2810698,96.5455969991,97.4214467974,96.5167228299,97.3829479051,2810698,0.0,1.0
MAR,2017-07-03 00:00:00+00:00,100.11,101.0,99.92,100.61,1230637,96.3531025379,97.2097028901,96.1702327998,96.8343386908,1230637,0.0,1.0
MAR,2017-07-05 00:00:00+00:00,101.17,101.56,100.05,100.3,2244903,97.3733231821,97.7486873814,96.2953541995,96.535972276,2244903,0.0,1.0
MAR,2017-07-06 00:00:00+00:00,99.65,100.75,99.38,100.45,1967419,95.9103652772,96.9690848136,95.6504977546,96.6803431219,1967419,0.0,1.0
MAR,2017-07-07 00:00:00+00:00,100.35,100.74,99.43,99.7,2430259,96.5840958913,96.9594600906,95.6986213699,95.9584888925,2430259,0.0,1.0
MAR,2017-07-10 00:00:00+00:00,100.71,100.89,99.56,100.23,1523736,96.9305859214,97.1038309364,95.8237427697,96.4685992146,1523736,0.0,1.0
MAR,2017-07-11 00:00:00+00:00,100.73,100.95,99.83,100.33,1777013,96.9498353675,97.1615792748,96.0836102922,96.5648464452,1777013,0.0,1.0
MAR,2017-07-12 00:00:00+00:00,100.8,102.05,100.68,101.65,1742821,97.0172084289,98.2202988112,96.9017117522,97.8353098889,1742821,0.0,1.0
MAR,2017-07-13 00:00:00+00:00,100.7,101.24,100.46,101.0,1386283,96.9209611983,97.4406962435,96.6899678449,97.2097028901,1386283,0.0,1.0
MAR,2017-07-14 00:00:00+00:00,100.99,101.37,100.17,100.81,1280232,97.200078167,97.5658176432,96.4108508762,97.026833152,1280232,0.0,1.0
MAR,2017-07-17 00:00:00+00:00,101.35,101.95,100.61,100.89,1225690,97.5465681971,98.1240515806,96.8343386908,97.1038309364,1225690,0.0,1.0
MAR,2017-07-18 00:00:00+00:00,102.0,102.31,100.64,100.98,1350903,98.1721751959,98.4705416107,96.86321286,97.190453444,1350903,0.0,1.0
MAR,2017-07-19 00:00:00+00:00,102.24,102.61,101.451,101.88,1040974,98.4031685493,98.7592833025,97.6437779,98.0566785192,1040974,0.0,1.0
MAR,2017-07-20 00:00:00+00:00,102.4,102.93,101.91,102.19,1613704,98.5571641183,99.0672744404,98.0855526884,98.355044934,1613704,0.0,1.0
MAR,2017-07-21 00:00:00+00:00,102.85,103.06,102.02,102.05,1348919,98.9902766559,99.1923958401,98.191424642,98.2202988112,1348919,0.0,1.0
MAR,2017-07-24 00:00:00+00:00,102.71,103.12,102.61,103.03,1434009,98.8555305331,99.2501441785,98.7592833025,99.1635216709,1434009,0.0,1.0
MAR,2017-07-25 00:00:00+00:00,103.06,103.32,102.64,103.15,1514375,99.1923958401,99.4426386396,98.7881574717,99.2790183476,1514375,0.0,1.0
