symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MAT,2017-05-30 00:00:00+00:00,22.75,22.87,22.53,22.56,10583071,22.544055522,22.6629692215,22.326047073,22.3557754979,10583071,0.0,1.0
MAT,2017-05-31 00:00:00+00:00,22.91,23.055,22.76,22.81,4601596,22.7026071213,22.8462945081,22.553964997,22.6035123718,4601596,0.0,1.0
MAT,2017-06-01 00:00:00+00:00,22.78,23.115,22.75,22.92,4396187,22.5737839469,22.9057513579,22.544055522,22.7125165963,4396187,0.0,1.0
MAT,2017-06-02 00:00:00+00:00,22.56,22.92,22.52,22.8,4405077,22.3557754979,22.7125165963,22.3161375981,22.5936028968,4405077,0.0,1.0
MAT,2017-06-05 00:00:00+00:00,22.8,22.88,22.37,22.54,4099216,22.5936028968,22.6728786964,22.1674954737,22.335956548,4099216,0.0,1.0
MAT,2017-06-06 00:00:00+00:00,22.8,22.96,22.47,22.82,3670535,22.5936028968,22.7521544961,22.2665902233,22.6134218467,3670535,0.0,1.0
MAT,2017-06-07 00:00:00+00:00,22.37,22.98,22.3,22.9,4192428,22.1674954737,22.771973446,22.0981291491,22.6926976463,4192428,0.0,1.0
MAT,2017-06-08 00:00:00+00:00,22.43,22.44,22.25,22.36,3758847,22.2269523235,22.2368617984,22.0485817743,22.1575859988,3758847,0.0,1.0
MAT,2017-06-09 00:00:00+00:00,22.27,22.43,22.2,22.39,5655598,22.0684007242,22.2269523235,21.9990343995,22.1873144237,5655598,0.0,1.0
MAT,2017-06-12 00:00:00+00:00,22.23,22.5598,21.87,22.34,6149695,22.0287628244,22.3555773084,21.672021726,22.1377670489,6149695,0.0,1.0
MAT,2017-06-13 00:00:00+00:00,22.65,22.75,21.98,22.27,6943565,22.4449607725,22.544055522,21.7810259505,22.0684007242,6943565,0.0,1.0
MAT,2017-06-14 00:00:00+00:00,22.15,22.77,21.5,22.7,19896392,21.9494870247,22.5638744719,21.3053711527,22.4945081473,19896392,0.0,1.0
MAT,2017-06-15 00:00:00+00:00,20.67,21.5,20.29,21.44,35298021,20.4828847314,21.3053711527,20.1063246832,21.245914303,35298021,0.0,1.0
MAT,2017-06-16 00:00:00+00:00,20.72,20.91,20.445,20.67,11818472,20.5324321062,20.7207121304,20.259921545,20.4828847314,11818472,0.0,1.0
MAT,2017-06-19 00:00:00+00:00,20.43,20.7,20.2,20.7,8588651,20.2450573325,20.5126131563,20.0171394086,20.5126131563,8588651,0.0,1.0
MAT,2017-06-20 00:00:00+00:00,20.02,20.6,19.96,20.36,6671520,19.8387688594,20.4135184068,19.7793120097,20.1756910078,6671520,0.0,1.0
MAT,2017-06-21 00:00:00+00:00,19.99,20.15,19.41,20.06,10174042,19.8090404345,19.9675920338,19.2342908871,19.8784067592,10174042,0.0,1.0
MAT,2017-06-22 00:00:00+00:00,20.3,20.41,19.81,19.96,4395735,20.1162341581,20.2252383826,19.6306698853,19.7793120097,4395735,0.0,1.0
MAT,2017-06-23 00:00:00+00:00,20.68,20.75,20.114,20.22,6656248,20.4927942064,20.5621605311,19.931917924,20.0369583585,6656248,0.0,1.0
MAT,2017-06-26 00:00:00+00:00,20.61,20.69,20.45,20.64,9006468,20.4234278817,20.5027036814,20.2648762824,20.4531563066,9006468,0.0,1.0
MAT,2017-06-27 00:00:00+00:00,20.63,20.86,20.41,20.51,5665276,20.4432468316,20.6711647556,20.2252383826,20.3243331322,5665276,0.0,1.0
MAT,2017-06-28 00:00:00+00:00,20.69,20.92,20.61,20.64,5919778,20.5027036814,20.7306216053,20.4234278817,20.4531563066,5919778,0.0,1.0
MAT,2017-06-29 00:00:00+00:00,20.87,20.91,20.47,20.64,5595056,20.6810742305,20.7207121304,20.2846952323,20.4531563066,5595056,0.0,1.0
MAT,2017-06-30 00:00:00+00:00,21.53,21.66,20.86,20.98,6806926,21.3350995775,21.463922752,20.6711647556,20.790078455,6806926,0.0,1.0
MAT,2017-07-03 00:00:00+00:00,20.99,21.59,20.96,21.54,4541498,20.79998793,21.3945564273,20.7702595051,21.3450090525,4541498,0.0,1.0
MAT,2017-07-05 00:00:00+00:00,20.97,21.11,20.87,20.99,5049589,20.7801689801,20.9189016295,20.6810742305,20.79998793,5049589,0.0,1.0
MAT,2017-07-06 00:00:00+00:00,20.76,20.9,20.51,20.87,4389213,20.572070006,20.7108026554,20.3243331322,20.6810742305,4389213,0.0,1.0
MAT,2017-07-07 00:00:00+00:00,20.81,21.0,20.7,20.75,4873079,20.6216173808,20.8098974049,20.5126131563,20.5621605311,4873079,0.0,1.0
MAT,2017-07-10 00:00:00+00:00,20.92,21.03,20.68,20.76,5612774,20.7306216053,20.8396258298,20.4927942064,20.572070006,5612774,0.0,1.0
MAT,2017-07-11 00:00:00+00:00,20.88,20.97,20.7,20.92,3898883,20.6909837055,20.7801689801,20.5126131563,20.7306216053,3898883,0.0,1.0
MAT,2017-07-12 00:00:00+00:00,20.88,21.11,20.83,21.0,2875807,20.6909837055,20.9189016295,20.6414363307,20.8098974049,2875807,0.0,1.0
MAT,2017-07-13 00:00:00+00:00,20.73,20.96,20.71,20.82,8002483,20.5423415812,20.7702595051,20.5225226313,20.6315268558,8002483,0.0,1.0
MAT,2017-07-14 00:00:00+00:00,21.06,21.12,20.75,20.8,3926763,20.8693542547,20.9288111044,20.5621605311,20.6117079059,3926763,0.0,1.0
MAT,2017-07-17 00:00:00+00:00,20.85,21.21,20.8,21.03,3201733,20.6612552806,21.017996379,20.6117079059,20.8396258298,3201733,0.0,1.0
MAT,2017-07-18 00:00:00+00:00,20.85,21.03,20.46,20.82,4886495,20.6612552806,20.8396258298,20.2747857574,20.6315268558,4886495,0.0,1.0
MAT,2017-07-19 00:00:00+00:00,21.3,21.44,20.77,20.85,3707854,21.1071816536,21.245914303,20.581979481,20.6612552806,3707854,0.0,1.0
MAT,2017-07-20 00:00:00+00:00,21.31,21.55,21.29,21.36,3781780,21.1170911285,21.3549185275,21.0972721786,21.1666385033,3781780,0.0,1.0
MAT,2017-07-21 00:00:00+00:00,21.63,21.67,21.05,21.3,4553883,21.4341943271,21.4738322269,20.8594447797,21.1071816536,4553883,0.0,1.0
MAT,2017-07-24 00:00:00+00:00,20.8,21.38,20.52,21.37,10722068,20.6117079059,21.1864574532,20.3342426071,21.1765479783,10722068,0.0,1.0
MAT,2017-07-25 00:00:00+00:00,21.09,21.28,20.72,20.88,6450167,20.8990826795,21.0873627037,20.5324321062,20.6909837055,6450167,0.0,1.0
MAT,2017-07-26 00:00:00+00:00,20.92,21.16,20.83,21.12,5873629,20.7306216053,20.9684490042,20.6414363307,20.9288111044,5873629,0.0,1.0
MAT,2017-07-27 00:00:00+00:00,21.3,21.37,20.69,20.94,8534716,21.1071816536,21.1765479783,20.5027036814,20.7504405552,8534716,0.0,1.0
MAT,2017-07-28 00:00:00+00:00,19.64,20.2,19.16,20.1,22821811,19.4622088111,20.0171394086,18.9865540133,19.918044659,22821811,0.0,1.0
MAT,2017-07-31 00:00:00+00:00,20.02,20.11,19.38,19.54,21500607,19.8387688594,19.927954134,19.2045624623,19.3631140616,21500607,0.0,1.0
MAT,2017-08-01 00:00:00+00:00,19.72,20.08,19.49,20.02,12779922,19.5414846107,19.8982257091,19.3135666868,19.8387688594,12779922,0.0,1.0
MAT,2017-08-02 00:00:00+00:00,19.62,19.81,19.48,19.7,8166773,19.4423898612,19.6306698853,19.3036572118,19.5216656608,8166773,0.0,1.0
MAT,2017-08-03 00:00:00+00:00,18.98,19.32,18.85,19.16,10946109,18.8081834641,19.1451056126,18.6793602897,18.9865540133,10946109,0.0,1.0
MAT,2017-08-04 00:00:00+00:00,19.0,19.23,18.79,19.13,6167812,18.828002414,19.055920338,18.61990344,18.9568255884,6167812,0.0,1.0
MAT,2017-08-07 00:00:00+00:00,18.78,19.01,18.63,18.97,5879957,18.609993965,18.837911889,18.4613518407,18.7982739891,5879957,0.0,1.0
MAT,2017-08-08 00:00:00+00:00,18.41,18.79,18.32,18.73,8081125,18.2433433917,18.61990344,18.1541581171,18.5604465902,8081125,0.0,1.0
MAT,2017-08-09 00:00:00+00:00,18.0,18.38,17.95,18.25,6749710,17.8370549185,18.2136149668,17.7875075438,18.0847917924,6749710,0.0,1.0
MAT,2017-08-10 00:00:00+00:00,17.74,17.99,17.65,17.89,6340568,17.5794085697,17.8271454436,17.4902232951,17.728050694,6340568,0.0,1.0
MAT,2017-08-11 00:00:00+00:00,17.51,17.88,17.46,17.83,4979704,17.3514906457,17.7181412191,17.301943271,17.6685938443,4979704,0.0,1.0
MAT,2017-08-14 00:00:00+00:00,17.43,17.66,17.36,17.55,6823045,17.2722148461,17.5001327701,17.2028485214,17.3911285456,6823045,0.0,1.0
MAT,2017-08-15 00:00:00+00:00,17.49,17.53,17.21,17.4,5002036,17.3316716958,17.3713095957,17.0542063971,17.2424864212,5002036,0.0,1.0
MAT,2017-08-16 00:00:00+00:00,17.42,17.7,17.33,17.51,4887481,17.2623053712,17.5397706699,17.1731200966,17.3514906457,4887481,0.0,1.0
MAT,2017-08-17 00:00:00+00:00,17.17,17.42,17.15,17.42,4028845,17.0145684973,17.2623053712,16.9947495474,17.2623053712,4028845,0.0,1.0
MAT,2017-08-18 00:00:00+00:00,16.82,17.16,16.82,17.08,5039572,16.6677368739,17.0046590223,16.6677368739,16.9253832227,5039572,0.0,1.0
MAT,2017-08-21 00:00:00+00:00,16.42,16.74,16.22,16.63,5854634,16.42,16.74,16.22,16.63,5854634,0.15,1.0
MAT,2017-08-22 00:00:00+00:00,16.31,16.47,16.14,16.41,4588848,16.31,16.47,16.14,16.41,4588848,0.0,1.0
MAT,2017-08-23 00:00:00+00:00,16.04,16.29,16.03,16.23,4974658,16.04,16.29,16.03,16.23,4974658,0.0,1.0
MAT,2017-08-24 00:00:00+00:00,16.24,16.3,15.93,16.05,6501553,16.24,16.3,15.93,16.05,6501553,0.0,1.0
MAT,2017-08-25 00:00:00+00:00,16.47,16.54,16.18,16.31,4761007,16.47,16.54,16.18,16.31,4761007,0.0,1.0
MAT,2017-08-28 00:00:00+00:00,16.47,16.5,16.3,16.5,5358140,16.47,16.5,16.3,16.5,5358140,0.0,1.0
MAT,2017-08-29 00:00:00+00:00,16.11,16.38,16.08,16.37,4439049,16.11,16.38,16.08,16.37,4439049,0.0,1.0
MAT,2017-08-30 00:00:00+00:00,16.12,16.19,15.92,16.1,3122438,16.12,16.19,15.92,16.1,3122438,0.0,1.0
MAT,2017-08-31 00:00:00+00:00,16.22,16.34,16.07,16.13,5794288,16.22,16.34,16.07,16.13,5794288,0.0,1.0
MAT,2017-09-01 00:00:00+00:00,16.48,16.53,16.23,16.26,4028292,16.48,16.53,16.23,16.26,4028292,0.0,1.0
MAT,2017-09-05 00:00:00+00:00,16.21,16.45,16.13,16.42,5773292,16.21,16.45,16.13,16.42,5773292,0.0,1.0
MAT,2017-09-06 00:00:00+00:00,15.69,16.43,15.6,16.29,13706492,15.69,16.43,15.6,16.29,13706492,0.0,1.0
MAT,2017-09-07 00:00:00+00:00,15.56,15.87,15.3,15.8,7774822,15.56,15.87,15.3,15.8,7774822,0.0,1.0
MAT,2017-09-08 00:00:00+00:00,15.28,15.5,15.17,15.5,5758504,15.28,15.5,15.17,15.5,5758504,0.0,1.0
MAT,2017-09-11 00:00:00+00:00,15.58,15.68,15.38,15.42,4611553,15.58,15.68,15.38,15.42,4611553,0.0,1.0
MAT,2017-09-12 00:00:00+00:00,15.7,15.78,15.41,15.58,5069382,15.7,15.78,15.41,15.58,5069382,0.0,1.0
MAT,2017-09-13 00:00:00+00:00,16.1,16.12,15.64,15.7,3799352,16.1,16.12,15.64,15.7,3799352,0.0,1.0
MAT,2017-09-14 00:00:00+00:00,15.84,16.17,15.72,16.0,7020988,15.84,16.17,15.72,16.0,7020988,0.0,1.0
MAT,2017-09-15 00:00:00+00:00,15.86,16.09,15.8,15.93,10076711,15.86,16.09,15.8,15.93,10076711,0.0,1.0
MAT,2017-09-18 00:00:00+00:00,14.87,15.9,14.83,15.89,13380293,14.87,15.9,14.83,15.89,13380293,0.0,1.0
MAT,2017-09-19 00:00:00+00:00,15.05,15.46,14.83,14.87,16230459,15.05,15.46,14.83,14.87,16230459,0.0,1.0
MAT,2017-09-20 00:00:00+00:00,15.01,15.19,14.9,15.07,10375920,15.01,15.19,14.9,15.07,10375920,0.0,1.0
MAT,2017-09-21 00:00:00+00:00,15.0,15.03,14.78,14.89,9565292,15.0,15.03,14.78,14.89,9565292,0.0,1.0
MAT,2017-09-22 00:00:00+00:00,14.52,14.86,14.39,14.86,9355486,14.52,14.86,14.39,14.86,9355486,0.0,1.0
MAT,2017-09-25 00:00:00+00:00,14.71,14.76,14.35,14.45,11214349,14.71,14.76,14.35,14.45,11214349,0.0,1.0
MAT,2017-09-26 00:00:00+00:00,14.98,15.16,14.65,14.67,12902973,14.98,15.16,14.65,14.67,12902973,0.0,1.0
MAT,2017-09-27 00:00:00+00:00,15.01,15.12,14.89,15.08,7015000,15.01,15.12,14.89,15.08,7015000,0.0,1.0
MAT,2017-09-28 00:00:00+00:00,15.01,15.27,14.93,15.04,5603498,15.01,15.27,14.93,15.04,5603498,0.0,1.0
MAT,2017-09-29 00:00:00+00:00,15.48,15.5,14.99,15.0,8849295,15.48,15.5,14.99,15.0,8849295,0.0,1.0
MAT,2017-10-02 00:00:00+00:00,15.38,15.47,14.94,15.43,8025564,15.38,15.47,14.94,15.43,8025564,0.0,1.0
MAT,2017-10-03 00:00:00+00:00,15.68,15.71,15.33,15.46,11305226,15.68,15.71,15.33,15.46,11305226,0.0,1.0
MAT,2017-10-04 00:00:00+00:00,15.72,15.78,15.64,15.78,9158061,15.72,15.78,15.64,15.78,9158061,0.0,1.0
MAT,2017-10-05 00:00:00+00:00,15.56,15.77,15.46,15.75,7443752,15.56,15.77,15.46,15.75,7443752,0.0,1.0
MAT,2017-10-06 00:00:00+00:00,15.55,15.62,15.44,15.47,7225719,15.55,15.62,15.44,15.47,7225719,0.0,1.0
MAT,2017-10-09 00:00:00+00:00,15.6,15.74,15.47,15.6,4124410,15.6,15.74,15.47,15.6,4124410,0.0,1.0
MAT,2017-10-10 00:00:00+00:00,15.51,15.73,15.33,15.57,7982282,15.51,15.73,15.33,15.57,7982282,0.0,1.0
MAT,2017-10-11 00:00:00+00:00,15.66,15.68,15.41,15.45,4173972,15.66,15.68,15.41,15.45,4173972,0.0,1.0
MAT,2017-10-12 00:00:00+00:00,15.62,15.69,15.47,15.66,6553314,15.62,15.69,15.47,15.66,6553314,0.0,1.0
MAT,2017-10-13 00:00:00+00:00,15.74,15.83,15.64,15.67,7040586,15.74,15.83,15.64,15.67,7040586,0.0,1.0
MAT,2017-10-16 00:00:00+00:00,15.75,15.84,15.69,15.73,6419733,15.75,15.84,15.69,15.73,6419733,0.0,1.0
MAT,2017-10-17 00:00:00+00:00,15.59,15.77,15.5,15.74,15182266,15.59,15.77,15.5,15.74,15182266,0.0,1.0
MAT,2017-10-18 00:00:00+00:00,15.63,15.69,15.58,15.64,5050328,15.63,15.69,15.58,15.64,5050328,0.0,1.0
MAT,2017-10-19 00:00:00+00:00,15.81,15.83,15.55,15.61,5881352,15.81,15.83,15.55,15.61,5881352,0.0,1.0
MAT,2017-10-20 00:00:00+00:00,15.97,16.09,15.77,15.83,11699463,15.97,16.09,15.77,15.83,11699463,0.0,1.0
MAT,2017-10-23 00:00:00+00:00,15.46,15.56,15.07,15.4,30658500,15.46,15.56,15.07,15.4,30658500,0.0,1.0
MAT,2017-10-24 00:00:00+00:00,15.4,15.53,15.17,15.43,11209771,15.4,15.53,15.17,15.43,11209771,0.0,1.0
MAT,2017-10-25 00:00:00+00:00,15.45,15.47,15.21,15.43,15586019,15.45,15.47,15.21,15.43,15586019,0.0,1.0
MAT,2017-10-26 00:00:00+00:00,15.37,15.62,15.29,15.46,10851135,15.37,15.62,15.29,15.46,10851135,0.0,1.0
MAT,2017-10-27 00:00:00+00:00,14.0,14.05,12.71,12.9,66354946,14.0,14.05,12.71,12.9,66354946,0.0,1.0
MAT,2017-10-30 00:00:00+00:00,15.58,15.68,13.74,13.87,36830017,15.58,15.68,13.74,13.87,36830017,0.0,1.0
MAT,2017-10-31 00:00:00+00:00,14.12,15.54,14.02,15.51,25597700,14.12,15.54,14.02,15.51,25597700,0.0,1.0
MAT,2017-11-01 00:00:00+00:00,13.55,14.34,13.54,14.18,14110146,13.55,14.34,13.54,14.18,14110146,0.0,1.0
MAT,2017-11-02 00:00:00+00:00,13.04,13.6,12.99,13.6,16178759,13.04,13.6,12.99,13.6,16178759,0.0,1.0
MAT,2017-11-03 00:00:00+00:00,13.12,13.29,12.95,13.17,12913831,13.12,13.29,12.95,13.17,12913831,0.0,1.0
MAT,2017-11-06 00:00:00+00:00,13.06,13.81,13.02,13.21,18248363,13.06,13.81,13.02,13.21,18248363,0.0,1.0
MAT,2017-11-07 00:00:00+00:00,13.06,13.18,12.94,13.01,7751457,13.06,13.18,12.94,13.01,7751457,0.0,1.0
MAT,2017-11-08 00:00:00+00:00,13.3,13.42,12.93,13.06,6871153,13.3,13.42,12.93,13.06,6871153,0.0,1.0
MAT,2017-11-09 00:00:00+00:00,13.93,14.34,13.24,13.24,11368268,13.93,14.34,13.24,13.24,11368268,0.0,1.0
MAT,2017-11-10 00:00:00+00:00,14.62,14.69,13.63,13.91,9506327,14.62,14.69,13.63,13.91,9506327,0.0,1.0
MAT,2017-11-13 00:00:00+00:00,17.64,18.04,17.27,17.9,49586436,17.64,18.04,17.27,17.9,49586436,0.0,1.0
MAT,2017-11-14 00:00:00+00:00,18.54,18.82,17.51,17.56,27959064,18.54,18.82,17.51,17.56,27959064,0.0,1.0
MAT,2017-11-15 00:00:00+00:00,18.32,18.86,17.77,18.4,13337863,18.32,18.86,17.77,18.4,13337863,0.0,1.0
MAT,2017-11-16 00:00:00+00:00,18.22,18.54,18.0,18.02,13254519,18.22,18.54,18.0,18.02,13254519,0.0,1.0
MAT,2017-11-17 00:00:00+00:00,18.68,18.81,18.11,18.18,10141569,18.68,18.81,18.11,18.18,10141569,0.0,1.0
MAT,2017-11-20 00:00:00+00:00,18.73,19.21,18.43,18.56,6352726,18.73,19.21,18.43,18.56,6352726,0.0,1.0
MAT,2017-11-21 00:00:00+00:00,18.53,18.75,18.2,18.74,5713651,18.53,18.75,18.2,18.74,5713651,0.0,1.0
MAT,2017-11-22 00:00:00+00:00,18.81,19.0,18.48,18.5,7991401,18.81,19.0,18.48,18.5,7991401,0.0,1.0
MAT,2017-11-24 00:00:00+00:00,18.51,18.98,18.43,18.98,2573172,18.51,18.98,18.43,18.98,2573172,0.0,1.0
MAT,2017-11-27 00:00:00+00:00,18.23,18.63,18.12,18.5,6891899,18.23,18.63,18.12,18.5,6891899,0.0,1.0
MAT,2017-11-28 00:00:00+00:00,18.24,18.4,17.99,18.25,7109694,18.24,18.4,17.99,18.25,7109694,0.0,1.0
MAT,2017-11-29 00:00:00+00:00,18.24,18.4,18.06,18.2,6728542,18.24,18.4,18.06,18.2,6728542,0.0,1.0
MAT,2017-11-30 00:00:00+00:00,18.25,18.395,18.03,18.22,5318145,18.25,18.395,18.03,18.22,5318145,0.0,1.0
MAT,2017-12-01 00:00:00+00:00,17.26,18.42,17.23,18.29,9681503,17.26,18.42,17.23,18.29,9681503,0.0,1.0
MAT,2017-12-04 00:00:00+00:00,16.85,17.49,16.81,17.43,7757789,16.85,17.49,16.81,17.43,7757789,0.0,1.0
MAT,2017-12-05 00:00:00+00:00,15.95,16.81,15.64,16.79,9849695,15.95,16.81,15.64,16.79,9849695,0.0,1.0
MAT,2017-12-06 00:00:00+00:00,15.16,15.9,15.125,15.87,7885142,15.16,15.9,15.125,15.87,7885142,0.0,1.0
MAT,2017-12-07 00:00:00+00:00,15.39,15.49,15.075,15.18,5985138,15.39,15.49,15.075,15.18,5985138,0.0,1.0
MAT,2017-12-08 00:00:00+00:00,15.04,15.48,14.845,15.45,6846981,15.04,15.48,14.845,15.45,6846981,0.0,1.0
MAT,2017-12-11 00:00:00+00:00,15.37,15.64,14.88,14.93,8181599,15.37,15.64,14.88,14.93,8181599,0.0,1.0
MAT,2017-12-12 00:00:00+00:00,14.62,15.06,14.585,15.02,8714361,14.62,15.06,14.585,15.02,8714361,0.0,1.0
MAT,2017-12-13 00:00:00+00:00,15.59,15.62,14.56,14.63,7985220,15.59,15.62,14.56,14.63,7985220,0.0,1.0
MAT,2017-12-14 00:00:00+00:00,16.24,16.45,15.61,15.61,8063824,16.24,16.45,15.61,15.61,8063824,0.0,1.0
MAT,2017-12-15 00:00:00+00:00,15.48,16.74,15.33,16.18,16339819,15.48,16.74,15.33,16.18,16339819,0.0,1.0
MAT,2017-12-18 00:00:00+00:00,14.84,15.68,14.76,15.48,9993620,14.84,15.68,14.76,15.48,9993620,0.0,1.0
MAT,2017-12-19 00:00:00+00:00,15.1,15.16,14.54,14.9,6715398,15.1,15.16,14.54,14.9,6715398,0.0,1.0
MAT,2017-12-20 00:00:00+00:00,15.12,15.35,14.975,15.11,3765220,15.12,15.35,14.975,15.11,3765220,0.0,1.0
MAT,2017-12-21 00:00:00+00:00,15.71,15.9,15.04,15.05,5165165,15.71,15.9,15.04,15.05,5165165,0.0,1.0
MAT,2017-12-22 00:00:00+00:00,15.84,15.86,15.49,15.66,2995728,15.84,15.86,15.49,15.66,2995728,0.0,1.0
MAT,2017-12-26 00:00:00+00:00,15.72,16.03,15.61,15.84,2362386,15.72,16.03,15.61,15.84,2362386,0.0,1.0
MAT,2017-12-27 00:00:00+00:00,15.62,16.02,15.55,15.71,2559802,15.62,16.02,15.55,15.71,2559802,0.0,1.0
