symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MCHP,2017-05-30 00:00:00+00:00,82.51,82.86,81.7,81.82,2470392,38.2690726688,38.4314066336,37.8933854932,37.9490428525,4940784,0.0,1.0
MCHP,2017-05-31 00:00:00+00:00,83.3,84.0,82.48,83.09,2506390,38.6354836179,38.9601515475,38.255158329,38.538083239,5012780,0.0,1.0
MCHP,2017-06-01 00:00:00+00:00,83.43,83.98,83.22,83.62,2006373,38.6957790905,38.9508753209,38.5983787117,38.7839032428,4012746,0.0,1.0
MCHP,2017-06-02 00:00:00+00:00,84.34,84.63,82.89,83.74,2278809,39.117847399,39.2523526841,38.4453209734,38.8395606022,4557618,0.0,1.0
MCHP,2017-06-05 00:00:00+00:00,84.51,85.55,84.41,84.55,2502722,39.1966953247,39.6790591058,39.1503141919,39.2152477778,5005444,0.0,1.0
MCHP,2017-06-06 00:00:00+00:00,85.19,85.6,83.56,84.32,3215081,39.5120870277,39.7022496722,38.7560745632,39.1085711724,6430162,0.0,1.0
MCHP,2017-06-07 00:00:00+00:00,86.3,86.51,85.32,85.56,2734424,40.0269176017,40.1243179806,39.5723825004,39.6836972191,5468848,0.0,1.0
MCHP,2017-06-08 00:00:00+00:00,86.86,86.9,85.64,86.58,1711052,40.2866519454,40.3052043985,39.7208021253,40.1567847736,3422104,0.0,1.0
MCHP,2017-06-09 00:00:00+00:00,83.48,87.49,81.72,87.25,4278877,38.7189696569,40.578853082,37.9026617197,40.4675383633,8557754,0.0,1.0
MCHP,2017-06-12 00:00:00+00:00,83.08,83.1,80.3,81.83,4115048,38.5334451258,38.5427213523,37.2440496341,37.9536809658,8230096,0.0,1.0
MCHP,2017-06-13 00:00:00+00:00,83.53,84.5,82.05,83.63,3247771,38.7421602233,39.1920572114,38.055719458,38.7885413561,6495542,0.0,1.0
MCHP,2017-06-14 00:00:00+00:00,82.3,84.1,81.38,83.9,2240452,38.17167229,39.0065326803,37.7449658682,38.9137704147,4480904,0.0,1.0
MCHP,2017-06-15 00:00:00+00:00,81.57,81.84,80.71,81.06,2148340,37.8330900206,37.9583190791,37.4342122785,37.5965462433,4296680,0.0,1.0
MCHP,2017-06-16 00:00:00+00:00,81.23,82.179,80.77,81.81,3773281,37.6753941691,38.1155511193,37.4620409582,37.9444047393,7546562,0.0,1.0
MCHP,2017-06-19 00:00:00+00:00,82.61,83.04,81.81,81.96,2414615,38.3154538016,38.5148926726,37.9444047393,38.0139764385,4829230,0.0,1.0
MCHP,2017-06-20 00:00:00+00:00,80.35,82.84,80.27,82.71,2320244,37.2672402005,38.422130407,37.2301352942,38.3618349344,4640488,0.0,1.0
MCHP,2017-06-21 00:00:00+00:00,80.83,81.175,79.89,80.67,4789422,37.4898696379,37.649884546,37.0538869896,37.4156598254,9578844,0.0,1.0
MCHP,2017-06-22 00:00:00+00:00,80.07,81.105,80.02,80.78,2715887,37.1373730286,37.6174177531,37.1141824622,37.4666790715,5431774,0.0,1.0
MCHP,2017-06-23 00:00:00+00:00,81.59,81.71,79.8,80.22,2594524,37.8423662471,37.8980236065,37.0121439701,37.2069447278,5189048,0.0,1.0
MCHP,2017-06-26 00:00:00+00:00,80.3,82.71,80.22,81.6,1654926,37.2440496341,38.3618349344,37.2069447278,37.8470043604,3309852,0.0,1.0
MCHP,2017-06-27 00:00:00+00:00,78.71,80.42,78.66,80.05,2459176,36.5065896226,37.2997069934,36.4833990562,37.1280968021,4918352,0.0,1.0
MCHP,2017-06-28 00:00:00+00:00,79.83,79.98,77.55,79.05,3119358,37.0260583099,37.0956300091,35.9685684822,36.6642854741,6238716,0.0,1.0
MCHP,2017-06-29 00:00:00+00:00,77.38,79.3367,76.31,79.25,3194265,35.8897205565,36.7972601819,35.3934424356,36.7570477397,6388530,0.0,1.0
MCHP,2017-06-30 00:00:00+00:00,77.18,78.27,76.96,77.83,2390771,35.7969582909,36.3025126383,35.6949197987,36.098435654,4781542,0.0,1.0
MCHP,2017-07-03 00:00:00+00:00,75.81,77.99,75.8,77.73,1132364,35.1615367716,36.1726454665,35.1568986583,36.0520545212,2264728,0.0,1.0
MCHP,2017-07-05 00:00:00+00:00,77.94,78.11,76.02,76.02,3075072,36.1494549001,36.2283028259,35.2589371505,35.2589371505,6150144,0.0,1.0
MCHP,2017-07-06 00:00:00+00:00,77.12,78.18,76.5,77.1,1641823,35.7691296112,36.2607696188,35.4815665879,35.7598533846,3283646,0.0,1.0
MCHP,2017-07-07 00:00:00+00:00,78.36,79.01,77.21,77.48,1821636,36.3442556579,36.645733021,35.8108726307,35.9361016893,3643272,0.0,1.0
