symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MDLZ,2017-05-30 00:00:00+00:00,46.36,46.45,46.14,46.45,5550534,41.6235772237,41.7043822701,41.426053777,41.7043822701,5550534,0.0,1.0
MDLZ,2017-05-31 00:00:00+00:00,46.59,46.76,46.1905,46.35,5920548,41.8300790089,41.9827107631,41.4713943863,41.6145988852,5920548,0.0,1.0
MDLZ,2017-06-01 00:00:00+00:00,46.95,46.96,46.42,46.65,5634400,42.1532991944,42.1622775329,41.6774472546,41.8839490398,5634400,0.0,1.0
MDLZ,2017-06-02 00:00:00+00:00,47.19,47.23,46.7576,47.13,5767252,42.3687793181,42.404692672,41.9805559619,42.3149092871,5767252,0.0,1.0
MDLZ,2017-06-05 00:00:00+00:00,47.0,47.2,46.805,47.15,6234698,42.1981908868,42.3777576565,42.0231132863,42.3328659641,6234698,0.0,1.0
MDLZ,2017-06-06 00:00:00+00:00,46.81,47.1957,46.75,46.99,5228287,42.0276024556,42.373896971,41.9737324247,42.1892125483,5228287,0.0,1.0
MDLZ,2017-06-07 00:00:00+00:00,46.76,47.18,46.71,47.18,4824726,41.9827107631,42.3598009796,41.9378190707,42.3598009796,4824726,0.0,1.0
MDLZ,2017-06-08 00:00:00+00:00,46.39,46.775,46.34,46.74,9374683,41.6505122391,41.9961782709,41.6056205467,41.9647540862,9374683,0.0,1.0
MDLZ,2017-06-09 00:00:00+00:00,45.62,46.52,45.43,46.52,10722160,40.9591801757,41.7672306395,40.7885917444,41.7672306395,10722160,0.0,1.0
MDLZ,2017-06-12 00:00:00+00:00,45.37,45.91,45.051,45.4,12875094,40.7347217135,41.2195519918,40.4483127158,40.761656729,12875094,0.0,1.0
MDLZ,2017-06-13 00:00:00+00:00,45.64,45.81,45.1,45.29,7462992,40.9771368526,41.1297686069,40.4923065744,40.6628950056,7462992,0.0,1.0
MDLZ,2017-06-14 00:00:00+00:00,45.73,46.1,45.42,45.42,7065476,41.057941899,41.390140423,40.7796134059,40.7796134059,7065476,0.0,1.0
MDLZ,2017-06-15 00:00:00+00:00,45.88,45.92,45.28,45.61,6211260,41.1926169763,41.2285303303,40.6539166671,40.9502018372,6211260,0.0,1.0
MDLZ,2017-06-16 00:00:00+00:00,45.19,45.7,44.73,45.41,15248424,40.5731116208,41.0310068836,40.1601080504,40.7706350675,15248424,0.0,1.0
MDLZ,2017-06-19 00:00:00+00:00,45.48,45.5,44.96,45.365,4973138,40.8334834369,40.8514401138,40.3666098356,40.7302325443,4973138,0.0,1.0
MDLZ,2017-06-20 00:00:00+00:00,45.03,45.62,45.02,45.48,7010006,40.429458205,40.9591801757,40.4204798665,40.8334834369,7010006,0.0,1.0
MDLZ,2017-06-21 00:00:00+00:00,44.98,45.325,44.94,45.23,7036549,40.3845665125,40.6943191903,40.3486531586,40.6090249747,7036549,0.0,1.0
MDLZ,2017-06-22 00:00:00+00:00,44.85,45.21,44.76,44.98,4985962,40.2678481122,40.5910682977,40.1870430658,40.3845665125,4985962,0.0,1.0
MDLZ,2017-06-23 00:00:00+00:00,44.9,45.08,44.85,45.07,7187491,40.3127398046,40.4743498974,40.2678481122,40.4653715589,7187491,0.0,1.0
MDLZ,2017-06-26 00:00:00+00:00,44.9,45.325,44.89,45.1,5258196,40.3127398046,40.6943191903,40.3037614662,40.4923065744,5258196,0.0,1.0
MDLZ,2017-06-27 00:00:00+00:00,43.97,45.0,43.94,45.0,10778793,39.4777543254,40.4025231895,39.4508193099,40.4025231895,10778793,0.0,1.0
MDLZ,2017-06-28 00:00:00+00:00,44.04,44.47,43.99,44.06,8740782,39.711191126,40.098925281,39.6661057592,39.7292252728,8740782,0.19,1.0
MDLZ,2017-06-29 00:00:00+00:00,43.12,44.055,42.915,43.9,6170841,38.8816203759,39.7247167361,38.6967703718,39.5849520988,6170841,0.0,1.0
MDLZ,2017-06-30 00:00:00+00:00,43.19,43.64,43.16,43.59,5678148,38.9447398895,39.3505081912,38.9176886694,39.3054228243,5678148,0.0,1.0
MDLZ,2017-07-03 00:00:00+00:00,43.2,43.58,43.15,43.47,4244365,38.9537569629,39.296405751,38.908671596,39.1972179439,4244365,0.0,1.0
MDLZ,2017-07-05 00:00:00+00:00,43.12,43.42,43.0,43.15,6789519,38.8816203759,39.152132577,38.7734154955,38.908671596,6789519,0.0,1.0
MDLZ,2017-07-06 00:00:00+00:00,43.06,43.35,42.94,43.0,6945533,38.8275179357,39.0890130634,38.7193130552,38.7734154955,6945533,0.0,1.0
MDLZ,2017-07-07 00:00:00+00:00,43.22,43.37,42.89,42.99,8927100,38.9717911096,39.1070472102,38.6742276884,38.7643984221,8927100,0.0,1.0
MDLZ,2017-07-10 00:00:00+00:00,43.05,43.42,43.0,43.27,5012295,38.8185008623,39.152132577,38.7734154955,39.0168764765,5012295,0.0,1.0
MDLZ,2017-07-11 00:00:00+00:00,42.99,43.19,42.755,43.05,4765209,38.7643984221,38.9447398895,38.5524971979,38.8185008623,4765209,0.0,1.0
MDLZ,2017-07-12 00:00:00+00:00,43.24,43.47,43.185,43.31,5245543,38.9898252564,39.1972179439,38.9402313528,39.05294477,5245543,0.0,1.0
MDLZ,2017-07-13 00:00:00+00:00,43.29,43.405,43.02,43.18,4918634,39.0349106232,39.138606967,38.7914496422,38.9357228161,4918634,0.0,1.0
MDLZ,2017-07-14 00:00:00+00:00,43.62,43.69,43.31,43.52,6004610,39.3324740445,39.3955935581,39.05294477,39.2423033107,6004610,0.0,1.0
MDLZ,2017-07-17 00:00:00+00:00,43.69,43.76,43.49,43.65,4455317,39.3955935581,39.4587130717,39.2152520906,39.3595252646,4455317,0.0,1.0
MDLZ,2017-07-18 00:00:00+00:00,43.8,43.87,43.57,43.76,3721311,39.4947813651,39.5579008787,39.2873886776,39.4587130717,3721311,0.0,1.0
MDLZ,2017-07-19 00:00:00+00:00,44.14,44.18,43.5964,43.76,4753765,39.8013618598,39.8374301532,39.3111937513,39.4587130717,4753765,0.0,1.0
MDLZ,2017-07-20 00:00:00+00:00,43.81,44.29,43.76,44.16,6731213,39.5037984385,39.9366179603,39.4587130717,39.8193960065,6731213,0.0,1.0
MDLZ,2017-07-21 00:00:00+00:00,44.03,44.11,43.7238,43.78,7342453,39.7021740527,39.7743106396,39.426071266,39.4767472184,7342453,0.0,1.0
MDLZ,2017-07-24 00:00:00+00:00,43.75,44.23,43.67,43.95,5079774,39.4496959983,39.8825155201,39.3775594113,39.6300374657,5079774,0.0,1.0
MDLZ,2017-07-25 00:00:00+00:00,44.24,44.3767,43.95,44.25,7304260,39.8915325935,40.0147959864,39.6300374657,39.9005496668,7304260,0.0,1.0
MDLZ,2017-07-26 00:00:00+00:00,44.22,44.44,44.06,44.32,3913268,39.8734984467,40.0718740609,39.7292252728,39.9636691804,3913268,0.0,1.0
MDLZ,2017-07-27 00:00:00+00:00,44.24,44.26,43.75,44.04,7537592,39.8915325935,39.9095667402,39.4496959983,39.711191126,7537592,0.0,1.0
MDLZ,2017-07-28 00:00:00+00:00,43.93,44.38,43.86,44.37,6681141,39.612003319,40.0177716207,39.5488838054,40.0087545473,6681141,0.0,1.0
MDLZ,2017-07-31 00:00:00+00:00,44.02,44.1,43.625,43.99,6716423,39.6931569793,39.7652935663,39.3369825811,39.6661057592,6716423,0.0,1.0
MDLZ,2017-08-01 00:00:00+00:00,43.62,44.05,43.59,44.04,6641408,39.3324740445,39.7202081994,39.3054228243,39.711191126,6641408,0.0,1.0
MDLZ,2017-08-02 00:00:00+00:00,44.1,44.17,42.785,44.03,13418455,39.7652935663,39.8284130799,38.579548418,39.7021740527,13418455,0.0,1.0
MDLZ,2017-08-03 00:00:00+00:00,43.41,44.345,43.37,44.2,9988572,39.1431155037,39.9862118639,39.1070472102,39.8554643,9988572,0.0,1.0
MDLZ,2017-08-04 00:00:00+00:00,43.48,43.76,43.315,43.58,7910929,39.2062350173,39.4587130717,39.0574533066,39.296405751,7910929,0.0,1.0
MDLZ,2017-08-07 00:00:00+00:00,43.99,44.06,43.41,43.56,7408969,39.6661057592,39.7292252728,39.1431155037,39.2783716042,7408969,0.0,1.0
MDLZ,2017-08-08 00:00:00+00:00,43.64,43.96,43.53,43.77,5390404,39.3505081912,39.6390545391,39.2513203841,39.467730145,5390404,0.0,1.0
