symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MNST,2017-05-30 00:00:00+00:00,50.71,50.93,50.43,50.67,1232504,50.71,50.93,50.43,50.67,1232504,0.0,1.0
MNST,2017-05-31 00:00:00+00:00,50.56,51.11,50.47,50.84,1995189,50.56,51.11,50.47,50.84,1995189,0.0,1.0
MNST,2017-06-01 00:00:00+00:00,50.97,51.06,50.1,50.63,2430836,50.97,51.06,50.1,50.63,2430836,0.0,1.0
MNST,2017-06-02 00:00:00+00:00,51.27,51.28,50.32,50.85,2137870,51.27,51.28,50.32,50.85,2137870,0.0,1.0
MNST,2017-06-05 00:00:00+00:00,51.11,51.32,50.81,51.25,1227771,51.11,51.32,50.81,51.25,1227771,0.0,1.0
MNST,2017-06-06 00:00:00+00:00,50.75,51.24,50.57,50.94,1431987,50.75,51.24,50.57,50.94,1431987,0.0,1.0
MNST,2017-06-07 00:00:00+00:00,50.85,50.96,50.47,50.68,1408596,50.85,50.96,50.47,50.68,1408596,0.0,1.0
MNST,2017-06-08 00:00:00+00:00,50.48,50.55,49.8,50.34,1955310,50.48,50.55,49.8,50.34,1955310,0.0,1.0
MNST,2017-06-09 00:00:00+00:00,50.05,50.64,49.88,50.38,2233126,50.05,50.64,49.88,50.38,2233126,0.0,1.0
MNST,2017-06-12 00:00:00+00:00,50.64,50.67,50.0,50.01,2000784,50.64,50.67,50.0,50.01,2000784,0.0,1.0
MNST,2017-06-13 00:00:00+00:00,50.55,50.73,50.02,50.26,1700868,50.55,50.73,50.02,50.26,1700868,0.0,1.0
MNST,2017-06-14 00:00:00+00:00,50.75,51.2,50.33,50.86,1774437,50.75,51.2,50.33,50.86,1774437,0.0,1.0
MNST,2017-06-15 00:00:00+00:00,51.3,51.44,50.52,50.53,1532087,51.3,51.44,50.52,50.53,1532087,0.0,1.0
MNST,2017-06-16 00:00:00+00:00,50.31,51.86,50.12,50.88,3384938,50.31,51.86,50.12,50.88,3384938,0.0,1.0
MNST,2017-06-19 00:00:00+00:00,50.86,50.89,50.01,50.37,1545232,50.86,50.89,50.01,50.37,1545232,0.0,1.0
MNST,2017-06-20 00:00:00+00:00,50.83,51.16,50.62,50.92,2006030,50.83,51.16,50.62,50.92,2006030,0.0,1.0
