symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MU,2017-05-30 00:00:00+00:00,30.7,30.87,29.88,29.94,34020256,30.58154136,30.7508854001,29.7647054018,29.8244738866,34020256,0.0,1.0
MU,2017-05-31 00:00:00+00:00,30.77,31.1,30.32,31.01,26192375,30.6512712588,30.9799979249,30.2030076233,30.8903451978,26192375,0.0,1.0
MU,2017-06-01 00:00:00+00:00,30.76,30.83,30.28,30.75,20389255,30.6413098447,30.7110397436,30.1631619668,30.6313484306,20389255,0.0,1.0
MU,2017-06-02 00:00:00+00:00,31.21,31.38,30.53,30.8,20029974,31.0895734803,31.2589175204,30.4121973199,30.6811555012,20029974,0.0,1.0
MU,2017-06-05 00:00:00+00:00,31.21,31.755,31.07,31.3,23545359,31.0895734803,31.63247055,30.9501136825,31.1792262074,23545359,0.0,1.0
MU,2017-06-06 00:00:00+00:00,31.57,31.77,30.87,31.04,32006434,31.4481843887,31.6474126712,30.7508854001,30.9202294402,32006434,0.0,1.0
MU,2017-06-07 00:00:00+00:00,32.5,32.55,31.7,31.7,32193151,32.3745959022,32.4244029729,31.5776827723,31.5776827723,32193151,0.0,1.0
MU,2017-06-08 00:00:00+00:00,32.45,32.86,31.88,32.84,28703559,32.3247888316,32.7332068107,31.7569882266,32.7132839825,28703559,0.0,1.0
MU,2017-06-09 00:00:00+00:00,30.6,32.93,29.55,32.67,52712627,30.4819272187,32.8029367096,29.4359787357,32.5439399424,52712627,0.0,1.0
MU,2017-06-12 00:00:00+00:00,31.2,31.685,29.21,30.06,46316083,31.0796120662,31.5627406512,29.0972906555,29.944010856,46316083,0.0,1.0
MU,2017-06-13 00:00:00+00:00,31.54,32.24,30.77,31.75,33661822,31.4183001464,32.115599135,30.6512712588,31.627489843,33661822,0.0,1.0
MU,2017-06-14 00:00:00+00:00,31.06,31.79,30.85,31.78,28722662,30.9401522684,31.6673354995,30.7309625718,31.6573740853,28722662,0.0,1.0
MU,2017-06-15 00:00:00+00:00,30.56,30.97,30.08,30.47,33430631,30.4420815622,30.8504995413,29.9639336843,30.3524288351,33430631,0.0,1.0
MU,2017-06-16 00:00:00+00:00,29.86,31.0,29.82,30.63,42268281,29.7447825736,30.8803837837,29.7049369171,30.5118114611,42268281,0.0,1.0
MU,2017-06-19 00:00:00+00:00,31.2,31.25,30.33,30.51,24752772,31.0796120662,31.1294191368,30.2129690374,30.3922744916,24752772,0.0,1.0
MU,2017-06-20 00:00:00+00:00,30.83,31.575,30.73,31.4,24792807,30.7110397436,31.4531650958,30.6114256023,31.2788403486,24792807,0.0,1.0
MU,2017-06-21 00:00:00+00:00,32.01,32.15,31.06,31.18,30044019,31.8864866102,32.0259464079,30.9401522684,31.0596892379,30044019,0.0,1.0
MU,2017-06-22 00:00:00+00:00,31.89,32.4,31.76,32.04,22770888,31.7669496407,32.274981761,31.6374512571,31.9163708526,22770888,0.0,1.0
MU,2017-06-23 00:00:00+00:00,31.73,32.08,31.64,31.89,33060102,31.6075670147,31.956216509,31.5179142876,31.7669496407,33060102,0.0,1.0
MU,2017-06-26 00:00:00+00:00,32.5,32.96,31.95,32.45,34626499,32.3745959022,32.8328209519,31.8267181254,32.3247888316,34626499,0.0,1.0
MU,2017-06-27 00:00:00+00:00,31.66,32.665,31.61,32.51,33074814,31.5378371159,32.5389592353,31.4880300452,32.3845573164,33074814,0.0,1.0
MU,2017-06-28 00:00:00+00:00,32.24,32.28,31.44,32.07,27683250,32.115599135,32.1554447915,31.3186860051,31.9462550949,27683250,0.0,1.0
MU,2017-06-29 00:00:00+00:00,31.47,32.39,30.64,32.29,48796243,31.3485702475,32.2650203469,30.5217728752,32.1654062056,48796243,0.0,1.0
