symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MXIM,2017-05-30 00:00:00+00:00,47.7,47.89,47.31,47.42,1633529,43.0557990202,43.2273001065,42.7037704748,42.8030605774,1633529,0.33,1.0
MXIM,2017-05-31 00:00:00+00:00,47.8,48.18,47.6403,47.92,3232681,43.1460627498,43.4890649223,43.0019115737,43.2543792254,3232681,0.0,1.0
MXIM,2017-06-01 00:00:00+00:00,48.12,48.12,47.6,47.93,2255954,43.4349066846,43.4349066846,42.9655352906,43.2634055983,2255954,0.0,1.0
MXIM,2017-06-02 00:00:00+00:00,48.42,48.47,48.02,48.24,2263220,43.7056978734,43.7508297382,43.344642955,43.5432231601,2263220,0.0,1.0
MXIM,2017-06-05 00:00:00+00:00,48.51,48.74,48.25,48.32,1494043,43.78693523,43.9945418081,43.552249533,43.6154341438,1494043,0.0,1.0
MXIM,2017-06-06 00:00:00+00:00,48.55,49.075,48.11,48.29,2178735,43.8230407219,44.2969253023,43.4258803116,43.5883550249,2178735,0.0,1.0
MXIM,2017-06-07 00:00:00+00:00,49.02,49.23,48.7,48.78,1507198,44.247280251,44.4368340832,43.9584363163,44.0306472999,1507198,0.0,1.0
MXIM,2017-06-08 00:00:00+00:00,49.41,49.52,48.91,49.1,2873659,44.5993087964,44.698598899,44.1479901484,44.3194912347,2873659,0.0,1.0
MXIM,2017-06-09 00:00:00+00:00,47.08,49.7,46.42,49.5,2940800,42.4961638967,44.8610736123,41.9004232813,44.6805461531,2940800,0.0,1.0
MXIM,2017-06-12 00:00:00+00:00,46.72,46.935,45.64,46.53,3624628,42.1712144701,42.3652814888,41.1963661904,41.9997133839,3624628,0.0,1.0
MXIM,2017-06-13 00:00:00+00:00,47.14,47.3828,46.525,47.14,2341927,42.5503221345,42.7694824699,41.9952001974,42.5503221345,2341927,0.0,1.0
MXIM,2017-06-14 00:00:00+00:00,47.02,47.73,46.57,47.28,1846852,42.4420056589,43.0828781391,42.0358188757,42.6766913559,1846852,0.0,1.0
MXIM,2017-06-15 00:00:00+00:00,46.86,47.22,46.28,46.47,1588590,42.2975836916,42.6225331181,41.7740540599,41.9455551461,1588590,0.0,1.0
MXIM,2017-06-16 00:00:00+00:00,46.25,46.895,46.09,46.75,3377718,41.746974941,42.3291759969,41.6025529736,42.198293589,3377718,0.0,1.0
MXIM,2017-06-19 00:00:00+00:00,46.49,46.86,46.37,46.76,2643859,41.9636078921,42.2975836916,41.8552914165,42.207319962,2643859,0.0,1.0
MXIM,2017-06-20 00:00:00+00:00,45.64,46.5,45.32,46.38,3272863,41.1963661904,41.972634265,40.9075222557,41.8643177895,3272863,0.0,1.0
MXIM,2017-06-21 00:00:00+00:00,46.01,46.04,45.52,45.8,1710599,41.53034199,41.5574211088,41.0880497149,41.3407881578,1710599,0.0,1.0
MXIM,2017-06-22 00:00:00+00:00,45.75,46.154,45.48,46.04,1740130,41.295656293,41.6603217606,41.0519442231,41.5574211088,1740130,0.0,1.0
MXIM,2017-06-23 00:00:00+00:00,45.92,45.97,45.61,45.77,2099621,41.4491046333,41.4942364981,41.1692870716,41.3137090389,2099621,0.0,1.0
MXIM,2017-06-26 00:00:00+00:00,45.78,46.26,44.31,46.07,1438866,41.3227354119,41.756001314,39.9958585867,41.5845002277,1438866,0.0,1.0
MXIM,2017-06-27 00:00:00+00:00,44.73,45.64,44.68,45.64,1632095,40.3749662511,41.1963661904,40.3298343863,41.1963661904,1632095,0.0,1.0
MXIM,2017-06-28 00:00:00+00:00,45.05,45.19,44.62,45.02,2095522,40.6638101858,40.7901794072,40.2756761485,40.6367310669,2095522,0.0,1.0
MXIM,2017-06-29 00:00:00+00:00,44.44,45.03,44.09,44.97,2110319,40.1132014352,40.6457574399,39.7972783816,40.5915992021,2110319,0.0,1.0
MXIM,2017-06-30 00:00:00+00:00,44.9,45.11,44.35,44.89,2198946,40.5284145914,40.7179684235,40.0319640786,40.5193882184,2198946,0.0,1.0
MXIM,2017-07-03 00:00:00+00:00,44.19,45.23,44.18,45.14,975734,39.8875421112,40.8262848991,39.8785157382,40.7450475424,975734,0.0,1.0
MXIM,2017-07-05 00:00:00+00:00,44.97,45.13,44.46,44.46,2617174,40.5915992021,40.7360211695,40.1312541811,40.1312541811,2617174,0.0,1.0
MXIM,2017-07-06 00:00:00+00:00,44.94,45.31,44.455,44.65,1550330,40.5645200832,40.8984958827,40.1267409946,40.3027552674,1550330,0.0,1.0
MXIM,2017-07-07 00:00:00+00:00,45.74,45.97,44.98,45.09,1335083,41.28662992,41.4942364981,40.6006255751,40.6999156776,1335083,0.0,1.0
MXIM,2017-07-10 00:00:00+00:00,46.03,46.13,45.53,45.82,1586822,41.5483947359,41.6386584655,41.0970760879,41.3588409037,1586822,0.0,1.0
MXIM,2017-07-11 00:00:00+00:00,46.16,46.39,45.84,45.97,1819695,41.6657375844,41.8733441624,41.3768936496,41.4942364981,1819695,0.0,1.0
MXIM,2017-07-12 00:00:00+00:00,46.7,46.98,46.2368,46.52,2034993,42.1531617242,42.4059001671,41.7350601287,41.9906870109,2034993,0.0,1.0
MXIM,2017-07-13 00:00:00+00:00,46.67,47.02,46.56,46.82,1136883,42.1260826053,42.4420056589,42.0267925028,42.2614781997,1136883,0.0,1.0
MXIM,2017-07-14 00:00:00+00:00,47.1,47.12,46.79,46.98,1244620,42.5142166426,42.5322693885,42.2343990809,42.4059001671,1244620,0.0,1.0
MXIM,2017-07-17 00:00:00+00:00,46.94,47.39,46.94,47.09,1554162,42.3697946753,42.7759814585,42.3697946753,42.5051902697,1554162,0.0,1.0
