symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NCLH,2017-05-30 00:00:00+00:00,50.07,51.18,50.06,50.78,1574825,50.07,51.18,50.06,50.78,1574825,0.0,1.0
NCLH,2017-05-31 00:00:00+00:00,49.97,50.28,49.56,50.25,1345724,49.97,50.28,49.56,50.25,1345724,0.0,1.0
NCLH,2017-06-01 00:00:00+00:00,50.93,51.1,49.98,50.23,1713508,50.93,51.1,49.98,50.23,1713508,0.0,1.0
NCLH,2017-06-02 00:00:00+00:00,51.16,51.64,50.97,51.16,1166461,51.16,51.64,50.97,51.16,1166461,0.0,1.0
NCLH,2017-06-05 00:00:00+00:00,50.31,51.17,50.07,51.17,1580004,50.31,51.17,50.07,51.17,1580004,0.0,1.0
NCLH,2017-06-06 00:00:00+00:00,49.72,50.6,49.66,50.0,2199861,49.72,50.6,49.66,50.0,2199861,0.0,1.0
NCLH,2017-06-07 00:00:00+00:00,50.79,50.81,49.75,50.08,1934974,50.79,50.81,49.75,50.08,1934974,0.0,1.0
NCLH,2017-06-08 00:00:00+00:00,51.79,52.1,50.68,50.93,2046748,51.79,52.1,50.68,50.93,2046748,0.0,1.0
NCLH,2017-06-09 00:00:00+00:00,51.13,52.31,50.8,51.97,2214803,51.13,52.31,50.8,51.97,2214803,0.0,1.0
NCLH,2017-06-12 00:00:00+00:00,50.42,51.26,49.52,50.98,2050208,50.42,51.26,49.52,50.98,2050208,0.0,1.0
NCLH,2017-06-13 00:00:00+00:00,51.84,52.23,50.77,50.78,1457083,51.84,52.23,50.77,50.78,1457083,0.0,1.0
NCLH,2017-06-14 00:00:00+00:00,52.17,52.74,51.7,51.99,1432854,52.17,52.74,51.7,51.99,1432854,0.0,1.0
NCLH,2017-06-15 00:00:00+00:00,52.91,52.95,51.61,51.61,1146075,52.91,52.95,51.61,51.61,1146075,0.0,1.0
NCLH,2017-06-16 00:00:00+00:00,52.9,53.01,52.09,52.71,2348629,52.9,53.01,52.09,52.71,2348629,0.0,1.0
NCLH,2017-06-19 00:00:00+00:00,53.63,53.84,53.06,53.2,1036571,53.63,53.84,53.06,53.2,1036571,0.0,1.0
NCLH,2017-06-20 00:00:00+00:00,53.1,53.92,52.95,53.51,1059158,53.1,53.92,52.95,53.51,1059158,0.0,1.0
NCLH,2017-06-21 00:00:00+00:00,54.9,55.23,53.2,53.24,2426566,54.9,55.23,53.2,53.24,2426566,0.0,1.0
NCLH,2017-06-22 00:00:00+00:00,55.46,56.26,54.9,55.01,2613554,55.46,56.26,54.9,55.01,2613554,0.0,1.0
NCLH,2017-06-23 00:00:00+00:00,54.81,55.87,54.74,55.57,2188845,54.81,55.87,54.74,55.57,2188845,0.0,1.0
NCLH,2017-06-26 00:00:00+00:00,55.31,56.12,54.82,54.82,1225716,55.31,56.12,54.82,54.82,1225716,0.0,1.0
NCLH,2017-06-27 00:00:00+00:00,53.86,55.29,53.84,55.01,1517157,53.86,55.29,53.84,55.01,1517157,0.0,1.0
NCLH,2017-06-28 00:00:00+00:00,55.28,55.73,54.18,54.18,1012373,55.28,55.73,54.18,54.18,1012373,0.0,1.0
NCLH,2017-06-29 00:00:00+00:00,54.42,55.33,54.08,55.16,844905,54.42,55.33,54.08,55.16,844905,0.0,1.0
NCLH,2017-06-30 00:00:00+00:00,54.29,55.0,54.27,54.96,1025663,54.29,55.0,54.27,54.96,1025663,0.0,1.0
NCLH,2017-07-03 00:00:00+00:00,54.55,55.21,54.38,54.63,496186,54.55,55.21,54.38,54.63,496186,0.0,1.0
NCLH,2017-07-05 00:00:00+00:00,55.41,55.75,54.5,54.52,973694,55.41,55.75,54.5,54.52,973694,0.0,1.0
NCLH,2017-07-06 00:00:00+00:00,54.06,55.06,53.925,55.06,1550796,54.06,55.06,53.925,55.06,1550796,0.0,1.0
NCLH,2017-07-07 00:00:00+00:00,54.68,55.04,54.2,54.2,950235,54.68,55.04,54.2,54.2,950235,0.0,1.0
NCLH,2017-07-10 00:00:00+00:00,54.03,55.09,53.66,54.53,1253838,54.03,55.09,53.66,54.53,1253838,0.0,1.0
NCLH,2017-07-11 00:00:00+00:00,53.96,54.3,53.4,53.79,780957,53.96,54.3,53.4,53.79,780957,0.0,1.0
NCLH,2017-07-12 00:00:00+00:00,54.09,54.64,53.58,54.32,1174740,54.09,54.64,53.58,54.32,1174740,0.0,1.0
NCLH,2017-07-13 00:00:00+00:00,54.24,54.49,53.65,54.12,1061017,54.24,54.49,53.65,54.12,1061017,0.0,1.0
NCLH,2017-07-14 00:00:00+00:00,53.47,54.48,53.4,54.43,923880,53.47,54.48,53.4,54.43,923880,0.0,1.0
NCLH,2017-07-17 00:00:00+00:00,54.13,54.45,53.16,53.51,1062125,54.13,54.45,53.16,53.51,1062125,0.0,1.0
NCLH,2017-07-18 00:00:00+00:00,54.18,54.44,53.71,54.22,620018,54.18,54.44,53.71,54.22,620018,0.0,1.0
NCLH,2017-07-19 00:00:00+00:00,54.38,54.51,54.09,54.27,688376,54.38,54.51,54.09,54.27,688376,0.0,1.0
NCLH,2017-07-20 00:00:00+00:00,55.05,55.33,54.33,54.53,972645,55.05,55.33,54.33,54.53,972645,0.0,1.0
NCLH,2017-07-21 00:00:00+00:00,55.07,55.23,54.76,54.9,658226,55.07,55.23,54.76,54.9,658226,0.0,1.0
NCLH,2017-07-24 00:00:00+00:00,55.73,55.77,55.04,55.3,1082025,55.73,55.77,55.04,55.3,1082025,0.0,1.0
NCLH,2017-07-25 00:00:00+00:00,55.75,56.36,55.43,55.9,998410,55.75,56.36,55.43,55.9,998410,0.0,1.0
NCLH,2017-07-26 00:00:00+00:00,55.65,56.01,55.2,56.0,631774,55.65,56.01,55.2,56.0,631774,0.0,1.0
NCLH,2017-07-27 00:00:00+00:00,55.11,55.85,54.29,55.7,1201890,55.11,55.85,54.29,55.7,1201890,0.0,1.0
