symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NFLX,2017-05-30 00:00:00+00:00,163.22,164.75,162.71,163.6,4791959,163.22,164.75,162.71,163.6,4791959,0.0,1.0
NFLX,2017-05-31 00:00:00+00:00,163.07,164.0,160.74,163.61,5251201,163.07,164.0,160.74,163.61,5251201,0.0,1.0
NFLX,2017-06-01 00:00:00+00:00,162.99,163.93,161.7,163.52,3869808,162.99,163.93,161.7,163.52,3869808,0.0,1.0
NFLX,2017-06-02 00:00:00+00:00,165.18,165.36,162.8,163.42,4217679,165.18,165.36,162.8,163.42,4217679,0.0,1.0
NFLX,2017-06-05 00:00:00+00:00,165.06,165.5,163.43,165.49,3830296,165.06,165.5,163.43,165.49,3830296,0.0,1.0
NFLX,2017-06-06 00:00:00+00:00,165.17,166.82,164.51,164.95,4325459,165.17,166.82,164.51,164.95,4325459,0.0,1.0
NFLX,2017-06-07 00:00:00+00:00,165.61,166.4,164.41,165.6,3285592,165.61,166.4,164.41,165.6,3285592,0.0,1.0
NFLX,2017-06-08 00:00:00+00:00,165.88,166.87,164.84,166.12,3666393,165.88,166.87,164.84,166.12,3666393,0.0,1.0
NFLX,2017-06-09 00:00:00+00:00,158.03,166.27,154.5,166.27,10255110,158.03,166.27,154.5,166.27,10255110,0.0,1.0
NFLX,2017-06-12 00:00:00+00:00,151.44,155.53,148.31,155.3,14045559,151.44,155.53,148.31,155.3,14045559,0.0,1.0
NFLX,2017-06-13 00:00:00+00:00,152.72,155.68,150.13,154.38,8379437,152.72,155.68,150.13,154.38,8379437,0.0,1.0
NFLX,2017-06-14 00:00:00+00:00,152.2,155.62,150.28,154.34,6364572,152.2,155.62,150.28,154.34,6364572,0.0,1.0
NFLX,2017-06-15 00:00:00+00:00,151.76,152.56,147.3,149.44,6976720,151.76,152.56,147.3,149.44,6976720,0.0,1.0
NFLX,2017-06-16 00:00:00+00:00,152.38,153.53,150.39,151.45,6751799,152.38,153.53,150.39,151.45,6751799,0.0,1.0
NFLX,2017-06-19 00:00:00+00:00,153.4,155.58,152.41,154.29,6461866,153.4,155.58,152.41,154.29,6461866,0.0,1.0
NFLX,2017-06-20 00:00:00+00:00,152.05,154.5,151.4,153.68,4850911,152.05,154.5,151.4,153.68,4850911,0.0,1.0
NFLX,2017-06-21 00:00:00+00:00,155.03,155.38,152.26,152.5,5783436,155.03,155.38,152.26,152.5,5783436,0.0,1.0
NFLX,2017-06-22 00:00:00+00:00,154.89,155.2,153.7,155.13,3735995,154.89,155.2,153.7,155.13,3735995,0.0,1.0
