symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NTAP,2017-05-30 00:00:00+00:00,40.47,40.82,40.09,40.12,2918438,35.3997960679,35.7059470099,35.0674036165,35.0936451258,2918438,0.0,1.0
NTAP,2017-05-31 00:00:00+00:00,40.49,40.88,40.16,40.49,3157017,35.4172904074,35.7584300285,35.1286338049,35.4172904074,3157017,0.0,1.0
NTAP,2017-06-01 00:00:00+00:00,39.61,40.25,39.54,39.85,3933108,34.6475394675,35.2073583329,34.5863092791,34.857471542,3933108,0.0,1.0
NTAP,2017-06-02 00:00:00+00:00,39.41,39.75,39.24,39.51,3121583,34.472596072,34.7699998443,34.3238941859,34.5600677697,3121583,0.0,1.0
NTAP,2017-06-05 00:00:00+00:00,38.98,39.7,38.95,39.19,2387428,34.0964677718,34.7262639954,34.0702262625,34.280158337,2387428,0.0,1.0
NTAP,2017-06-06 00:00:00+00:00,38.7,39.23,38.67,38.7,2459220,33.8515470182,34.3151470161,33.8253055089,33.8515470182,2459220,0.0,1.0
NTAP,2017-06-07 00:00:00+00:00,39.27,39.57,38.71,38.86,2414656,34.3501356952,34.6125507884,33.860294188,33.9915017345,2414656,0.0,1.0
NTAP,2017-06-08 00:00:00+00:00,40.01,40.12,39.09,39.21,3552505,34.9974262583,35.0936451258,34.1926866393,34.2976526766,3552505,0.0,1.0
NTAP,2017-06-09 00:00:00+00:00,39.52,40.395,39.13,39.87,2961902,34.5688149395,35.3341922946,34.2276753184,34.8749658815,2961902,0.0,1.0
NTAP,2017-06-12 00:00:00+00:00,38.86,39.66,38.65,39.14,4222954,33.9915017345,34.6912753163,33.8078111693,34.2364224882,4222954,0.0,1.0
NTAP,2017-06-13 00:00:00+00:00,38.95,39.37,38.7,38.95,2827824,34.0702262625,34.4376073929,33.8515470182,34.0702262625,2827824,0.0,1.0
NTAP,2017-06-14 00:00:00+00:00,38.1,39.01,37.78,38.94,2849570,33.3267168319,34.1227092811,33.0468073992,34.0614790927,2849570,0.0,1.0
NTAP,2017-06-15 00:00:00+00:00,37.97,38.1,37.43,37.72,2208659,33.2130036248,33.3267168319,32.7406564571,32.9943243805,2208659,0.0,1.0
NTAP,2017-06-16 00:00:00+00:00,37.98,38.11,37.78,37.94,2238387,33.2217507946,33.3354640016,33.0468073992,33.1867621155,2238387,0.0,1.0
NTAP,2017-06-19 00:00:00+00:00,38.42,38.495,38.04,38.17,2487716,33.6066262646,33.6722300379,33.2742338132,33.3879470203,2487716,0.0,1.0
NTAP,2017-06-20 00:00:00+00:00,38.26,38.65,38.25,38.27,2206944,33.4666715482,33.8078111693,33.4579243784,33.475418718,2206944,0.0,1.0
NTAP,2017-06-21 00:00:00+00:00,38.61,38.86,38.3501,38.36,2462900,33.7728224902,33.9915017345,33.5454835479,33.5541432459,2462900,0.0,1.0
NTAP,2017-06-22 00:00:00+00:00,39.11,39.36,38.58,38.59,3042690,34.2101809789,34.4288602232,33.7465809809,33.7553281507,3042690,0.0,1.0
NTAP,2017-06-23 00:00:00+00:00,39.87,40.07,39.01,39.13,4505252,34.8749658815,35.049909277,34.1227092811,34.2276753184,4505252,0.0,1.0
NTAP,2017-06-26 00:00:00+00:00,40.29,40.515,39.87,39.87,3251780,35.242347012,35.4391583318,34.8749658815,34.8749658815,3251780,0.0,1.0
NTAP,2017-06-27 00:00:00+00:00,39.63,40.35,39.62,40.14,2705421,34.665033807,35.2948300306,34.6562866372,35.1111394654,2705421,0.0,1.0
NTAP,2017-06-28 00:00:00+00:00,40.41,40.59,39.6,39.8,2635603,35.3473130492,35.5047621051,34.6387922977,34.8137356931,2635603,0.0,1.0
NTAP,2017-06-29 00:00:00+00:00,40.1,40.38,39.55,40.28,3177050,35.0761507863,35.3210715399,34.5950564488,35.2335998422,3177050,0.0,1.0
NTAP,2017-06-30 00:00:00+00:00,40.05,40.38,39.73,40.18,3859273,35.0324149374,35.3210715399,34.7525055047,35.1461281445,3859273,0.0,1.0
NTAP,2017-07-03 00:00:00+00:00,39.57,40.5,39.53,40.44,1568751,34.6125507884,35.4260375772,34.5775621093,35.3735545585,1568751,0.0,1.0
NTAP,2017-07-05 00:00:00+00:00,39.66,40.25,39.475,39.55,2484571,34.8662187118,35.384904265,34.7035800214,34.7695146256,2484571,0.2,1.0
NTAP,2017-07-06 00:00:00+00:00,38.3,39.39,38.2,39.33,2510853,33.6706045552,34.6288541366,33.5826917496,34.5761064532,2510853,0.0,1.0
NTAP,2017-07-07 00:00:00+00:00,38.64,38.83,38.32,38.44,1883863,33.9695080944,34.1365424251,33.6881871164,33.7936824831,1883863,0.0,1.0
NTAP,2017-07-10 00:00:00+00:00,38.57,38.91,38.35,38.5,2273543,33.9079691304,34.2068726696,33.714560958,33.8464301665,2273543,0.0,1.0
NTAP,2017-07-11 00:00:00+00:00,39.07,39.11,38.51,38.55,2155200,34.3475331586,34.3826982808,33.855221447,33.8903865693,2155200,0.0,1.0
NTAP,2017-07-12 00:00:00+00:00,40.17,40.19,39.1701,39.45,2597317,35.3145740205,35.3321565816,34.435533877,34.6816018199,2597317,0.0,1.0
NTAP,2017-07-13 00:00:00+00:00,41.38,41.5,40.04,40.17,3940472,36.3783189686,36.4838143353,35.2002873731,35.3145740205,3940472,0.0,1.0
NTAP,2017-07-14 00:00:00+00:00,43.64,43.9,42.0,42.04,8405233,38.3651483757,38.5937216704,36.9233783634,36.9585434857,8405233,0.0,1.0
NTAP,2017-07-17 00:00:00+00:00,43.62,43.76,43.0,43.2,5253442,38.3475658146,38.4706437425,37.8025064197,37.978332031,5253442,0.0,1.0
NTAP,2017-07-18 00:00:00+00:00,43.77,43.88,43.18,43.25,3030714,38.479435023,38.5761391092,37.9607494698,38.0222884338,3030714,0.0,1.0
NTAP,2017-07-19 00:00:00+00:00,44.16,44.5299,43.83,43.88,3618018,38.822294965,39.147484433,38.5321827064,38.5761391092,3618018,0.0,1.0
NTAP,2017-07-20 00:00:00+00:00,44.6,44.69,44.09,44.18,3563323,39.2091113097,39.2882328348,38.760756001,38.8398775261,3563323,0.0,1.0
NTAP,2017-07-21 00:00:00+00:00,44.76,45.24,44.18,44.56,4496318,39.3497717988,39.7717532658,38.8398775261,39.1739461875,4496318,0.0,1.0
NTAP,2017-07-24 00:00:00+00:00,44.86,45.23,44.4,44.4,2877601,39.4376846044,39.7629619852,39.0332856985,39.0332856985,2877601,0.0,1.0
NTAP,2017-07-25 00:00:00+00:00,44.76,44.94,44.21,44.58,3495184,39.3497717988,39.5080148489,38.8662513678,39.1915287486,3495184,0.0,1.0
NTAP,2017-07-26 00:00:00+00:00,44.36,44.87,44.025,44.87,3272594,38.9981205762,39.4464758849,38.7036126774,39.4464758849,3272594,0.0,1.0
NTAP,2017-07-27 00:00:00+00:00,44.01,44.97,43.65,44.32,4149229,38.6904257565,39.5343886906,38.3739396563,38.962955454,4149229,0.0,1.0
