symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NTES,2017-04-28 00:00:00+00:00,265.39,266.8499,261.31,266.7,819561,49.3340099024,49.6053943595,48.5755685128,49.5775290741,4097805,0.0,1.0
NTES,2017-05-01 00:00:00+00:00,269.81,271.04,265.36,265.36,572391,50.1556547412,50.3843025131,49.3284331275,49.3284331275,2861955,0.0,1.0
NTES,2017-05-02 00:00:00+00:00,265.59,272.45,264.91,272.03,962594,49.3711884019,50.6464109345,49.2447815036,50.5683360856,4812970,0.0,1.0
NTES,2017-05-03 00:00:00+00:00,268.37,269.37,265.04,266.04,726401,49.8879695449,50.0738620423,49.2689475283,49.4548400258,3632005,0.0,1.0
NTES,2017-05-04 00:00:00+00:00,265.34,270.99,264.32,270.99,842412,49.3247152775,50.3750078882,49.1351049301,50.3750078882,4212060,0.0,1.0
NTES,2017-05-05 00:00:00+00:00,264.5,266.45,259.06,265.0,1059502,49.1685655797,49.5310559497,48.1573103935,49.2615118284,5297510,0.0,1.0
NTES,2017-05-08 00:00:00+00:00,268.95,269.78,262.0,263.5,909096,49.9957871934,50.1500779663,48.703834336,48.9826730822,4545480,0.0,1.0
NTES,2017-05-09 00:00:00+00:00,271.9,275.51,270.0,270.0,1369220,50.5441700609,51.2152419768,50.1909743157,50.1909743157,6846100,0.0,1.0
NTES,2017-05-10 00:00:00+00:00,279.05,281.87,274.32,275.27,2255614,51.8733014178,52.3975182606,50.9940299048,51.1706277774,11278070,0.0,1.0
NTES,2017-05-11 00:00:00+00:00,276.76,289.7,271.34,287.88,3548731,51.4476075986,53.8530565158,50.4400702623,53.5147321704,17743655,0.0,1.0
NTES,2017-05-12 00:00:00+00:00,271.29,279.47,270.31,277.25,1618254,50.4307756375,51.9513762667,50.2486009899,51.5386949224,8091270,0.0,1.0
NTES,2017-05-15 00:00:00+00:00,284.25,286.67,271.29,272.47,1732367,52.8399424046,53.2898022485,50.4307756375,50.6501287845,8661835,0.0,1.0
NTES,2017-05-16 00:00:00+00:00,289.7,295.33,284.0,284.99,1847552,53.8530565158,54.8996312765,52.7934692802,52.9775028527,9237760,0.0,1.0
NTES,2017-05-17 00:00:00+00:00,283.02,286.8,278.5,285.8,2329952,52.6112946327,53.3139682732,51.7710605442,53.1280757757,11649760,0.0,1.0
NTES,2017-05-18 00:00:00+00:00,282.74,289.13,276.2,280.97,1649270,52.5592447334,53.7470977922,51.3435078,52.2302150129,8246350,0.0,1.0
NTES,2017-05-19 00:00:00+00:00,286.75,290.965,283.5655,285.0,1335199,53.3046736483,54.0882105251,52.7126989901,52.9793617777,6675995,0.0,1.0
NTES,2017-05-22 00:00:00+00:00,293.68,296.88,287.92,289.61,1764303,54.5929086557,55.1877646476,53.5221678703,53.836326191,8821515,0.0,1.0
NTES,2017-05-23 00:00:00+00:00,292.28,301.82,291.03,296.69,1420401,54.3326591593,56.1060735851,54.1002935374,55.1524450731,7102005,0.0,1.0
NTES,2017-05-24 00:00:00+00:00,288.61,293.639,283.61,291.82,1399428,53.8507328596,54.789076422,52.917800306,54.449675559,6997140,1.0775,1.0
NTES,2017-05-25 00:00:00+00:00,293.4,296.6124,290.0,291.8,1482690,54.7444822459,55.343872753,54.1100881095,54.4459438288,7413450,0.0,1.0
NTES,2017-05-26 00:00:00+00:00,292.35,297.525,291.9201,293.46,718364,54.5485664097,55.5141516027,54.4683528687,54.7556774366,3591820,0.0,1.0
NTES,2017-05-30 00:00:00+00:00,288.46,294.25,286.0304,292.02,921608,53.822744883,54.9030807801,53.3694142965,54.4869928611,4608040,0.0,1.0
NTES,2017-05-31 00:00:00+00:00,284.78,289.6402,282.245,288.52,1208786,53.1361065235,54.0429542829,52.6631097188,53.8339400736,6043930,0.0,1.0
