symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NXPI,2017-05-30 00:00:00+00:00,108.14,108.21,107.91,107.91,2111928,103.2417567509,103.3085860738,103.0221746901,103.0221746901,2111928,0.0,1.0
NXPI,2017-05-31 00:00:00+00:00,109.9,109.9,108.98,109.05,12507064,104.9220368682,104.9220368682,104.0437086251,104.1105379479,12507064,0.0,1.0
NXPI,2017-06-01 00:00:00+00:00,109.32,109.71,109.0,109.645,7466143,104.3683081932,104.7406429919,104.0628027173,104.6785871921,7466143,0.0,1.0
NXPI,2017-06-02 00:00:00+00:00,109.15,109.35,108.86,109.2,3789013,104.2060084091,104.3969493316,103.9291440716,104.2537436397,3789013,0.0,1.0
NXPI,2017-06-05 00:00:00+00:00,109.22,109.32,109.0,109.0,2537372,104.272837732,104.3683081932,104.0628027173,104.0628027173,2537372,0.0,1.0
NXPI,2017-06-06 00:00:00+00:00,108.85,109.35,108.845,109.22,2724684,103.9195970255,104.3969493316,103.9148235024,104.272837732,2724684,0.0,1.0
NXPI,2017-06-07 00:00:00+00:00,109.21,109.32,108.81,108.85,2903193,104.2632906859,104.3683081932,103.881408841,103.9195970255,2903193,0.0,1.0
NXPI,2017-06-08 00:00:00+00:00,109.23,109.4,108.92,109.07,2064827,104.2823847781,104.4446845622,103.9864263484,104.1296320402,2064827,0.0,1.0
NXPI,2017-06-09 00:00:00+00:00,108.58,109.5,108.17,109.23,4308663,103.6618267802,104.5401550234,103.2703978893,104.2823847781,4308663,0.0,1.0
NXPI,2017-06-12 00:00:00+00:00,108.22,108.91,108.0,108.91,2889858,103.3181331199,103.9768793022,103.1080981052,103.9768793022,2889858,0.0,1.0
NXPI,2017-06-13 00:00:00+00:00,109.11,109.11,108.32,108.45,1959082,104.1678202247,104.1678202247,103.4136035811,103.5377151807,1959082,0.0,1.0
NXPI,2017-06-14 00:00:00+00:00,109.27,109.415,108.65,108.96,2478030,104.3205729626,104.4590051313,103.7286561031,104.0246145328,2478030,0.0,1.0
NXPI,2017-06-15 00:00:00+00:00,109.0,109.11,108.75,108.78,1315681,104.0628027173,104.1678202247,103.8241265643,103.8527677027,1315681,0.0,1.0
NXPI,2017-06-16 00:00:00+00:00,109.09,109.4,108.845,109.0,2075727,104.1487261324,104.4446845622,103.9148235024,104.0628027173,2075727,0.0,1.0
NXPI,2017-06-19 00:00:00+00:00,109.15,109.285,108.9,109.0,1809030,104.2060084091,104.3348935318,103.9673322561,104.0628027173,1809030,0.0,1.0
NXPI,2017-06-20 00:00:00+00:00,109.0,109.86,108.97,109.05,3010801,104.0628027173,104.8838486837,104.034161579,104.1105379479,3010801,0.0,1.0
NXPI,2017-06-21 00:00:00+00:00,109.17,109.215,108.88,109.02,2796616,104.2251025014,104.2680642089,103.9482381639,104.0818968096,2796616,0.0,1.0
