symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PAYX,2017-04-28 00:00:00+00:00,59.28,59.94,59.1101,59.94,1524000,50.9759503562,51.5434963622,50.8298502556,51.5434963622,1524000,0.0,1.0
PAYX,2017-05-01 00:00:00+00:00,59.16,59.4799,58.96,59.33,1103330,50.8727601733,51.1478480026,50.7007765351,51.0189462658,1103330,0.0,1.0
PAYX,2017-05-02 00:00:00+00:00,59.25,59.5,59.0,59.22,913212,50.9501528105,51.1651323582,50.7351732628,50.9243552648,913212,0.0,1.0
PAYX,2017-05-03 00:00:00+00:00,57.9,58.5187,57.4,58.5,2768740,49.7892632528,50.3212946375,49.3593041573,50.3052141673,2768740,0.0,1.0
PAYX,2017-05-04 00:00:00+00:00,58.68,58.73,57.79,57.91,1351119,50.4599994417,50.5029953512,49.6946722518,49.7978624347,1351119,0.0,1.0
PAYX,2017-05-05 00:00:00+00:00,58.87,58.89,58.48,58.89,1519755,50.623383898,50.6405822618,50.2880158035,50.6405822618,1519755,0.0,1.0
PAYX,2017-05-08 00:00:00+00:00,58.06,58.72,57.86,58.46,1978126,50.3224125311,50.8944551125,50.1490662944,50.6691050047,1978126,0.46,1.0
PAYX,2017-05-09 00:00:00+00:00,58.02,58.24,57.65,58.05,1590683,50.2877432838,50.4784241442,49.9670527458,50.3137452193,1590683,0.0,1.0
PAYX,2017-05-10 00:00:00+00:00,57.54,58.1,57.445,57.95,1870086,49.8717123156,50.3570817785,49.7893728531,50.2270721009,1870086,0.0,1.0
PAYX,2017-05-11 00:00:00+00:00,57.19,57.44,56.94,57.38,1916590,49.5683564012,49.7850391972,49.3516736053,49.7330353262,1916590,0.0,1.0
PAYX,2017-05-12 00:00:00+00:00,57.13,57.25,56.93,57.23,1656192,49.5163525302,49.6203602723,49.3430062935,49.6030256486,1656192,0.0,1.0
PAYX,2017-05-15 00:00:00+00:00,57.61,57.775,57.16,57.16,2296664,49.9323834984,50.0753941438,49.5423544657,49.5423544657,2296664,0.0,1.0
PAYX,2017-05-16 00:00:00+00:00,57.16,57.81,56.97,57.61,2029320,49.5423544657,50.1057297352,49.3776755408,49.9323834984,2029320,0.0,1.0
PAYX,2017-05-17 00:00:00+00:00,56.94,57.28,56.57,56.83,2675972,49.3516736053,49.6463622078,49.0309830673,49.2563331751,2675972,0.0,1.0
PAYX,2017-05-18 00:00:00+00:00,57.43,57.68,56.77,57.0,1841034,49.7763718854,49.9930546813,49.2043293041,49.4036774763,1841034,0.0,1.0
PAYX,2017-05-19 00:00:00+00:00,57.51,57.7,57.23,57.5,1933042,49.8457103801,50.010389305,49.6030256486,49.8370430682,1933042,0.0,1.0
PAYX,2017-05-22 00:00:00+00:00,57.82,58.04,57.61,57.74,1498897,50.114397047,50.3050779075,49.9323834984,50.0450585523,1498897,0.0,1.0
