symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PCLN,2017-04-28 00:00:00+00:00,1846.82,1858.61,1838.49,1851.49,463088,1846.82,1858.61,1838.49,1851.49,463088,0.0,1.0
PCLN,2017-05-01 00:00:00+00:00,1869.92,1890.83,1849.9,1849.9,478901,1869.92,1890.83,1849.9,1849.9,478901,0.0,1.0
PCLN,2017-05-02 00:00:00+00:00,1880.52,1882.97,1862.45,1874.38,256630,1880.52,1882.97,1862.45,1874.38,256630,0.0,1.0
PCLN,2017-05-03 00:00:00+00:00,1876.79,1884.99,1865.47,1884.65,299805,1876.79,1884.99,1865.47,1884.65,299805,0.0,1.0
PCLN,2017-05-04 00:00:00+00:00,1910.41,1917.9,1870.58,1880.0,673026,1910.41,1917.9,1870.58,1880.0,673026,0.0,1.0
PCLN,2017-05-05 00:00:00+00:00,1903.65,1922.26,1897.38,1918.0,578272,1903.65,1922.26,1897.38,1918.0,578272,0.0,1.0
PCLN,2017-05-08 00:00:00+00:00,1903.91,1927.13,1896.0,1907.0,582731,1903.91,1927.13,1896.0,1907.0,582731,0.0,1.0
PCLN,2017-05-09 00:00:00+00:00,1911.13,1915.97,1898.04,1911.44,667961,1911.13,1915.97,1898.04,1911.44,667961,0.0,1.0
PCLN,2017-05-10 00:00:00+00:00,1824.77,1853.78,1801.0,1853.78,1756157,1824.77,1853.78,1801.0,1853.78,1756157,0.0,1.0
PCLN,2017-05-11 00:00:00+00:00,1813.56,1824.76,1800.71,1819.75,773119,1813.56,1824.76,1800.71,1819.75,773119,0.0,1.0
PCLN,2017-05-12 00:00:00+00:00,1818.18,1827.57,1814.0,1824.33,636670,1818.18,1827.57,1814.0,1824.33,636670,0.0,1.0
PCLN,2017-05-15 00:00:00+00:00,1813.81,1827.27,1811.0,1817.97,501931,1813.81,1827.27,1811.0,1817.97,501931,0.0,1.0
PCLN,2017-05-16 00:00:00+00:00,1829.8,1835.22,1817.56,1819.83,436717,1829.8,1835.22,1817.56,1819.83,436717,0.0,1.0
PCLN,2017-05-17 00:00:00+00:00,1795.69,1820.46,1793.6,1818.44,620262,1795.69,1820.46,1793.6,1818.44,620262,0.0,1.0
PCLN,2017-05-18 00:00:00+00:00,1796.03,1814.17,1791.4,1795.0,501483,1796.03,1814.17,1791.4,1795.0,501483,0.0,1.0
PCLN,2017-05-19 00:00:00+00:00,1808.28,1822.22,1799.67,1800.0,451787,1808.28,1822.22,1799.67,1800.0,451787,0.0,1.0
PCLN,2017-05-22 00:00:00+00:00,1828.42,1832.46,1813.37,1815.9,366677,1828.42,1832.46,1813.37,1815.9,366677,0.0,1.0
PCLN,2017-05-23 00:00:00+00:00,1827.94,1832.98,1814.5,1825.44,345346,1827.94,1832.98,1814.5,1825.44,345346,0.0,1.0
PCLN,2017-05-24 00:00:00+00:00,1848.74,1850.0,1829.13,1829.13,407798,1848.74,1850.0,1829.13,1829.13,407798,0.0,1.0
PCLN,2017-05-25 00:00:00+00:00,1860.43,1870.39,1848.4,1850.0,531947,1860.43,1870.39,1848.4,1850.0,531947,0.0,1.0
PCLN,2017-05-26 00:00:00+00:00,1863.9,1869.48,1852.64,1861.55,417271,1863.9,1869.48,1852.64,1861.55,417271,0.0,1.0
PCLN,2017-05-30 00:00:00+00:00,1857.45,1863.65,1845.6,1857.67,475947,1857.45,1863.65,1845.6,1857.67,475947,0.0,1.0
PCLN,2017-05-31 00:00:00+00:00,1877.09,1877.09,1850.0,1862.38,553982,1877.09,1877.09,1850.0,1862.38,553982,0.0,1.0
PCLN,2017-06-01 00:00:00+00:00,1890.82,1894.77,1870.43,1878.25,429997,1890.82,1894.77,1870.43,1878.25,429997,0.0,1.0
PCLN,2017-06-02 00:00:00+00:00,1895.96,1902.0,1881.02,1899.04,460625,1895.96,1902.0,1881.02,1899.04,460625,0.0,1.0
PCLN,2017-06-05 00:00:00+00:00,1891.58,1900.25,1888.89,1889.71,323575,1891.58,1900.25,1888.89,1889.71,323575,0.0,1.0
PCLN,2017-06-06 00:00:00+00:00,1889.86,1908.92,1886.9,1888.94,458141,1889.86,1908.92,1886.9,1888.94,458141,0.0,1.0
PCLN,2017-06-07 00:00:00+00:00,1890.37,1894.84,1878.48,1890.2,371975,1890.37,1894.84,1878.48,1890.2,371975,0.0,1.0
PCLN,2017-06-08 00:00:00+00:00,1892.38,1899.13,1884.73,1894.0,335363,1892.38,1899.13,1884.73,1894.0,335363,0.0,1.0
PCLN,2017-06-09 00:00:00+00:00,1842.12,1895.31,1826.54,1890.0,661972,1842.12,1895.31,1826.54,1890.0,661972,0.0,1.0
PCLN,2017-06-12 00:00:00+00:00,1812.99,1839.47,1781.11,1835.0,1000696,1812.99,1839.47,1781.11,1835.0,1000696,0.0,1.0
PCLN,2017-06-13 00:00:00+00:00,1843.52,1854.77,1822.62,1825.73,501900,1843.52,1854.77,1822.62,1825.73,501900,0.0,1.0
PCLN,2017-06-14 00:00:00+00:00,1831.61,1855.56,1815.01,1845.0,518368,1831.61,1855.56,1815.01,1845.0,518368,0.0,1.0
PCLN,2017-06-15 00:00:00+00:00,1809.2,1819.59,1791.61,1814.0,624161,1809.2,1819.59,1791.61,1814.0,624161,0.0,1.0
PCLN,2017-06-16 00:00:00+00:00,1802.61,1816.08,1797.36,1816.08,520035,1802.61,1816.08,1797.36,1816.08,520035,0.0,1.0
PCLN,2017-06-19 00:00:00+00:00,1851.6,1855.9,1812.02,1815.78,560070,1851.6,1855.9,1812.02,1815.78,560070,0.0,1.0
PCLN,2017-06-20 00:00:00+00:00,1850.64,1858.82,1844.22,1850.0,372490,1850.64,1858.82,1844.22,1850.0,372490,0.0,1.0
PCLN,2017-06-21 00:00:00+00:00,1867.78,1870.0,1848.04,1854.59,296796,1867.78,1870.0,1848.04,1854.59,296796,0.0,1.0
PCLN,2017-06-22 00:00:00+00:00,1862.93,1874.89,1861.0,1870.8,273916,1862.93,1874.89,1861.0,1870.8,273916,0.0,1.0
