symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PYPL,2017-05-30 00:00:00+00:00,51.06,51.28,50.86,50.96,5284417,51.06,51.28,50.86,50.96,5284417,0.0,1.0
PYPL,2017-05-31 00:00:00+00:00,52.21,52.24,50.88,51.13,10505202,52.21,52.24,50.88,51.13,10505202,0.0,1.0
PYPL,2017-06-01 00:00:00+00:00,53.16,53.39,52.475,52.48,13878328,53.16,53.39,52.475,52.48,13878328,0.0,1.0
PYPL,2017-06-02 00:00:00+00:00,53.52,53.64,53.08,53.44,9019731,53.52,53.64,53.08,53.44,9019731,0.0,1.0
PYPL,2017-06-05 00:00:00+00:00,53.8,54.07,53.59,53.77,9119908,53.8,54.07,53.59,53.77,9119908,0.0,1.0
PYPL,2017-06-06 00:00:00+00:00,53.4,53.8,53.16,53.75,6212080,53.4,53.8,53.16,53.75,6212080,0.0,1.0
PYPL,2017-06-07 00:00:00+00:00,53.85,53.94,53.26,53.3,6282623,53.85,53.94,53.26,53.3,6282623,0.0,1.0
PYPL,2017-06-08 00:00:00+00:00,54.39,54.43,53.45,54.03,6251592,54.39,54.43,53.45,54.03,6251592,0.0,1.0
PYPL,2017-06-09 00:00:00+00:00,53.4,55.14,52.85,54.65,10524856,53.4,55.14,52.85,54.65,10524856,0.0,1.0
PYPL,2017-06-12 00:00:00+00:00,52.16,52.9,51.43,52.81,15724406,52.16,52.9,51.43,52.81,15724406,0.0,1.0
PYPL,2017-06-13 00:00:00+00:00,52.06,52.485,51.7,52.29,10119801,52.06,52.485,51.7,52.29,10119801,0.0,1.0
PYPL,2017-06-14 00:00:00+00:00,51.9,52.505,51.535,52.0,7114891,51.9,52.505,51.535,52.0,7114891,0.0,1.0
PYPL,2017-06-15 00:00:00+00:00,52.29,52.38,50.83,51.44,9945649,52.29,52.38,50.83,51.44,9945649,0.0,1.0
PYPL,2017-06-16 00:00:00+00:00,51.84,52.16,51.58,52.04,10792581,51.84,52.16,51.58,52.04,10792581,0.0,1.0
PYPL,2017-06-19 00:00:00+00:00,52.93,53.0,52.11,52.28,5276661,52.93,53.0,52.11,52.28,5276661,0.0,1.0
PYPL,2017-06-20 00:00:00+00:00,52.52,53.23,52.43,52.84,4522851,52.52,53.23,52.43,52.84,4522851,0.0,1.0
PYPL,2017-06-21 00:00:00+00:00,53.54,53.58,52.61,52.99,7992648,53.54,53.58,52.61,52.99,7992648,0.0,1.0
PYPL,2017-06-22 00:00:00+00:00,53.87,53.951,52.86,53.71,9631525,53.87,53.951,52.86,53.71,9631525,0.0,1.0
PYPL,2017-06-23 00:00:00+00:00,54.33,54.53,53.69,53.82,5954697,54.33,54.53,53.69,53.82,5954697,0.0,1.0
PYPL,2017-06-26 00:00:00+00:00,53.74,55.1,53.65,54.44,4728731,53.74,55.1,53.65,54.44,4728731,0.0,1.0
PYPL,2017-06-27 00:00:00+00:00,52.73,53.79,52.64,53.6,7680978,52.73,53.79,52.64,53.6,7680978,0.0,1.0
PYPL,2017-06-28 00:00:00+00:00,54.39,54.44,52.65,52.75,7894816,54.39,54.44,52.65,52.75,7894816,0.0,1.0
PYPL,2017-06-29 00:00:00+00:00,53.42,54.1,52.52,53.81,11162726,53.42,54.1,52.52,53.81,11162726,0.0,1.0
PYPL,2017-06-30 00:00:00+00:00,53.67,54.25,53.29,53.6,7611077,53.67,54.25,53.29,53.6,7611077,0.0,1.0
PYPL,2017-07-03 00:00:00+00:00,52.87,54.33,52.83,54.14,4831590,52.87,54.33,52.83,54.14,4831590,0.0,1.0
PYPL,2017-07-05 00:00:00+00:00,54.61,54.75,52.94,53.0,9638570,54.61,54.75,52.94,53.0,9638570,0.0,1.0
PYPL,2017-07-06 00:00:00+00:00,53.47,54.3506,53.15,54.22,7289275,53.47,54.3506,53.15,54.22,7289275,0.0,1.0
PYPL,2017-07-07 00:00:00+00:00,53.97,54.48,53.52,53.7,4805962,53.97,54.48,53.52,53.7,4805962,0.0,1.0
PYPL,2017-07-10 00:00:00+00:00,54.94,55.42,54.7,54.91,9916785,54.94,55.42,54.7,54.91,9916785,0.0,1.0
PYPL,2017-07-11 00:00:00+00:00,54.76,55.2,54.33,54.92,8865099,54.76,55.2,54.33,54.92,8865099,0.0,1.0
PYPL,2017-07-12 00:00:00+00:00,56.55,57.445,55.55,56.6,17345098,56.55,57.445,55.55,56.6,17345098,0.0,1.0
PYPL,2017-07-13 00:00:00+00:00,57.9,57.91,56.8,57.3,14687917,57.9,57.91,56.8,57.3,14687917,0.0,1.0
PYPL,2017-07-14 00:00:00+00:00,57.16,58.63,56.915,58.14,11651935,57.16,58.63,56.915,58.14,11651935,0.0,1.0
PYPL,2017-07-17 00:00:00+00:00,57.58,57.6,57.02,57.53,5604480,57.58,57.6,57.02,57.53,5604480,0.0,1.0
PYPL,2017-07-18 00:00:00+00:00,58.96,58.96,57.31,57.5,9436755,58.96,58.96,57.31,57.5,9436755,0.0,1.0
PYPL,2017-07-19 00:00:00+00:00,58.35,58.62,57.55,58.31,9624663,58.35,58.62,57.55,58.31,9624663,0.0,1.0
PYPL,2017-07-20 00:00:00+00:00,59.09,59.38,58.43,58.75,7990391,59.09,59.38,58.43,58.75,7990391,0.0,1.0
PYPL,2017-07-21 00:00:00+00:00,58.67,59.33,58.59,59.0,7486133,58.67,59.33,58.59,59.0,7486133,0.0,1.0
PYPL,2017-07-24 00:00:00+00:00,58.58,59.07,58.34,58.9,6373567,58.58,59.07,58.34,58.9,6373567,0.0,1.0
PYPL,2017-07-25 00:00:00+00:00,58.26,58.83,58.19,58.73,7859354,58.26,58.83,58.19,58.73,7859354,0.0,1.0
PYPL,2017-07-26 00:00:00+00:00,58.79,58.94,57.9,58.48,12794748,58.79,58.94,57.9,58.48,12794748,0.0,1.0
PYPL,2017-07-27 00:00:00+00:00,60.15,61.3,57.692,61.0,22678000,60.15,61.3,57.692,61.0,22678000,0.0,1.0
PYPL,2017-07-28 00:00:00+00:00,59.2,60.71,59.04,59.8,10684806,59.2,60.71,59.04,59.8,10684806,0.0,1.0
PYPL,2017-07-31 00:00:00+00:00,58.55,59.64,58.52,59.37,7307044,58.55,59.64,58.52,59.37,7307044,0.0,1.0
PYPL,2017-08-01 00:00:00+00:00,59.34,59.39,58.79,59.0,8950112,59.34,59.39,58.79,59.0,8950112,0.0,1.0
PYPL,2017-08-02 00:00:00+00:00,59.12,59.71,58.44,59.67,6486312,59.12,59.71,58.44,59.67,6486312,0.0,1.0
PYPL,2017-08-03 00:00:00+00:00,58.42,59.28,58.36,59.16,6104372,58.42,59.28,58.36,59.16,6104372,0.0,1.0
PYPL,2017-08-04 00:00:00+00:00,58.86,58.93,58.32,58.62,6118655,58.86,58.93,58.32,58.62,6118655,0.0,1.0
PYPL,2017-08-07 00:00:00+00:00,59.62,59.64,58.84,59.18,5875028,59.62,59.64,58.84,59.18,5875028,0.0,1.0
