symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
QCOM,2017-05-30 00:00:00+00:00,57.34,57.74,57.17,57.28,11436669,49.7962849569,50.143660506,49.6486503486,49.7441786245,11436669,0.0,1.0
QCOM,2017-05-31 00:00:00+00:00,57.27,57.73,57.0,57.26,13114683,49.7354942358,50.1349761172,49.5010157402,49.7268098471,13114683,0.0,1.0
QCOM,2017-06-01 00:00:00+00:00,58.62,58.65,57.35,57.45,11116224,50.9078867139,50.9339398801,49.8049693456,49.8918132329,11116224,0.0,1.0
QCOM,2017-06-02 00:00:00+00:00,58.58,58.96,58.35,58.89,9461824,50.873149159,51.2031559306,50.6734082183,51.1423652095,9461824,0.0,1.0
QCOM,2017-06-05 00:00:00+00:00,58.86,59.05,58.48,58.5,7655063,51.1163120433,51.2813154291,50.7863052717,50.8036740492,7655063,0.0,1.0
QCOM,2017-06-06 00:00:00+00:00,58.2,58.91,58.18,58.6,7808482,50.5431423874,51.1597339869,50.5257736099,50.8905179364,7808482,0.0,1.0
QCOM,2017-06-07 00:00:00+00:00,57.53,58.49,57.13,58.3,9967746,49.9612883427,50.7949896604,49.6139127936,50.6299862746,9967746,0.0,1.0
QCOM,2017-06-08 00:00:00+00:00,58.12,58.15,57.61,57.77,10134415,50.4736672776,50.4997204437,50.0307634525,50.1697136721,10134415,0.0,1.0
QCOM,2017-06-09 00:00:00+00:00,57.05,58.49,56.74,58.37,13572264,49.5444376838,50.7949896604,49.2752216333,50.6907769957,13572264,0.0,1.0
QCOM,2017-06-12 00:00:00+00:00,57.49,57.675,56.48,56.52,9871291,49.9265507878,50.0872119792,49.0494275264,49.0841650813,9871291,0.0,1.0
QCOM,2017-06-13 00:00:00+00:00,57.54,58.065,57.5,57.95,6971106,49.9699727314,50.4259031396,49.9352351765,50.3260326692,6971106,0.0,1.0
QCOM,2017-06-14 00:00:00+00:00,57.01,57.97,56.67,57.7,6702810,49.5097001289,50.3434014467,49.2144309122,50.108922951,6702810,0.0,1.0
QCOM,2017-06-15 00:00:00+00:00,56.93,57.17,56.4,56.42,5371464,49.4402250191,49.6486503486,48.9799524166,48.9973211941,5371464,0.0,1.0
QCOM,2017-06-16 00:00:00+00:00,56.82,57.01,56.35,56.98,13536039,49.3446967431,49.5097001289,48.936530473,49.4836469628,13536039,0.0,1.0
QCOM,2017-06-19 00:00:00+00:00,57.61,57.66,56.91,56.96,6909034,50.0307634525,50.0741853961,49.4228562417,49.4662781853,6909034,0.0,1.0
QCOM,2017-06-20 00:00:00+00:00,56.79,57.61,56.51,57.46,8087133,49.3186435769,50.0307634525,49.0754806926,49.9004976216,8087133,0.0,1.0
QCOM,2017-06-21 00:00:00+00:00,56.33,56.84,56.12,56.79,8189893,48.9191616955,49.3620655206,48.7367895323,49.3186435769,8189893,0.0,1.0
QCOM,2017-06-22 00:00:00+00:00,56.47,56.745,56.06,56.24,5512097,49.0407431377,49.2795638277,48.6846831999,48.841002197,5512097,0.0,1.0
QCOM,2017-06-23 00:00:00+00:00,56.91,57.4365,56.57,56.64,8660612,49.4228562417,49.8800893081,49.127587025,49.1883777461,8660612,0.0,1.0
QCOM,2017-06-26 00:00:00+00:00,56.56,57.6892,56.21,57.09,7255489,49.1189026362,50.0995438112,48.8149490308,49.5791752387,7255489,0.0,1.0
QCOM,2017-06-27 00:00:00+00:00,55.43,56.33,55.41,56.29,6734074,48.1375667102,48.9191616955,48.1201979327,48.8844241406,6734074,0.0,1.0
QCOM,2017-06-28 00:00:00+00:00,56.16,56.32,55.18,55.4,7231216,48.7715270872,48.9104773068,47.920456992,48.111513544,7231216,0.0,1.0
QCOM,2017-06-29 00:00:00+00:00,55.08,55.93,54.55,55.93,8333137,47.8336131047,48.5717861465,47.3733405022,48.5717861465,8333137,0.0,1.0
QCOM,2017-06-30 00:00:00+00:00,55.22,55.63,55.03,55.6,8596198,47.9551945469,48.3112544847,47.7901911611,48.2852013185,8596198,0.0,1.0
QCOM,2017-07-03 00:00:00+00:00,54.95,56.02,54.92,55.53,4379566,47.7207160513,48.649945645,47.6946628851,48.2244105974,4379566,0.0,1.0
QCOM,2017-07-05 00:00:00+00:00,55.45,55.56,54.78,55.01,6624023,48.1549354876,48.2504637636,47.573081443,47.7728223837,6624023,0.0,1.0
QCOM,2017-07-06 00:00:00+00:00,54.79,55.23,54.735,55.02,5557013,47.5817658317,47.9638789356,47.5340016937,47.7815067724,5557013,0.0,1.0
QCOM,2017-07-07 00:00:00+00:00,55.35,55.73,54.87,55.04,5156330,48.0680916004,48.398098372,47.6512409415,47.7988755498,5156330,0.0,1.0
QCOM,2017-07-10 00:00:00+00:00,55.64,55.885,55.19,55.37,4973557,48.3199388734,48.5327063972,47.9291413807,48.0854603778,4973557,0.0,1.0
QCOM,2017-07-11 00:00:00+00:00,55.33,55.63,55.02,55.63,6009448,48.0507228229,48.3112544847,47.7815067724,48.3112544847,6009448,0.0,1.0
QCOM,2017-07-12 00:00:00+00:00,56.2,56.31,55.72,55.79,6082481,48.8062646421,48.9017929181,48.3894139832,48.4502047043,6082481,0.0,1.0
QCOM,2017-07-13 00:00:00+00:00,56.23,56.52,56.17,56.38,5884064,48.8323178083,49.0841650813,48.7802114759,48.9625836392,5884064,0.0,1.0
QCOM,2017-07-14 00:00:00+00:00,56.81,56.93,56.15,56.5,4365609,49.3360123544,49.4402250191,48.7628426985,49.0667963039,4365609,0.0,1.0
QCOM,2017-07-17 00:00:00+00:00,56.46,56.92,56.39,56.73,5067322,49.032058749,49.4315406304,48.9712680279,49.2665372446,5067322,0.0,1.0
QCOM,2017-07-18 00:00:00+00:00,56.29,56.38,56.0,56.34,7329551,48.8844241406,48.9625836392,48.6325768676,48.9278460843,7329551,0.0,1.0
QCOM,2017-07-19 00:00:00+00:00,56.78,56.9399,56.01,56.46,7437353,49.3099591882,49.448822564,48.6412612563,49.032058749,7437353,0.0,1.0
QCOM,2017-07-20 00:00:00+00:00,53.97,55.43,53.46,55.11,35647961,46.8696459561,48.1375667102,46.4267421311,47.8596662709,35647961,0.0,1.0
QCOM,2017-07-21 00:00:00+00:00,53.84,54.0,53.37,53.66,11963407,46.7567489027,46.8956991223,46.3485826325,46.6004299056,11963407,0.0,1.0
QCOM,2017-07-24 00:00:00+00:00,53.22,53.88,53.09,53.75,8739769,46.2183168016,46.7914864576,46.1054197482,46.6785894041,8739769,0.0,1.0
QCOM,2017-07-25 00:00:00+00:00,53.27,53.65,53.07,53.2,7060158,46.2617387453,46.5917455169,46.0880509707,46.2009480242,7060158,0.0,1.0
QCOM,2017-07-26 00:00:00+00:00,53.14,53.35,52.74,53.29,7492633,46.1488416918,46.3312138551,45.8014661428,46.2791075227,7492633,0.0,1.0
QCOM,2017-07-27 00:00:00+00:00,52.49,53.37,52.23,53.08,13964311,45.5843564246,46.3485826325,45.3585623177,46.0967353595,13964311,0.0,1.0
QCOM,2017-07-28 00:00:00+00:00,52.88,52.9865,52.27,52.27,6534345,45.9230475849,46.0155363249,45.3932998726,45.3932998726,6534345,0.0,1.0
QCOM,2017-07-31 00:00:00+00:00,53.19,53.295,52.75,53.1,10641489,46.1922636355,46.2834497171,45.8101505315,46.1141041369,10641489,0.0,1.0
QCOM,2017-08-01 00:00:00+00:00,53.41,53.43,52.91,53.3,7480549,46.3833201874,46.4006889649,45.9491007511,46.2877919115,7480549,0.0,1.0
QCOM,2017-08-02 00:00:00+00:00,53.17,53.3885,52.78,53.295,19324507,46.174894858,46.3646487517,45.8362036977,46.2834497171,19324507,0.0,1.0
QCOM,2017-08-03 00:00:00+00:00,52.95,53.3399,52.75,53.16,8481098,45.983838306,46.3224426225,45.8101505315,46.1662104693,8481098,0.0,1.0
QCOM,2017-08-04 00:00:00+00:00,52.62,53.0,52.51,53.0,8645879,45.6972534781,46.0272602497,45.6017252021,46.0272602497,8645879,0.0,1.0
QCOM,2017-08-07 00:00:00+00:00,52.7,52.845,52.49,52.5,6561768,45.7667285879,45.8926522244,45.5843564246,45.5930408133,6561768,0.0,1.0
QCOM,2017-08-08 00:00:00+00:00,52.29,53.33,52.21,52.55,8779415,45.4106686501,46.3138450776,45.3411935403,45.636462757,8779415,0.0,1.0
QCOM,2017-08-09 00:00:00+00:00,52.77,52.8,52.0,52.05,7039352,45.827519309,45.8535724751,45.158821377,45.2022433207,7039352,0.0,1.0
QCOM,2017-08-10 00:00:00+00:00,52.34,52.75,52.11,52.54,9578948,45.4540905937,45.8101505315,45.254349653,45.6277783682,9578948,0.0,1.0
