symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
QVCA,2017-04-28 00:00:00+00:00,21.18,21.34,21.08,21.34,2632451,21.18,21.34,21.08,21.34,2632451,0.0,1.0
QVCA,2017-05-01 00:00:00+00:00,21.33,21.57,21.06,21.19,1621281,21.33,21.57,21.06,21.19,1621281,0.0,1.0
QVCA,2017-05-02 00:00:00+00:00,21.39,21.52,21.28,21.33,3589668,21.39,21.52,21.28,21.33,3589668,0.0,1.0
QVCA,2017-05-03 00:00:00+00:00,21.0,21.39,20.98,21.38,3414084,21.0,21.39,20.98,21.38,3414084,0.0,1.0
QVCA,2017-05-04 00:00:00+00:00,21.05,21.07,20.78,21.0,2984642,21.05,21.07,20.78,21.0,2984642,0.0,1.0
QVCA,2017-05-05 00:00:00+00:00,21.18,21.2,20.94,21.08,2845135,21.18,21.2,20.94,21.08,2845135,0.0,1.0
QVCA,2017-05-08 00:00:00+00:00,21.27,21.29,21.07,21.23,2542754,21.27,21.29,21.07,21.23,2542754,0.0,1.0
QVCA,2017-05-09 00:00:00+00:00,23.7,23.72,21.73,21.76,7331052,23.7,23.72,21.73,21.76,7331052,0.0,1.0
QVCA,2017-05-10 00:00:00+00:00,24.03,24.08,23.71,23.94,3507648,24.03,24.08,23.71,23.94,3507648,0.0,1.0
QVCA,2017-05-11 00:00:00+00:00,23.69,24.02,23.58,23.98,1907393,23.69,24.02,23.58,23.98,1907393,0.0,1.0
QVCA,2017-05-12 00:00:00+00:00,23.67,23.78,23.33,23.63,1865243,23.67,23.78,23.33,23.63,1865243,0.0,1.0
QVCA,2017-05-15 00:00:00+00:00,23.55,23.84,23.53,23.63,2710560,23.55,23.84,23.53,23.63,2710560,0.0,1.0
QVCA,2017-05-16 00:00:00+00:00,23.55,23.78,23.42,23.69,2498662,23.55,23.78,23.42,23.69,2498662,0.0,1.0
QVCA,2017-05-17 00:00:00+00:00,23.29,23.67,23.23,23.42,2319950,23.29,23.67,23.23,23.42,2319950,0.0,1.0
QVCA,2017-05-18 00:00:00+00:00,23.39,23.64,23.23,23.35,1836080,23.39,23.64,23.23,23.35,1836080,0.0,1.0
QVCA,2017-05-19 00:00:00+00:00,23.74,23.88,23.29,23.33,1504570,23.74,23.88,23.29,23.33,1504570,0.0,1.0
