symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
REGN,2017-05-30 00:00:00+00:00,448.67,458.48,448.08,455.13,856096,448.67,458.48,448.08,455.13,856096,0.0,1.0
REGN,2017-05-31 00:00:00+00:00,459.06,459.3,448.09,450.32,1299243,459.06,459.3,448.09,450.32,1299243,0.0,1.0
REGN,2017-06-01 00:00:00+00:00,466.02,470.43,459.53,460.0,1198042,466.02,470.43,459.53,460.0,1198042,0.0,1.0
REGN,2017-06-02 00:00:00+00:00,480.43,484.99,465.33,466.7,1717094,480.43,484.99,465.33,466.7,1717094,0.0,1.0
REGN,2017-06-05 00:00:00+00:00,480.26,489.0,476.97,483.5,893658,480.26,489.0,476.97,483.5,893658,0.0,1.0
REGN,2017-06-06 00:00:00+00:00,477.73,482.3,473.44,479.3,728876,477.73,482.3,473.44,479.3,728876,0.0,1.0
REGN,2017-06-07 00:00:00+00:00,482.0,483.06,476.09,479.0,836421,482.0,483.06,476.09,479.0,836421,0.0,1.0
REGN,2017-06-08 00:00:00+00:00,485.9,486.81,478.16,481.56,586886,485.9,486.81,478.16,481.56,586886,0.0,1.0
REGN,2017-06-09 00:00:00+00:00,475.79,487.52,473.26,482.55,1025434,475.79,487.52,473.26,482.55,1025434,0.0,1.0
REGN,2017-06-12 00:00:00+00:00,476.23,477.5,466.91,475.22,882736,476.23,477.5,466.91,475.22,882736,0.0,1.0
REGN,2017-06-13 00:00:00+00:00,473.67,476.5,471.63,474.38,500832,473.67,476.5,471.63,474.38,500832,0.0,1.0
REGN,2017-06-14 00:00:00+00:00,476.84,481.86,469.27,475.35,660309,476.84,481.86,469.27,475.35,660309,0.0,1.0
REGN,2017-06-15 00:00:00+00:00,469.5,475.8,461.58,474.37,792544,469.5,475.8,461.58,474.37,792544,0.0,1.0
REGN,2017-06-16 00:00:00+00:00,459.91,470.28,453.54,468.19,1646580,459.91,470.28,453.54,468.19,1646580,0.0,1.0
REGN,2017-06-19 00:00:00+00:00,471.67,474.73,456.57,462.96,800879,471.67,474.73,456.57,462.96,800879,0.0,1.0
REGN,2017-06-20 00:00:00+00:00,495.33,504.89,474.62,477.92,2130264,495.33,504.89,474.62,477.92,2130264,0.0,1.0
REGN,2017-06-21 00:00:00+00:00,522.02,525.0,495.04,496.51,1732438,522.02,525.0,495.04,496.51,1732438,0.0,1.0
REGN,2017-06-22 00:00:00+00:00,526.53,543.55,521.5,525.0,1840057,526.53,543.55,521.5,525.0,1840057,0.0,1.0
REGN,2017-06-23 00:00:00+00:00,517.33,519.65,500.25,511.79,1854069,517.33,519.65,500.25,511.79,1854069,0.0,1.0
REGN,2017-06-26 00:00:00+00:00,515.91,521.51,506.7,513.0,1171494,515.91,521.51,506.7,513.0,1171494,0.0,1.0
REGN,2017-06-27 00:00:00+00:00,502.12,529.99,500.74,517.55,1444445,502.12,529.99,500.74,517.55,1444445,0.0,1.0
REGN,2017-06-28 00:00:00+00:00,513.19,518.0,500.75,506.51,929288,513.19,518.0,500.75,506.51,929288,0.0,1.0
REGN,2017-06-29 00:00:00+00:00,509.93,512.64,499.08,510.44,915876,509.93,512.64,499.08,510.44,915876,0.0,1.0
REGN,2017-06-30 00:00:00+00:00,491.14,508.0,490.89,507.46,1258853,491.14,508.0,490.89,507.46,1258853,0.0,1.0
REGN,2017-07-03 00:00:00+00:00,487.73,498.55,484.28,494.2,603507,487.73,498.55,484.28,494.2,603507,0.0,1.0
REGN,2017-07-05 00:00:00+00:00,497.0,499.36,489.56,490.08,804728,497.0,499.36,489.56,490.08,804728,0.0,1.0
REGN,2017-07-06 00:00:00+00:00,490.19,496.35,482.51,491.76,888275,490.19,496.35,482.51,491.76,888275,0.0,1.0
REGN,2017-07-07 00:00:00+00:00,496.5,506.39,493.44,497.51,719403,496.5,506.39,493.44,497.51,719403,0.0,1.0
REGN,2017-07-10 00:00:00+00:00,499.91,500.74,489.33,497.61,886645,499.91,500.74,489.33,497.61,886645,0.0,1.0
REGN,2017-07-11 00:00:00+00:00,492.0,502.0,489.2,498.52,823733,492.0,502.0,489.2,498.52,823733,0.0,1.0
REGN,2017-07-12 00:00:00+00:00,496.99,499.32,489.09,496.2,567678,496.99,499.32,489.09,496.2,567678,0.0,1.0
REGN,2017-07-13 00:00:00+00:00,505.05,509.955,492.18,496.02,789171,505.05,509.955,492.18,496.02,789171,0.0,1.0
REGN,2017-07-14 00:00:00+00:00,504.9,509.58,498.65,507.4,607160,504.9,509.58,498.65,507.4,607160,0.0,1.0
REGN,2017-07-17 00:00:00+00:00,498.11,509.88,496.76,508.28,618831,498.11,509.88,496.76,508.28,618831,0.0,1.0
REGN,2017-07-18 00:00:00+00:00,497.63,499.98,494.37,497.64,447842,497.63,499.98,494.37,497.64,447842,0.0,1.0
REGN,2017-07-19 00:00:00+00:00,506.79,509.14,501.1,504.99,844464,506.79,509.14,501.1,504.99,844464,0.0,1.0
REGN,2017-07-20 00:00:00+00:00,521.13,524.89,509.92,510.47,761887,521.13,524.89,509.92,510.47,761887,0.0,1.0
REGN,2017-07-21 00:00:00+00:00,515.92,522.0,513.4,518.46,613952,515.92,522.0,513.4,518.46,613952,0.0,1.0
REGN,2017-07-24 00:00:00+00:00,521.22,521.77,510.7,516.94,442231,521.22,521.77,510.7,516.94,442231,0.0,1.0
REGN,2017-07-25 00:00:00+00:00,513.45,526.12,510.74,523.97,592193,513.45,526.12,510.74,523.97,592193,0.0,1.0
REGN,2017-07-26 00:00:00+00:00,515.63,518.57,510.0,513.77,365126,515.63,518.57,510.0,513.77,365126,0.0,1.0
REGN,2017-07-27 00:00:00+00:00,508.41,517.44,503.98,515.77,947102,508.41,517.44,503.98,515.77,947102,0.0,1.0
