symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SBAC,2017-04-28 00:00:00+00:00,126.49,127.05,124.27,125.04,861881,124.0907340058,124.6401119095,121.9128430303,122.6682376479,861881,0.0,1.0
SBAC,2017-05-01 00:00:00+00:00,127.25,127.84,126.0601,126.74,1271989,124.8363183037,125.4151271666,123.6689883615,124.3359919985,1271989,0.0,1.0
SBAC,2017-05-02 00:00:00+00:00,128.98,130.78,127.6101,129.01,1421388,126.5335036135,128.2993611612,125.1895879164,126.5629345726,1421388,0.0,1.0
SBAC,2017-05-03 00:00:00+00:00,127.84,129.59,127.56,129.28,1018915,125.4151271666,127.1319331157,125.1404382147,126.8278132047,1018915,0.0,1.0
SBAC,2017-05-04 00:00:00+00:00,128.19,129.0,126.78,127.99,897548,125.7584883564,126.5531242529,124.3752332774,125.5622819622,897548,0.0,1.0
SBAC,2017-05-05 00:00:00+00:00,129.62,129.7,128.28,128.53,1028689,127.1613640749,127.2398466325,125.8467812338,126.0920392265,1028689,0.0,1.0
SBAC,2017-05-08 00:00:00+00:00,131.42,132.01,129.22,129.97,1195359,128.9272216226,129.5060304854,126.7689512865,127.5047252647,1195359,0.0,1.0
SBAC,2017-05-09 00:00:00+00:00,129.75,131.59,129.47,131.18,1012075,127.2888982311,129.0939970576,127.0142092792,128.6917739496,1012075,0.0,1.0
SBAC,2017-05-10 00:00:00+00:00,129.19,130.2,128.96,129.8,781871,126.7395203274,127.730362618,126.513882974,127.3379498296,781871,0.0,1.0
SBAC,2017-05-11 00:00:00+00:00,127.72,129.19,127.2,128.63,1453776,125.2974033301,126.7395203274,124.7872667052,126.1901424236,1453776,0.0,1.0
SBAC,2017-05-12 00:00:00+00:00,127.53,128.23,126.82,127.53,1174674,125.1110072556,125.7977296352,124.4144745562,125.1110072556,1174674,0.0,1.0
SBAC,2017-05-15 00:00:00+00:00,130.41,130.81,127.31,128.03,1314559,127.9363793319,128.3287921203,124.895180222,125.6015232411,1314559,0.0,1.0
SBAC,2017-05-16 00:00:00+00:00,130.77,132.62,130.265,130.72,985306,128.2895508415,130.1044599877,127.7941296961,128.2404992429,985306,0.0,1.0
SBAC,2017-05-17 00:00:00+00:00,134.08,136.344,130.04,130.04,2591446,131.5367666653,133.7578230476,127.5733975027,127.5733975027,2591446,0.0,1.0
SBAC,2017-05-18 00:00:00+00:00,132.0,133.19,126.83,133.1,2052410,129.4962201657,130.6636482112,124.4242848759,130.5753553338,2052410,0.0,1.0
SBAC,2017-05-19 00:00:00+00:00,132.8,133.43,130.85,131.79,854670,130.2810457425,130.8990958842,128.3680333991,129.2902034518,854670,0.0,1.0
SBAC,2017-05-22 00:00:00+00:00,133.83,134.42,131.82,132.55,592222,131.2915086726,131.8703175354,129.319634411,130.0357877498,592222,0.0,1.0
SBAC,2017-05-23 00:00:00+00:00,134.31,134.69,133.745,134.3,579696,131.7624040186,132.1351961676,131.208120955,131.7525936989,579696,0.0,1.0
