symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SBUX,2017-05-30 00:00:00+00:00,63.26,63.41,63.01,63.07,7044647,57.2218587375,57.3575412986,56.9957211358,57.0499941602,7044647,0.0,1.0
SBUX,2017-05-31 00:00:00+00:00,63.61,63.61,63.08,63.27,6846764,57.5384513799,57.5384513799,57.0590396643,57.2309042416,6846764,0.0,1.0
SBUX,2017-06-01 00:00:00+00:00,63.75,63.82,63.35,63.51,5982167,57.6650884369,57.7284069654,57.3032682741,57.4479963392,5982167,0.0,1.0
SBUX,2017-06-02 00:00:00+00:00,64.57,64.68,63.7,63.88,7807382,58.4068197705,58.5063203153,57.6198609165,57.7826799898,7807382,0.0,1.0
SBUX,2017-06-05 00:00:00+00:00,64.27,64.87,64.18,64.85,6704398,58.1354546484,58.6781848926,58.0540451118,58.6600938844,6704398,0.0,1.0
SBUX,2017-06-06 00:00:00+00:00,64.16,64.35,64.05,64.22,5391829,58.0359541037,58.207818681,57.9364535589,58.0902271281,5391829,0.0,1.0
SBUX,2017-06-07 00:00:00+00:00,63.5,64.295,63.34,64.13,8279632,57.4389508352,58.1580684086,57.2942227701,58.0088175915,8279632,0.0,1.0
SBUX,2017-06-08 00:00:00+00:00,62.24,63.58,62.02,63.44,11142502,56.2992173225,57.5113148677,56.100216233,57.3846778108,11142502,0.0,1.0
SBUX,2017-06-09 00:00:00+00:00,62.19,62.48,61.8745,62.37,11168298,56.2539898022,56.5163094202,55.9686041488,56.4168088754,11168298,0.0,1.0
SBUX,2017-06-12 00:00:00+00:00,61.29,61.99,60.63,61.8,10992631,55.439894436,56.0730797208,54.8428911675,55.9012151435,10992631,0.0,1.0
SBUX,2017-06-13 00:00:00+00:00,60.92,61.255,60.59,61.12,9270672,55.1052107855,55.4082351718,54.8067091512,55.2861208669,9270672,0.0,1.0
SBUX,2017-06-14 00:00:00+00:00,60.27,60.82,59.86,60.67,9594560,54.517253021,55.0147557448,54.1463873542,54.8790731838,9594560,0.0,1.0
SBUX,2017-06-15 00:00:00+00:00,60.09,60.28,59.51,59.92,7449256,54.3544339478,54.5262985251,53.8297947118,54.2006603786,7449256,0.0,1.0
SBUX,2017-06-16 00:00:00+00:00,60.14,60.16,59.47,59.89,11177768,54.3996614681,54.4177524763,53.7936126956,54.1735238664,11177768,0.0,1.0
SBUX,2017-06-19 00:00:00+00:00,60.9,61.0,60.11,60.35,6710257,55.0871197774,55.177574818,54.3725249559,54.5896170536,6710257,0.0,1.0
SBUX,2017-06-20 00:00:00+00:00,59.86,61.0,59.7,60.98,6839696,54.1463873542,55.177574818,54.0016592891,55.1594838099,6839696,0.0,1.0
SBUX,2017-06-21 00:00:00+00:00,59.96,60.31,59.71,60.0,5873459,54.2368423949,54.5534350373,54.0107047932,54.2730244112,5873459,0.0,1.0
SBUX,2017-06-22 00:00:00+00:00,59.51,60.1,59.4,60.09,5569030,53.8297947118,54.3634794519,53.7302941671,54.3544339478,5569030,0.0,1.0
SBUX,2017-06-23 00:00:00+00:00,59.81,60.17,59.58,59.76,5791112,54.1011598339,54.4267979803,53.8931132403,54.0559323135,5791112,0.0,1.0
SBUX,2017-06-26 00:00:00+00:00,59.64,60.15,59.33,60.02,5613292,53.9473862647,54.4087069722,53.6669756386,54.2911154193,5613292,0.0,1.0
SBUX,2017-06-27 00:00:00+00:00,58.96,59.69,58.81,59.54,5573996,53.3322919881,53.9926137851,53.196609427,53.856931224,5573996,0.0,1.0
SBUX,2017-06-28 00:00:00+00:00,59.18,59.25,58.8,59.06,5348326,53.5312930776,53.594611606,53.187563923,53.4227470287,5348326,0.0,1.0
SBUX,2017-06-29 00:00:00+00:00,58.36,59.18,57.955,59.17,7338743,52.7895617439,53.5312930776,52.4232188292,53.5222475735,7338743,0.0,1.0
SBUX,2017-06-30 00:00:00+00:00,58.31,58.95,58.29,58.68,7961205,52.7443342236,53.323246484,52.7262432155,53.0790178741,7961205,0.0,1.0
SBUX,2017-07-03 00:00:00+00:00,58.25,58.99,58.25,58.9,4575263,52.6900611992,53.3594285003,52.6900611992,53.2780189636,4575263,0.0,1.0
