symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SIRI,2017-05-30 00:00:00+00:00,5.23,5.365,5.22,5.3,26021962,4.8087784762,4.9329056453,4.7995838711,4.873140712,26021962,0.0,1.0
SIRI,2017-05-31 00:00:00+00:00,5.25,5.275,5.21,5.25,35474275,4.8271676864,4.8501541992,4.790389266,4.8271676864,35474275,0.0,1.0
SIRI,2017-06-01 00:00:00+00:00,5.46,5.48,5.21,5.25,52543908,5.0202543939,5.0386436041,4.790389266,4.8271676864,52543908,0.0,1.0
SIRI,2017-06-02 00:00:00+00:00,5.485,5.5,5.415,5.44,27776221,5.0432409067,5.0570328144,4.9788786709,5.0018651836,27776221,0.0,1.0
SIRI,2017-06-05 00:00:00+00:00,5.38,5.49,5.38,5.49,24284686,4.9466975529,5.0478382092,4.9466975529,5.0478382092,24284686,0.0,1.0
SIRI,2017-06-06 00:00:00+00:00,5.29,5.385,5.19,5.38,42157043,4.8639461069,4.9512948555,4.7720000557,4.9466975529,42157043,0.0,1.0
SIRI,2017-06-07 00:00:00+00:00,5.32,5.365,5.23,5.28,15156187,4.8915299222,4.9329056453,4.8087784762,4.8547515018,15156187,0.0,1.0
SIRI,2017-06-08 00:00:00+00:00,5.4,5.415,5.24,5.29,27354367,4.9650867632,4.9788786709,4.8179730813,4.8639461069,27354367,0.0,1.0
SIRI,2017-06-09 00:00:00+00:00,5.2,5.42,5.13,5.4,38292579,4.7811946608,4.9834759734,4.716832425,4.9650867632,38292579,0.0,1.0
SIRI,2017-06-12 00:00:00+00:00,5.2,5.27,5.11,5.18,24785153,4.7811946608,4.8455568967,4.6984432148,4.7628054506,24785153,0.0,1.0
SIRI,2017-06-13 00:00:00+00:00,5.24,5.26,5.17,5.18,15009626,4.8179730813,4.8363622915,4.7536108455,4.7628054506,15009626,0.0,1.0
SIRI,2017-06-14 00:00:00+00:00,5.16,5.26,5.15,5.26,16491509,4.7444162404,4.8363622915,4.7352216353,4.8363622915,16491509,0.0,1.0
