symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SRCL,2017-04-28 00:00:00+00:00,85.34,85.92,84.78,85.49,790509,85.34,85.92,84.78,85.49,790509,0.0,1.0
SRCL,2017-05-01 00:00:00+00:00,85.98,86.08,84.9,85.69,408990,85.98,86.08,84.9,85.69,408990,0.0,1.0
SRCL,2017-05-02 00:00:00+00:00,86.27,86.61,85.79,86.25,436960,86.27,86.61,85.79,86.25,436960,0.0,1.0
SRCL,2017-05-03 00:00:00+00:00,85.59,86.36,85.32,86.24,338143,85.59,86.36,85.32,86.24,338143,0.0,1.0
SRCL,2017-05-04 00:00:00+00:00,85.73,86.64,85.12,85.94,632591,85.73,86.64,85.12,85.94,632591,0.0,1.0
SRCL,2017-05-05 00:00:00+00:00,87.0,88.0,84.0,84.09,1007411,87.0,88.0,84.0,84.09,1007411,0.0,1.0
SRCL,2017-05-08 00:00:00+00:00,85.75,87.37,85.34,86.85,994596,85.75,87.37,85.34,86.85,994596,0.0,1.0
SRCL,2017-05-09 00:00:00+00:00,86.27,86.88,85.81,86.08,709228,86.27,86.88,85.81,86.08,709228,0.0,1.0
SRCL,2017-05-10 00:00:00+00:00,85.75,86.88,85.53,86.33,392393,85.75,86.88,85.53,86.33,392393,0.0,1.0
SRCL,2017-05-11 00:00:00+00:00,84.98,85.58,84.31,85.58,485681,84.98,85.58,84.31,85.58,485681,0.0,1.0
SRCL,2017-05-12 00:00:00+00:00,84.47,84.84,83.83,84.84,1069186,84.47,84.84,83.83,84.84,1069186,0.0,1.0
SRCL,2017-05-15 00:00:00+00:00,84.14,84.62,83.76,84.35,820822,84.14,84.62,83.76,84.35,820822,0.0,1.0
SRCL,2017-05-16 00:00:00+00:00,83.75,84.65,83.45,84.02,734405,83.75,84.65,83.45,84.02,734405,0.0,1.0
SRCL,2017-05-17 00:00:00+00:00,83.32,84.08,83.23,83.23,628086,83.32,84.08,83.23,83.23,628086,0.0,1.0
SRCL,2017-05-18 00:00:00+00:00,83.76,83.96,83.14,83.25,606574,83.76,83.96,83.14,83.25,606574,0.0,1.0
SRCL,2017-05-19 00:00:00+00:00,83.56,83.92,83.08,83.92,647261,83.56,83.92,83.08,83.92,647261,0.0,1.0
SRCL,2017-05-22 00:00:00+00:00,84.18,84.74,83.58,83.58,588491,84.18,84.74,83.58,83.58,588491,0.0,1.0
SRCL,2017-05-23 00:00:00+00:00,83.05,84.5,82.41,84.5,614271,83.05,84.5,82.41,84.5,614271,0.0,1.0
SRCL,2017-05-24 00:00:00+00:00,82.99,83.72,82.87,83.04,347905,82.99,83.72,82.87,83.04,347905,0.0,1.0
SRCL,2017-05-25 00:00:00+00:00,83.35,83.47,82.95,83.47,1052449,83.35,83.47,82.95,83.47,1052449,0.0,1.0
SRCL,2017-05-26 00:00:00+00:00,82.4,83.55,82.34,83.37,464498,82.4,83.55,82.34,83.37,464498,0.0,1.0
SRCL,2017-05-30 00:00:00+00:00,81.48,82.56,81.33,82.1,710542,81.48,82.56,81.33,82.1,710542,0.0,1.0
SRCL,2017-05-31 00:00:00+00:00,81.77,81.91,80.68,81.49,925947,81.77,81.91,80.68,81.49,925947,0.0,1.0
SRCL,2017-06-01 00:00:00+00:00,84.19,84.6,81.47,81.96,781340,84.19,84.6,81.47,81.96,781340,0.0,1.0
SRCL,2017-06-02 00:00:00+00:00,82.32,83.95,82.27,83.88,673699,82.32,83.95,82.27,83.88,673699,0.0,1.0
SRCL,2017-06-05 00:00:00+00:00,81.16,82.15,81.11,82.15,798311,81.16,82.15,81.11,82.15,798311,0.0,1.0
SRCL,2017-06-06 00:00:00+00:00,79.23,80.8,79.17,80.69,847640,79.23,80.8,79.17,80.69,847640,0.0,1.0
SRCL,2017-06-07 00:00:00+00:00,80.48,80.53,78.56,79.23,1064998,80.48,80.53,78.56,79.23,1064998,0.0,1.0
SRCL,2017-06-08 00:00:00+00:00,78.98,80.49,78.45,78.8,1004903,78.98,80.49,78.45,78.8,1004903,0.0,1.0
SRCL,2017-06-09 00:00:00+00:00,79.01,79.22,78.51,78.99,750465,79.01,79.22,78.51,78.99,750465,0.0,1.0
SRCL,2017-06-12 00:00:00+00:00,79.15,80.19,78.83,79.09,588105,79.15,80.19,78.83,79.09,588105,0.0,1.0
SRCL,2017-06-13 00:00:00+00:00,78.7,79.67,78.59,79.48,628936,78.7,79.67,78.59,79.48,628936,0.0,1.0
SRCL,2017-06-14 00:00:00+00:00,78.24,79.23,78.16,78.72,752763,78.24,79.23,78.16,78.72,752763,0.0,1.0
SRCL,2017-06-15 00:00:00+00:00,78.17,78.23,77.3,77.68,617350,78.17,78.23,77.3,77.68,617350,0.0,1.0
SRCL,2017-06-16 00:00:00+00:00,78.43,78.95,78.02,78.47,792765,78.43,78.95,78.02,78.47,792765,0.0,1.0
SRCL,2017-06-19 00:00:00+00:00,79.07,79.2,78.01,78.49,458847,79.07,79.2,78.01,78.49,458847,0.0,1.0
SRCL,2017-06-20 00:00:00+00:00,78.13,79.63,78.12,79.09,410565,78.13,79.63,78.12,79.09,410565,0.0,1.0
SRCL,2017-06-21 00:00:00+00:00,76.34,78.38,76.19,78.18,709622,76.34,78.38,76.19,78.18,709622,0.0,1.0
SRCL,2017-06-22 00:00:00+00:00,77.21,77.55,75.9,76.34,724172,77.21,77.55,75.9,76.34,724172,0.0,1.0
SRCL,2017-06-23 00:00:00+00:00,76.88,77.76,76.4,77.14,1193649,76.88,77.76,76.4,77.14,1193649,0.0,1.0
SRCL,2017-06-26 00:00:00+00:00,78.25,78.87,76.76,76.8,712077,78.25,78.87,76.76,76.8,712077,0.0,1.0
SRCL,2017-06-27 00:00:00+00:00,77.24,78.58,77.01,78.4,638766,77.24,78.58,77.01,78.4,638766,0.0,1.0
SRCL,2017-06-28 00:00:00+00:00,77.72,78.2,77.0,77.5,797605,77.72,78.2,77.0,77.5,797605,0.0,1.0
SRCL,2017-06-29 00:00:00+00:00,77.22,78.41,76.59,77.72,688296,77.22,78.41,76.59,77.72,688296,0.0,1.0
SRCL,2017-06-30 00:00:00+00:00,76.32,77.77,76.14,77.23,666091,76.32,77.77,76.14,77.23,666091,0.0,1.0
SRCL,2017-07-03 00:00:00+00:00,76.37,77.14,75.91,76.6,548982,76.37,77.14,75.91,76.6,548982,0.0,1.0
SRCL,2017-07-05 00:00:00+00:00,75.65,76.25,75.39,76.12,1242486,75.65,76.25,75.39,76.12,1242486,0.0,1.0
SRCL,2017-07-06 00:00:00+00:00,75.23,75.7399,74.22,75.25,1494247,75.23,75.7399,74.22,75.25,1494247,0.0,1.0
SRCL,2017-07-07 00:00:00+00:00,76.48,77.06,75.18,75.39,810849,76.48,77.06,75.18,75.39,810849,0.0,1.0
SRCL,2017-07-10 00:00:00+00:00,75.39,76.44,75.38,76.42,636835,75.39,76.44,75.38,76.42,636835,0.0,1.0
