symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
STX,2017-05-30 00:00:00+00:00,43.24,43.545,42.21,42.21,3535983,33.9729639366,34.2125974704,33.1637097078,33.1637097078,3535983,0.0,1.0
STX,2017-05-31 00:00:00+00:00,43.57,43.57,42.86,43.39,4237830,34.2322395633,34.2322395633,33.674404124,34.0908164942,4237830,0.0,1.0
STX,2017-06-01 00:00:00+00:00,42.88,43.56,42.63,43.56,3489439,33.6901177984,34.2243827261,33.493696869,34.2243827261,3489439,0.0,1.0
STX,2017-06-02 00:00:00+00:00,43.22,43.35,42.91,42.96,2679847,33.9572502622,34.0593891455,33.7136883099,33.7529724957,2679847,0.0,1.0
STX,2017-06-05 00:00:00+00:00,42.08,42.99,42.06,42.86,3262334,33.0615708245,33.7765430073,33.0458571502,33.674404124,3262334,0.0,1.0
STX,2017-06-06 00:00:00+00:00,41.89,42.345,41.59,42.0,3186534,32.9122909182,33.2697770096,32.676585803,32.9987161271,3186534,0.0,1.0
STX,2017-06-07 00:00:00+00:00,41.94,42.56,41.765,42.09,2384530,32.9515751041,33.4386990088,32.8140804536,33.0694276617,2384530,0.0,1.0
STX,2017-06-08 00:00:00+00:00,42.77,42.82,41.58,42.05,3081273,33.6036925895,33.6429767753,32.6687289659,33.038000313,3081273,0.0,1.0
STX,2017-06-09 00:00:00+00:00,42.37,43.53,41.6,42.86,4736695,33.2894191025,34.2008122146,32.6844426402,33.674404124,4736695,0.0,1.0
STX,2017-06-12 00:00:00+00:00,41.54,41.94,40.32,41.75,6213749,32.6373016172,32.9515751041,31.678767482,32.8022951978,6213749,0.0,1.0
STX,2017-06-13 00:00:00+00:00,42.03,42.4,41.78,41.99,3963211,33.0222866386,33.312989614,32.8258657093,32.9908592899,3963211,0.0,1.0
STX,2017-06-14 00:00:00+00:00,41.28,42.23,40.81,42.23,3898151,32.4330238507,33.1794233821,32.0637525035,33.1794233821,3898151,0.0,1.0
STX,2017-06-15 00:00:00+00:00,41.52,41.65,40.4,40.45,3652962,32.6215879428,32.7237268261,31.7416221794,31.7809063653,3652962,0.0,1.0
STX,2017-06-16 00:00:00+00:00,42.03,42.1,41.33,41.4,6702711,33.0222866386,33.0772844989,32.4723080365,32.5273058967,6702711,0.0,1.0
STX,2017-06-19 00:00:00+00:00,41.83,42.15,41.55,41.65,3055869,33.3601306371,33.6153360352,33.1368259137,33.2165776006,3055869,0.63,1.0
STX,2017-06-20 00:00:00+00:00,41.04,41.74,41.03,41.68,3250254,32.7300923104,33.2883541189,32.7221171418,33.2405031067,3250254,0.0,1.0
STX,2017-06-21 00:00:00+00:00,41.66,41.8706,41.0822,41.19,2754075,33.2245527693,33.392509822,32.7637475223,32.8497198408,2754075,0.0,1.0
STX,2017-06-22 00:00:00+00:00,42.01,42.23,41.59,41.96,2432020,33.5036836735,33.6791373848,33.1687265885,33.4638078301,2432020,0.0,1.0
STX,2017-06-23 00:00:00+00:00,42.67,43.25,41.94,42.01,3565976,34.0300448072,34.4926045913,33.4478574927,33.5036836735,3565976,0.0,1.0
STX,2017-06-26 00:00:00+00:00,42.39,43.27,42.24,42.95,3179349,33.8067400838,34.5085549287,33.6871125534,34.2533495305,3179349,0.0,1.0
STX,2017-06-27 00:00:00+00:00,39.51,41.2,39.51,41.1,8888103,31.5098915006,32.8576950095,31.5098915006,32.7779433226,8888103,0.0,1.0
STX,2017-06-28 00:00:00+00:00,40.18,40.299,39.435,40.0,4680116,32.044227803,32.1391323104,31.4500777354,31.9006747665,4680116,0.0,1.0
STX,2017-06-29 00:00:00+00:00,38.91,39.92,38.2842,39.84,6053597,31.0313813791,31.836873417,30.5322953224,31.7730720675,6053597,0.0,1.0
STX,2017-06-30 00:00:00+00:00,38.75,39.45,38.51,39.4,3830440,30.9037786801,31.4620404885,30.7123746315,31.422164645,3830440,0.0,1.0
