symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SWKS,2017-05-30 00:00:00+00:00,106.36,107.25,105.77,105.8,741299,98.3114623414,99.1341137281,97.766109175,97.793838997,741299,0.0,1.0
SWKS,2017-05-31 00:00:00+00:00,106.43,107.0,105.43,106.98,1436051,98.3761652595,98.9030318779,97.4518378587,98.8845453299,1436051,0.0,1.0
SWKS,2017-06-01 00:00:00+00:00,107.68,107.68,106.25,106.79,1594984,99.5315745104,99.5315745104,98.2097863273,98.7089231237,1594984,0.0,1.0
SWKS,2017-06-02 00:00:00+00:00,108.42,108.67,106.51,108.13,1558450,100.2155767869,100.4466586371,98.4501114515,99.9475218407,1558450,0.0,1.0
SWKS,2017-06-05 00:00:00+00:00,108.15,109.2,107.75,108.2,1219142,99.9660083887,100.9365521595,99.5962774284,100.0122247588,1219142,0.0,1.0
SWKS,2017-06-06 00:00:00+00:00,107.86,109.43,107.3,107.5,1086411,99.6979534425,101.1491474616,99.1803300981,99.3651955782,1086411,0.0,1.0
SWKS,2017-06-07 00:00:00+00:00,109.48,109.8,107.71,108.0,1485126,101.1953638317,101.4911485999,99.5593043324,99.8273592786,1485126,0.0,1.0
SWKS,2017-06-08 00:00:00+00:00,111.01,111.06,108.82,109.82,1477384,102.6095847548,102.6558011248,100.5853077472,101.5096351479,1477384,0.0,1.0
SWKS,2017-06-09 00:00:00+00:00,107.01,112.11,104.29,111.4,2934082,98.9122751519,103.6263448956,96.3981046219,102.9700724411,2934082,0.0,1.0
SWKS,2017-06-12 00:00:00+00:00,103.76,105.85,101.0,105.26,4061705,95.9082110995,97.840055367,93.3570674735,97.2947022006,4061705,0.0,1.0
SWKS,2017-06-13 00:00:00+00:00,104.85,105.69,103.47,104.67,2017950,96.9157279663,97.6921629829,95.6401561533,96.7493490342,2017950,0.0,1.0
SWKS,2017-06-14 00:00:00+00:00,102.47,105.555,101.02,105.27,1663272,94.7158287526,97.5673787838,93.3755540215,97.3039454746,1663272,0.0,1.0
SWKS,2017-06-15 00:00:00+00:00,102.28,102.64,100.56,100.74,1600364,94.5402065464,94.8729644107,92.9503634172,93.1167423493,1600364,0.0,1.0
SWKS,2017-06-16 00:00:00+00:00,101.9,103.61,101.085,102.35,1893577,94.1889621342,95.7695619894,93.4356353026,94.6049094645,1893577,0.0,1.0
SWKS,2017-06-19 00:00:00+00:00,104.06,104.55,102.72,102.72,1197060,96.1855093197,96.6384297461,94.9469106028,94.9469106028,1197060,0.0,1.0
SWKS,2017-06-20 00:00:00+00:00,101.81,104.59,101.61,103.9,1336629,94.1057726681,96.6754028421,93.920907188,96.0376169356,1336629,0.0,1.0
SWKS,2017-06-21 00:00:00+00:00,103.3,103.57,101.61,102.32,1084308,95.4830204952,95.7325888934,93.920907188,94.5771796425,1084308,0.0,1.0
SWKS,2017-06-22 00:00:00+00:00,103.25,103.65,101.38,103.37,1275537,95.4368041251,95.8065350854,93.7083118858,95.5477234132,1275537,0.0,1.0
SWKS,2017-06-23 00:00:00+00:00,104.36,104.51,102.57,103.25,2021822,96.46280754,96.6014566501,94.8082614927,95.4368041251,2021822,0.0,1.0
SWKS,2017-06-26 00:00:00+00:00,101.32,105.25,101.26,104.47,1892840,93.6528522417,97.2854589266,93.5973925977,96.564483554,1892840,0.0,1.0
SWKS,2017-06-27 00:00:00+00:00,97.86,100.62,97.71,100.5,2828437,90.4546794352,93.0058230612,90.3160303251,92.8949037731,2828437,0.0,1.0
SWKS,2017-06-28 00:00:00+00:00,98.36,98.88,96.37,98.74,2290519,90.9168431356,91.397493384,89.0774316081,91.2680875479,2290519,0.0,1.0
SWKS,2017-06-29 00:00:00+00:00,96.13,98.42,94.35,97.96,2774954,88.855593032,90.9723027796,87.2102902587,90.5471121753,2774954,0.0,1.0
SWKS,2017-06-30 00:00:00+00:00,95.95,97.27,95.11,96.64,2085525,88.6892140998,89.9093262688,87.9127790832,89.3270000063,2085525,0.0,1.0
SWKS,2017-07-03 00:00:00+00:00,95.34,97.48,95.145,96.44,1180857,88.1253743854,90.1034350229,87.9451305422,89.1421345262,1180857,0.0,1.0
SWKS,2017-07-05 00:00:00+00:00,97.53,97.82,95.79,95.79,2260299,90.149651393,90.4177063392,88.5413217157,88.5413217157,2260299,0.0,1.0
SWKS,2017-07-06 00:00:00+00:00,97.79,99.04,96.61,97.14,2204794,90.3899765172,91.5453857681,89.2992701843,89.7891637067,2204794,0.0,1.0
SWKS,2017-07-07 00:00:00+00:00,99.7,100.42,98.06,98.19,1532430,92.1554418526,92.8209575811,90.6395449154,90.7597074775,1532430,0.0,1.0
SWKS,2017-07-10 00:00:00+00:00,100.05,100.3,98.42,99.93,1291347,92.4789564428,92.710038293,90.9723027796,92.3680371547,1291347,0.0,1.0
SWKS,2017-07-11 00:00:00+00:00,100.73,101.07,99.69,100.05,1365292,93.1074990753,93.4217703916,92.1461985786,92.4789564428,1365292,0.0,1.0
SWKS,2017-07-12 00:00:00+00:00,101.73,102.29,101.14,101.45,1567391,94.031826476,94.5494498205,93.4864733096,93.7730148038,1567391,0.0,1.0
SWKS,2017-07-13 00:00:00+00:00,102.75,103.18,101.48,102.0,1680166,94.9746404248,95.3721012071,93.8007446259,94.2813948742,1680166,0.0,1.0
SWKS,2017-07-14 00:00:00+00:00,103.99,104.03,103.17,103.42,1347123,96.1208064017,96.1577794977,95.3628579331,95.5939397833,1347123,0.0,1.0
SWKS,2017-07-17 00:00:00+00:00,103.3,104.42,103.18,104.02,1690663,95.4830204952,96.518267184,95.3721012071,96.1485362237,1690663,0.0,1.0
SWKS,2017-07-18 00:00:00+00:00,103.83,103.87,101.87,103.05,1258859,95.9729140176,96.0098871136,94.1612323121,95.251938645,1258859,0.0,1.0
SWKS,2017-07-19 00:00:00+00:00,105.41,105.4975,104.06,104.5,1776649,97.4333513107,97.5142299583,96.1855093197,96.5922133761,1776649,0.0,1.0
SWKS,2017-07-20 00:00:00+00:00,107.64,108.21,105.5,106.18,3913079,99.4946014143,100.0214680328,97.5165407768,98.1450834093,3913079,0.0,1.0
SWKS,2017-07-21 00:00:00+00:00,107.47,107.98,105.23,106.73,3777850,99.3374657562,99.8088727306,97.2669723786,98.6534634797,3777850,0.0,1.0
SWKS,2017-07-24 00:00:00+00:00,105.86,107.73,105.37,107.65,3027116,97.849298641,99.5777908804,97.3963782147,99.5038446884,3027116,0.0,1.0
SWKS,2017-07-25 00:00:00+00:00,106.39,106.74,104.71,106.39,1663024,98.3391921634,98.6627067537,96.7863221302,98.3391921634,1663024,0.0,1.0
SWKS,2017-07-26 00:00:00+00:00,107.33,107.94,106.3,107.0,1210985,99.2080599201,99.7718996346,98.2560026974,98.9030318779,1210985,0.0,1.0
SWKS,2017-07-27 00:00:00+00:00,107.0,108.555,105.55,107.61,3024770,98.9030318779,100.340360986,97.5627571468,99.4668715923,3024770,0.0,1.0
SWKS,2017-07-28 00:00:00+00:00,105.76,107.15,105.42,106.64,1589237,97.756865901,99.041680988,97.4425945847,98.5702740136,1589237,0.0,1.0
SWKS,2017-07-31 00:00:00+00:00,104.87,106.51,104.39,106.37,1233565,96.9342145143,98.4501114515,96.490537362,98.3207056154,1233565,0.0,1.0
SWKS,2017-08-01 00:00:00+00:00,104.28,105.38,103.5,105.11,1949947,96.3888613479,97.4056214887,95.6678859753,97.1560530905,1949947,0.0,1.0
SWKS,2017-08-02 00:00:00+00:00,104.43,106.98,103.35,106.82,2013593,96.527510458,98.8845453299,95.5292368652,98.7366529457,2013593,0.0,1.0
SWKS,2017-08-03 00:00:00+00:00,101.79,104.53,101.29,104.43,2134851,94.0872861201,96.6199431981,93.6251224197,96.527510458,2134851,0.0,1.0
SWKS,2017-08-04 00:00:00+00:00,102.55,103.65,101.0,101.67,1681424,95.0855597129,96.1054925816,93.6483815797,94.2696134179,1681424,0.32,1.0
SWKS,2017-08-07 00:00:00+00:00,104.5,104.7,102.29,102.29,1253603,96.8936225256,97.0790648653,94.8444846712,94.8444846712,1253603,0.0,1.0
SWKS,2017-08-08 00:00:00+00:00,104.73,105.98,104.25,104.5,1310181,97.1068812163,98.2658958398,96.6618196008,96.8936225256,1310181,0.0,1.0
SWKS,2017-08-09 00:00:00+00:00,104.74,105.07,103.5101,103.7,1007898,97.1161533333,97.4221331939,95.9757756649,96.1518531665,1007898,0.0,1.0
SWKS,2017-08-10 00:00:00+00:00,101.6,103.99,101.49,103.6,1636745,94.204708599,96.4207445592,94.1027153121,96.0591319966,1636745,0.0,1.0
SWKS,2017-08-11 00:00:00+00:00,103.18,103.59,101.45,101.71,1041399,95.6697030831,96.0498598796,94.0656268442,94.3067018859,1041399,0.0,1.0
