symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TMUS,2017-05-30 00:00:00+00:00,67.08,68.08,66.95,67.61,2823098,67.08,68.08,66.95,67.61,2823098,0.0,1.0
TMUS,2017-05-31 00:00:00+00:00,67.42,67.56,66.78,67.08,5080444,67.42,67.56,66.78,67.08,5080444,0.0,1.0
TMUS,2017-06-01 00:00:00+00:00,67.9,67.93,66.98,67.42,1928601,67.9,67.93,66.98,67.42,1928601,0.0,1.0
TMUS,2017-06-02 00:00:00+00:00,68.32,68.42,67.77,67.93,1824990,68.32,68.42,67.77,67.93,1824990,0.0,1.0
TMUS,2017-06-05 00:00:00+00:00,67.4,68.5,67.29,68.31,3120275,67.4,68.5,67.29,68.31,3120275,0.0,1.0
TMUS,2017-06-06 00:00:00+00:00,66.11,67.49,66.03,67.2,4339009,66.11,67.49,66.03,67.2,4339009,0.0,1.0
TMUS,2017-06-07 00:00:00+00:00,65.92,66.43,65.5,66.35,3009679,65.92,66.43,65.5,66.35,3009679,0.0,1.0
TMUS,2017-06-08 00:00:00+00:00,65.69,66.25,65.0,66.04,5008669,65.69,66.25,65.0,66.04,5008669,0.0,1.0
TMUS,2017-06-09 00:00:00+00:00,63.84,65.71,62.75,65.71,6314249,63.84,65.71,62.75,65.71,6314249,0.0,1.0
TMUS,2017-06-12 00:00:00+00:00,64.67,64.78,63.52,63.56,3511221,64.67,64.78,63.52,63.56,3511221,0.0,1.0
TMUS,2017-06-13 00:00:00+00:00,64.01,65.1,63.7,64.76,4471250,64.01,65.1,63.7,64.76,4471250,0.0,1.0
TMUS,2017-06-14 00:00:00+00:00,63.27,64.1,62.85,63.91,2986171,63.27,64.1,62.85,63.91,2986171,0.0,1.0
TMUS,2017-06-15 00:00:00+00:00,63.6,63.73,62.46,62.77,3851590,63.6,63.73,62.46,62.77,3851590,0.0,1.0
TMUS,2017-06-16 00:00:00+00:00,63.13,63.81,62.47,63.27,7304382,63.13,63.81,62.47,63.27,7304382,0.0,1.0
TMUS,2017-06-19 00:00:00+00:00,64.01,64.03,63.3,63.6,2930186,64.01,64.03,63.3,63.6,2930186,0.0,1.0
TMUS,2017-06-20 00:00:00+00:00,63.98,64.53,62.76,63.8,6202068,63.98,64.53,62.76,63.8,6202068,0.0,1.0
TMUS,2017-06-21 00:00:00+00:00,63.57,64.05,63.25,63.85,3193795,63.57,64.05,63.25,63.85,3193795,0.0,1.0
TMUS,2017-06-22 00:00:00+00:00,63.56,63.96,63.26,63.63,4179772,63.56,63.96,63.26,63.63,4179772,0.0,1.0
TMUS,2017-06-23 00:00:00+00:00,63.4,63.81,63.34,63.48,1767655,63.4,63.81,63.34,63.48,1767655,0.0,1.0
TMUS,2017-06-26 00:00:00+00:00,63.15,63.79,63.12,63.6,1580398,63.15,63.79,63.12,63.6,1580398,0.0,1.0
TMUS,2017-06-27 00:00:00+00:00,61.01,62.54,60.72,61.25,10246628,61.01,62.54,60.72,61.25,10246628,0.0,1.0
TMUS,2017-06-28 00:00:00+00:00,61.48,61.54,60.84,61.01,3138927,61.48,61.54,60.84,61.01,3138927,0.0,1.0
TMUS,2017-06-29 00:00:00+00:00,60.3,61.26,59.59,61.19,7177451,60.3,61.26,59.59,61.19,7177451,0.0,1.0
TMUS,2017-06-30 00:00:00+00:00,60.62,61.0,59.94,60.88,4165450,60.62,61.0,59.94,60.88,4165450,0.0,1.0
TMUS,2017-07-03 00:00:00+00:00,60.0,60.85,59.9,60.74,1637424,60.0,60.85,59.9,60.74,1637424,0.0,1.0
