symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TRIP,2017-04-28 00:00:00+00:00,45.01,45.2,43.66,45.2,3954713,40.0685006274,40.2376411543,38.8667126725,40.2376411543,3954713,0.0,1.0
TRIP,2017-05-01 00:00:00+00:00,44.96,45.5,44.77,45.03,2079067,40.0239899624,40.5047051443,39.8548494354,40.0863048934,2079067,0.0,1.0
TRIP,2017-05-02 00:00:00+00:00,46.1,46.12,44.74,45.07,2515124,41.0388331242,41.0566373902,39.8281430364,40.1219134253,2515124,0.0,1.0
TRIP,2017-05-03 00:00:00+00:00,45.11,46.23,44.85,46.13,2750672,40.1575219573,41.1545608532,39.9260664994,41.0655395232,2750672,0.0,1.0
TRIP,2017-05-04 00:00:00+00:00,45.89,45.95,45.02,45.12,2878102,40.8518883312,40.9053011292,40.0774027604,40.1664240903,2878102,0.0,1.0
TRIP,2017-05-05 00:00:00+00:00,46.17,46.45,45.73,45.86,1866149,41.1011480552,41.3504077792,40.7094542033,40.8251819322,1866149,0.0,1.0
TRIP,2017-05-08 00:00:00+00:00,47.03,47.38,46.03,46.18,3878561,41.8667314931,42.1783061481,40.9765181932,41.1100501882,3878561,0.0,1.0
TRIP,2017-05-09 00:00:00+00:00,46.92,48.1,46.82,47.1,3978894,41.7688080301,42.819259724,41.6797867001,41.9290464241,3978894,0.0,1.0
TRIP,2017-05-10 00:00:00+00:00,47.99,50.95,46.7,49.8,8629688,42.721336261,45.3563676286,41.5729611041,44.3326223338,8629688,0.0,1.0
TRIP,2017-05-11 00:00:00+00:00,45.63,47.52,45.51,47.36,4087139,40.6204328733,42.30293601,40.5136072773,42.1605018821,4087139,0.0,1.0
TRIP,2017-05-12 00:00:00+00:00,46.25,46.68,45.573,46.09,2163901,41.1723651192,41.5551568381,40.5696907152,41.0299309912,2163901,0.0,1.0
TRIP,2017-05-15 00:00:00+00:00,46.67,47.08,46.2,46.4,2011991,41.5462547051,41.9112421581,41.1278544542,41.3058971142,2011991,0.0,1.0
TRIP,2017-05-16 00:00:00+00:00,45.62,47.04,45.52,47.04,2618368,40.6115307403,41.8756336261,40.5225094103,41.8756336261,2618368,0.0,1.0
TRIP,2017-05-17 00:00:00+00:00,43.97,45.53,43.76,45.0,4198730,39.1426787955,40.5314115433,38.9557340025,40.0595984944,4198730,0.0,1.0
TRIP,2017-05-18 00:00:00+00:00,44.61,44.93,43.66,43.97,1831934,39.7124153074,39.9972835634,38.8667126725,39.1426787955,1831934,0.0,1.0
TRIP,2017-05-19 00:00:00+00:00,44.08,44.74,43.89,44.74,2073590,39.2406022585,39.8281430364,39.0714617315,39.8281430364,2073590,0.0,1.0
TRIP,2017-05-22 00:00:00+00:00,42.97,44.56,42.46,44.3,4645304,38.2524654956,39.6679046424,37.7984567127,39.4364491844,4645304,0.0,1.0
TRIP,2017-05-23 00:00:00+00:00,40.87,42.93,40.67,42.93,5633486,36.3830175659,38.2168569636,36.2049749059,38.2168569636,5633486,0.0,1.0
TRIP,2017-05-24 00:00:00+00:00,40.8,40.905,39.93,40.77,4171424,36.3207026349,36.4141750314,35.546217064,36.2939962359,4171424,0.0,1.0
TRIP,2017-05-25 00:00:00+00:00,39.82,40.83,39.79,40.81,3480339,35.448293601,36.3474090339,35.421587202,36.3296047679,3480339,0.0,1.0
TRIP,2017-05-26 00:00:00+00:00,39.07,39.68,38.32,39.25,4836639,34.7806336261,35.323663739,34.1129736512,34.9408720201,4836639,0.0,1.0
TRIP,2017-05-30 00:00:00+00:00,39.06,39.23,38.66,38.91,3264498,34.7717314931,34.9230677541,34.4156461731,34.6381994981,3264498,0.0,1.0
TRIP,2017-05-31 00:00:00+00:00,38.51,39.315,38.23,39.25,3260814,34.2821141782,34.9987358846,34.0328544542,34.9408720201,3260814,0.0,1.0
TRIP,2017-06-01 00:00:00+00:00,39.97,40.14,38.65,38.65,3152145,35.581825596,35.733161857,34.4067440402,34.4067440402,3152145,0.0,1.0
