symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSCO,2017-04-28 00:00:00+00:00,61.91,62.3,61.365,62.23,3216430,57.7116293336,58.0751818363,57.2035880158,58.009928823,3216430,0.0,1.0
TSCO,2017-05-01 00:00:00+00:00,61.4,62.14,61.13,62.14,1880707,57.2362145225,57.9260320916,56.9845243283,57.9260320916,1880707,0.0,1.0
TSCO,2017-05-02 00:00:00+00:00,62.64,62.65,61.22,61.35,2441233,58.3921250438,58.4014469028,57.0684210597,57.1896052272,2441233,0.0,1.0
TSCO,2017-05-03 00:00:00+00:00,62.6,63.14,62.08,62.48,2334681,58.3548376076,58.8582179959,57.8701009374,58.2429752991,2334681,0.0,1.0
TSCO,2017-05-04 00:00:00+00:00,61.54,62.18,61.06,62.0,2678399,57.366720549,57.9633195278,56.919271315,57.795526065,2678399,0.0,1.0
TSCO,2017-05-05 00:00:00+00:00,61.95,61.98,61.29,61.9,1359624,57.7489167698,57.7768823469,57.133674073,57.7023074746,1359624,0.0,1.0
TSCO,2017-05-08 00:00:00+00:00,61.66,62.35,61.4,62.34,1444801,57.4785828576,58.1217911315,57.2362145225,58.1124692725,1444801,0.0,1.0
TSCO,2017-05-09 00:00:00+00:00,61.84,61.95,61.36,61.83,1269963,57.6463763203,57.7489167698,57.1989270863,57.6370544613,1269963,0.0,1.0
TSCO,2017-05-10 00:00:00+00:00,60.95,61.93,60.87,61.93,1504460,56.8167308655,57.7302730517,56.7421559932,57.7302730517,1504460,0.0,1.0
TSCO,2017-05-11 00:00:00+00:00,60.26,60.92,59.8,60.71,1679070,56.1735225916,56.7887652884,55.7447170756,56.5930062485,1679070,0.0,1.0
TSCO,2017-05-12 00:00:00+00:00,60.07,60.19,59.45,60.06,1643959,55.9964072698,56.1082695783,55.4184520091,55.9870854107,1643959,0.0,1.0
TSCO,2017-05-15 00:00:00+00:00,59.25,60.64,59.21,60.28,2024023,55.2320148283,56.5277532352,55.1947273921,56.1921663097,2024023,0.0,1.0
TSCO,2017-05-16 00:00:00+00:00,58.69,59.6,58.45,59.52,1615525,54.7099907219,55.5582798948,54.4862661048,55.4837050224,1615525,0.0,1.0
TSCO,2017-05-17 00:00:00+00:00,57.73,59.11,57.715,58.34,2049595,53.8150922538,55.1015088017,53.8011094652,54.3837256554,2049595,0.0,1.0
TSCO,2017-05-18 00:00:00+00:00,57.97,58.38,57.47,57.57,1930170,54.2905070649,54.6744833957,53.8222432469,53.9158960105,1930170,0.27,1.0
TSCO,2017-05-19 00:00:00+00:00,57.57,58.43,57.42,58.07,2361432,53.9158960105,54.7213097776,53.7754168651,54.3841598286,2361432,0.0,1.0
TSCO,2017-05-22 00:00:00+00:00,56.3,57.719,56.23,57.61,2267139,52.7265059127,54.0554386283,52.6609489781,53.9533571159,2267139,0.0,1.0
TSCO,2017-05-23 00:00:00+00:00,54.29,56.405,54.09,56.35,4357638,50.8440853641,52.8248413144,50.6567798369,52.7733322945,4357638,0.0,1.0
TSCO,2017-05-24 00:00:00+00:00,53.12,54.55,52.85,54.5,3056168,49.7483480298,51.0875825495,49.4954855681,51.0407561677,3056168,0.0,1.0
TSCO,2017-05-25 00:00:00+00:00,54.38,54.81,53.18,53.2,2722102,50.9283728513,51.3310797349,49.804539688,49.8232702407,2722102,0.0,1.0
TSCO,2017-05-26 00:00:00+00:00,54.88,55.13,54.01,54.58,2645692,51.3966366694,51.6307685784,50.581857626,51.1156783786,2645692,0.0,1.0
TSCO,2017-05-30 00:00:00+00:00,54.82,55.3,54.54,54.67,2636024,51.3404450112,51.7899782765,51.0782172731,51.1999658658,2636024,0.0,1.0
TSCO,2017-05-31 00:00:00+00:00,55.15,55.17,53.93,54.92,2192179,51.6494991311,51.6682296839,50.5069354151,51.4340977748,2192179,0.0,1.0
TSCO,2017-06-01 00:00:00+00:00,56.11,56.18,54.98,55.37,2695658,52.5485656618,52.6141225963,51.490289433,51.8555352111,2695658,0.0,1.0
TSCO,2017-06-02 00:00:00+00:00,55.61,56.14,54.72,55.79,2665058,52.0803018437,52.5766614909,51.2467922476,52.2488768182,2665058,0.0,1.0
TSCO,2017-06-05 00:00:00+00:00,55.9,56.19,55.05,55.72,2819599,52.3518948582,52.6234878727,51.5558463675,52.1833198837,2819599,0.0,1.0
TSCO,2017-06-06 00:00:00+00:00,55.02,55.82,54.76,55.59,2265551,51.5277505384,52.2769726473,51.2842533531,52.061571291,2265551,0.0,1.0
TSCO,2017-06-07 00:00:00+00:00,54.49,55.8,54.2891,55.03,2822590,51.0313908913,52.2582420946,50.8432424892,51.5371158148,2822590,0.0,1.0
TSCO,2017-06-08 00:00:00+00:00,54.44,56.64,54.29,54.75,3939551,50.9845645095,53.0449253089,50.8440853641,51.2748880767,3939551,0.0,1.0
TSCO,2017-06-09 00:00:00+00:00,57.02,57.47,54.27,54.69,3517338,53.4008058106,53.8222432469,50.8253548114,51.2186964185,3517338,0.0,1.0
TSCO,2017-06-12 00:00:00+00:00,57.72,59.29,57.06,57.08,3651129,54.0563751559,55.5267235446,53.4382669161,53.4569974688,3651129,0.0,1.0
TSCO,2017-06-13 00:00:00+00:00,57.15,58.24,56.59,57.56,2372784,53.5225544033,54.5433695267,52.9980989271,53.9065307341,2372784,0.0,1.0
TSCO,2017-06-14 00:00:00+00:00,56.12,57.7491,55.77,57.26,2285828,52.5579309382,54.0836281101,52.2301462655,53.6255724433,2285828,0.0,1.0
TSCO,2017-06-15 00:00:00+00:00,55.83,56.36,55.17,56.05,1543248,52.2863379237,52.7826975708,51.6682296839,52.4923740036,1543248,0.0,1.0
TSCO,2017-06-16 00:00:00+00:00,55.47,55.68,54.52,55.58,3201845,51.9491879747,52.1458587783,51.0594867204,52.0522060147,3201845,0.0,1.0
TSCO,2017-06-19 00:00:00+00:00,55.63,56.079,54.97,55.71,2027917,52.0990323965,52.5195333051,51.4809241566,52.1739546073,2027917,0.0,1.0
TSCO,2017-06-20 00:00:00+00:00,53.64,55.85,53.59,55.69,2495388,50.2353424006,52.3050684764,50.1885160188,52.1552240546,2495388,0.0,1.0
TSCO,2017-06-21 00:00:00+00:00,52.82,53.9899,52.78,53.66,1777956,49.467389739,50.5630334205,49.4299286336,50.2540729533,1777956,0.0,1.0
TSCO,2017-06-22 00:00:00+00:00,52.53,53.12,52.48,52.86,2223321,49.1957967245,49.7483480298,49.1489703427,49.5048508445,2223321,0.0,1.0
TSCO,2017-06-23 00:00:00+00:00,52.65,52.87,52.11,52.53,2267621,49.3081800409,49.5142161208,48.8024551174,49.1957967245,2267621,0.0,1.0
TSCO,2017-06-26 00:00:00+00:00,52.85,53.08,52.09,52.65,1888065,49.4954855681,49.7108869244,48.7837245647,49.3081800409,1888065,0.0,1.0
TSCO,2017-06-27 00:00:00+00:00,53.76,54.2,52.785,52.85,1834864,50.3477257169,50.7597978768,49.4346112717,49.4954855681,1834864,0.0,1.0
TSCO,2017-06-28 00:00:00+00:00,53.13,54.3,53.1,53.97,1383640,49.7577133062,50.8534506404,49.7296174771,50.5443965205,1383640,0.0,1.0
TSCO,2017-06-29 00:00:00+00:00,53.08,53.84,52.92,53.13,1342742,49.7108869244,50.4226479278,49.5610425026,49.7577133062,1342742,0.0,1.0
